Year,iso_code3,fuelefficiency_trns_road_heavy_regional_natural_gas_km_per_litre
1960.0,ABW,
1961.0,ABW,
1962.0,ABW,
1963.0,ABW,
1964.0,ABW,
1965.0,ABW,
1966.0,ABW,
1967.0,ABW,
1968.0,ABW,
1969.0,ABW,
1970.0,ABW,
1971.0,ABW,
1972.0,ABW,
1973.0,ABW,
1974.0,ABW,
1975.0,ABW,
1976.0,ABW,
1977.0,ABW,
1978.0,ABW,
1979.0,ABW,
1980.0,ABW,
1981.0,ABW,
1982.0,ABW,
1983.0,ABW,
1984.0,ABW,
1985.0,ABW,
1986.0,ABW,
1987.0,ABW,
1988.0,ABW,
1989.0,ABW,
1990.0,ABW,
1991.0,ABW,
1992.0,ABW,
1993.0,ABW,
1994.0,ABW,
1995.0,ABW,
1996.0,ABW,
1997.0,ABW,
1998.0,ABW,
1999.0,ABW,
2000.0,ABW,0.0821311825986008
2001.0,ABW,0.0821311825986008
2002.0,ABW,0.0821311825986008
2003.0,ABW,0.0821311825986008
2004.0,ABW,0.0821311825986008
2005.0,ABW,0.0821311825986008
2006.0,ABW,0.0821311825986008
2007.0,ABW,0.0821311825986008
2008.0,ABW,0.0821311825986008
2009.0,ABW,0.0821311825986008
2010.0,ABW,0.0821311825986008
2011.0,ABW,0.0821311825986008
2012.0,ABW,0.0821311825986008
2013.0,ABW,0.0821311825986008
2014.0,ABW,0.0821311825986008
1991.0,AFE,
1992.0,AFE,
1993.0,AFE,
1994.0,AFE,
1995.0,AFE,
1996.0,AFE,
1997.0,AFE,
1998.0,AFE,
1999.0,AFE,
2000.0,AFE,
2001.0,AFE,
2002.0,AFE,
2003.0,AFE,
2004.0,AFE,
2005.0,AFE,
2006.0,AFE,
2007.0,AFE,
2008.0,AFE,
2009.0,AFE,
2010.0,AFE,
2011.0,AFE,
2012.0,AFE,
2013.0,AFE,
2014.0,AFE,
1926.0,AFG,
1927.0,AFG,
1928.0,AFG,
1929.0,AFG,
1930.0,AFG,
1931.0,AFG,
1932.0,AFG,
1933.0,AFG,
1934.0,AFG,
1935.0,AFG,
1936.0,AFG,
1937.0,AFG,
1938.0,AFG,
1939.0,AFG,
1940.0,AFG,
1941.0,AFG,
1942.0,AFG,
1943.0,AFG,
1944.0,AFG,
1945.0,AFG,
1946.0,AFG,
1947.0,AFG,
1948.0,AFG,
1949.0,AFG,
1950.0,AFG,
1951.0,AFG,
1952.0,AFG,
1953.0,AFG,
1954.0,AFG,
1955.0,AFG,
1956.0,AFG,
1957.0,AFG,
1958.0,AFG,
1959.0,AFG,
1960.0,AFG,
1961.0,AFG,
1962.0,AFG,
1963.0,AFG,
1964.0,AFG,
1965.0,AFG,
1966.0,AFG,
1967.0,AFG,
1968.0,AFG,
1969.0,AFG,
1970.0,AFG,
1971.0,AFG,
1972.0,AFG,
1973.0,AFG,
1974.0,AFG,
1975.0,AFG,
1976.0,AFG,
1977.0,AFG,
1978.0,AFG,
1979.0,AFG,
1980.0,AFG,
1981.0,AFG,
1982.0,AFG,
1983.0,AFG,
1984.0,AFG,
1985.0,AFG,
1986.0,AFG,
1987.0,AFG,
1988.0,AFG,
1989.0,AFG,
1990.0,AFG,
1991.0,AFG,
1992.0,AFG,
1993.0,AFG,
1994.0,AFG,
1995.0,AFG,
1996.0,AFG,
1997.0,AFG,
1998.0,AFG,
1999.0,AFG,
2000.0,AFG,0.0821311825986008
2001.0,AFG,0.0821311825986008
2002.0,AFG,0.0821311825986008
2003.0,AFG,0.0821311825986008
2004.0,AFG,0.0821311825986008
2005.0,AFG,0.0821311825986008
2006.0,AFG,0.0821311825986008
2007.0,AFG,0.0821311825986008
2008.0,AFG,0.0821311825986008
2009.0,AFG,0.0821311825986008
2010.0,AFG,0.0821311825986008
2011.0,AFG,0.0821311825986008
2012.0,AFG,0.0821311825986008
2013.0,AFG,0.0821311825986008
2014.0,AFG,0.0821311825986008
1991.0,AFW,
1992.0,AFW,
1993.0,AFW,
1994.0,AFW,
1995.0,AFW,
1996.0,AFW,
1997.0,AFW,
1998.0,AFW,
1999.0,AFW,
2000.0,AFW,
2001.0,AFW,
2002.0,AFW,
2003.0,AFW,
2004.0,AFW,
2005.0,AFW,
2006.0,AFW,
2007.0,AFW,
2008.0,AFW,
2009.0,AFW,
2010.0,AFW,
2011.0,AFW,
2012.0,AFW,
2013.0,AFW,
2014.0,AFW,
1938.0,AGO,
1939.0,AGO,
1940.0,AGO,
1941.0,AGO,
1942.0,AGO,
1943.0,AGO,
1944.0,AGO,
1945.0,AGO,
1946.0,AGO,
1947.0,AGO,
1948.0,AGO,
1949.0,AGO,
1950.0,AGO,
1951.0,AGO,
1952.0,AGO,
1953.0,AGO,
1954.0,AGO,
1955.0,AGO,
1956.0,AGO,
1957.0,AGO,
1958.0,AGO,
1959.0,AGO,
1960.0,AGO,
1961.0,AGO,
1962.0,AGO,
1963.0,AGO,
1964.0,AGO,
1965.0,AGO,
1966.0,AGO,
1967.0,AGO,
1968.0,AGO,
1969.0,AGO,
1970.0,AGO,
1971.0,AGO,
1972.0,AGO,
1973.0,AGO,
1974.0,AGO,
1975.0,AGO,
1976.0,AGO,
1977.0,AGO,
1978.0,AGO,
1979.0,AGO,
1980.0,AGO,
1981.0,AGO,
1982.0,AGO,
1983.0,AGO,
1984.0,AGO,
1985.0,AGO,
1986.0,AGO,
1987.0,AGO,
1988.0,AGO,
1989.0,AGO,
1990.0,AGO,
1991.0,AGO,
1992.0,AGO,
1993.0,AGO,
1994.0,AGO,
1995.0,AGO,
1996.0,AGO,
1997.0,AGO,
1998.0,AGO,
1999.0,AGO,
2000.0,AGO,0.0821311825986008
2001.0,AGO,0.0821311825986008
2002.0,AGO,0.0821311825986008
2003.0,AGO,0.0821311825986008
2004.0,AGO,0.0821311825986008
2005.0,AGO,0.0821311825986008
2006.0,AGO,0.0821311825986008
2007.0,AGO,0.0821311825986008
2008.0,AGO,0.0821311825986008
2009.0,AGO,0.0821311825986008
2010.0,AGO,0.0821311825986008
2011.0,AGO,0.0821311825986008
2012.0,AGO,0.0821311825986008
2013.0,AGO,0.0821311825986008
2014.0,AGO,0.0821311825986008
