,Nation,iso_code3,Year,nemomod_entc_capital_cost_pp_wind_mm_usd_per_gw
0,Afghanistan,ABW,2021,3279.2443483630072
1,Afghanistan,ABW,2022,3204.3463039345756
2,Afghanistan,ABW,2023,3131.1589332051026
3,Afghanistan,ABW,2024,3059.6431643333053
4,Afghanistan,ABW,2025,2989.760817879989
5,Afghanistan,ABW,2026,2921.4745864255556
6,Afghanistan,ABW,2027,2854.7480146530474
7,Afghanistan,ABW,2028,2789.5454798860987
8,Afghanistan,ABW,2029,2725.8321730713933
9,Afghanistan,ABW,2030,2663.574080195495
10,Afghanistan,ABW,2031,2602.7379641261055
11,Afghanistan,ABW,2032,2543.291346868079
12,Afghanistan,ABW,2033,2485.202492224703
13,Afghanistan,ABW,2034,2428.440388855
14,Afghanistan,ABW,2035,2372.9747337179997
15,Afghanistan,ABW,2036,2318.775915895144
16,Afghanistan,ABW,2037,2265.8150007821887
17,Afghanistan,ABW,2038,2214.063714642164
18,Afghanistan,ABW,2039,2163.4944295111463
19,Afghanistan,ABW,2040,2114.080148448779
20,Afghanistan,ABW,2041,2065.7944911256745
21,Afghanistan,ABW,2042,2018.6116797400036
22,Afghanistan,ABW,2043,1972.5065252557422
23,Afghanistan,ABW,2044,1927.4544139552452
24,Afghanistan,ABW,2045,1883.4312942989557
25,Afghanistan,ABW,2046,1840.413664085238
26,Afghanistan,ABW,2047,1798.3785579034864
27,Afghanistan,ABW,2048,1757.3035348737956
28,Afghanistan,ABW,2049,1717.1666666666667
29,Afghanistan,ABW,2050,1677.9465257963395
30,Afghanistan,AFG,2021,3279.2443483630072
31,Afghanistan,AFG,2022,3204.3463039345756
32,Afghanistan,AFG,2023,3131.1589332051026
33,Afghanistan,AFG,2024,3059.6431643333053
34,Afghanistan,AFG,2025,2989.760817879989
35,Afghanistan,AFG,2026,2921.4745864255556
36,Afghanistan,AFG,2027,2854.7480146530474
37,Afghanistan,AFG,2028,2789.5454798860987
38,Afghanistan,AFG,2029,2725.8321730713933
39,Afghanistan,AFG,2030,2663.574080195495
40,Afghanistan,AFG,2031,2602.7379641261055
41,Afghanistan,AFG,2032,2543.291346868079
42,Afghanistan,AFG,2033,2485.202492224703
43,Afghanistan,AFG,2034,2428.440388855
44,Afghanistan,AFG,2035,2372.9747337179997
45,Afghanistan,AFG,2036,2318.775915895144
46,Afghanistan,AFG,2037,2265.8150007821887
47,Afghanistan,AFG,2038,2214.063714642164
48,Afghanistan,AFG,2039,2163.4944295111463
49,Afghanistan,AFG,2040,2114.080148448779
50,Afghanistan,AFG,2041,2065.7944911256745
51,Afghanistan,AFG,2042,2018.6116797400036
52,Afghanistan,AFG,2043,1972.5065252557422
53,Afghanistan,AFG,2044,1927.4544139552452
54,Afghanistan,AFG,2045,1883.4312942989557
55,Afghanistan,AFG,2046,1840.413664085238
56,Afghanistan,AFG,2047,1798.3785579034864
57,Afghanistan,AFG,2048,1757.3035348737956
58,Afghanistan,AFG,2049,1717.1666666666667
59,Afghanistan,AFG,2050,1677.9465257963395
60,Afghanistan,AGO,2021,3279.2443483630072
61,Afghanistan,AGO,2022,3204.3463039345756
62,Afghanistan,AGO,2023,3131.1589332051026
63,Afghanistan,AGO,2024,3059.6431643333053
64,Afghanistan,AGO,2025,2989.760817879989
65,Afghanistan,AGO,2026,2921.4745864255556
66,Afghanistan,AGO,2027,2854.7480146530474
67,Afghanistan,AGO,2028,2789.5454798860987
68,Afghanistan,AGO,2029,2725.8321730713933
69,Afghanistan,AGO,2030,2663.574080195495
70,Afghanistan,AGO,2031,2602.7379641261055
71,Afghanistan,AGO,2032,2543.291346868079
72,Afghanistan,AGO,2033,2485.202492224703
73,Afghanistan,AGO,2034,2428.440388855
74,Afghanistan,AGO,2035,2372.9747337179997
75,Afghanistan,AGO,2036,2318.775915895144
76,Afghanistan,AGO,2037,2265.8150007821887
77,Afghanistan,AGO,2038,2214.063714642164
78,Afghanistan,AGO,2039,2163.4944295111463
79,Afghanistan,AGO,2040,2114.080148448779
80,Afghanistan,AGO,2041,2065.7944911256745
81,Afghanistan,AGO,2042,2018.6116797400036
82,Afghanistan,AGO,2043,1972.5065252557422
83,Afghanistan,AGO,2044,1927.4544139552452
84,Afghanistan,AGO,2045,1883.4312942989557
85,Afghanistan,AGO,2046,1840.413664085238
86,Afghanistan,AGO,2047,1798.3785579034864
87,Afghanistan,AGO,2048,1757.3035348737956
88,Afghanistan,AGO,2049,1717.1666666666667
89,Afghanistan,AGO,2050,1677.9465257963395
90,Afghanistan,AIA,2021,3279.2443483630072
91,Afghanistan,AIA,2022,3204.3463039345756
92,Afghanistan,AIA,2023,3131.1589332051026
93,Afghanistan,AIA,2024,3059.6431643333053
94,Afghanistan,AIA,2025,2989.760817879989
95,Afghanistan,AIA,2026,2921.4745864255556
96,Afghanistan,AIA,2027,2854.7480146530474
97,Afghanistan,AIA,2028,2789.5454798860987
98,Afghanistan,AIA,2029,2725.8321730713933
99,Afghanistan,AIA,2030,2663.574080195495
100,Afghanistan,AIA,2031,2602.7379641261055
101,Afghanistan,AIA,2032,2543.291346868079
102,Afghanistan,AIA,2033,2485.202492224703
103,Afghanistan,AIA,2034,2428.440388855
104,Afghanistan,AIA,2035,2372.9747337179997
105,Afghanistan,AIA,2036,2318.775915895144
106,Afghanistan,AIA,2037,2265.8150007821887
107,Afghanistan,AIA,2038,2214.063714642164
108,Afghanistan,AIA,2039,2163.4944295111463
109,Afghanistan,AIA,2040,2114.080148448779
110,Afghanistan,AIA,2041,2065.7944911256745
111,Afghanistan,AIA,2042,2018.6116797400036
112,Afghanistan,AIA,2043,1972.5065252557422
113,Afghanistan,AIA,2044,1927.4544139552452
114,Afghanistan,AIA,2045,1883.4312942989557
115,Afghanistan,AIA,2046,1840.413664085238
116,Afghanistan,AIA,2047,1798.3785579034864
117,Afghanistan,AIA,2048,1757.3035348737956
118,Afghanistan,AIA,2049,1717.1666666666667
119,Afghanistan,AIA,2050,1677.9465257963395
120,Afghanistan,ALA,2021,3279.2443483630072
121,Afghanistan,ALA,2022,3204.3463039345756
122,Afghanistan,ALA,2023,3131.1589332051026
123,Afghanistan,ALA,2024,3059.6431643333053
124,Afghanistan,ALA,2025,2989.760817879989
125,Afghanistan,ALA,2026,2921.4745864255556
126,Afghanistan,ALA,2027,2854.7480146530474
127,Afghanistan,ALA,2028,2789.5454798860987
128,Afghanistan,ALA,2029,2725.8321730713933
129,Afghanistan,ALA,2030,2663.574080195495
130,Afghanistan,ALA,2031,2602.7379641261055
131,Afghanistan,ALA,2032,2543.291346868079
132,Afghanistan,ALA,2033,2485.202492224703
133,Afghanistan,ALA,2034,2428.440388855
134,Afghanistan,ALA,2035,2372.9747337179997
135,Afghanistan,ALA,2036,2318.775915895144
136,Afghanistan,ALA,2037,2265.8150007821887
137,Afghanistan,ALA,2038,2214.063714642164
138,Afghanistan,ALA,2039,2163.4944295111463
139,Afghanistan,ALA,2040,2114.080148448779
140,Afghanistan,ALA,2041,2065.7944911256745
141,Afghanistan,ALA,2042,2018.6116797400036
142,Afghanistan,ALA,2043,1972.5065252557422
143,Afghanistan,ALA,2044,1927.4544139552452
144,Afghanistan,ALA,2045,1883.4312942989557
145,Afghanistan,ALA,2046,1840.413664085238
146,Afghanistan,ALA,2047,1798.3785579034864
147,Afghanistan,ALA,2048,1757.3035348737956
148,Afghanistan,ALA,2049,1717.1666666666667
149,Afghanistan,ALA,2050,1677.9465257963395
150,Afghanistan,ALB,2021,3279.2443483630072
151,Afghanistan,ALB,2022,3204.3463039345756
152,Afghanistan,ALB,2023,3131.1589332051026
153,Afghanistan,ALB,2024,3059.6431643333053
