Year,iso_code3,nemomod_entc_frac_min_share_production_pp_solar
2010,ABW,0.0001296153915691
2011,ABW,0.0001296153915691
2012,ABW,0.0001296153915691
2013,ABW,0.0001296153915691
2014,ABW,0.0001296153915691
2015,ABW,0.000117535018854
2016,ABW,0.0001201564249441
2017,ABW,0.0001841037433833
2018,ABW,0.0002624595883512
2019,ABW,0.001707405395871
2020,ABW,0.0025248968897425
2010,AFG,0.0061674306646039
2011,AFG,0.0061674306646039
2012,AFG,0.0061674306646039
2013,AFG,0.0061674306646039
2014,AFG,0.0061674306646039
2015,AFG,0.0061674306646039
2016,AFG,0.0117800799548976
2017,AFG,0.0164052950828502
2018,AFG,0.0240444317176323
2019,AFG,0.0300050049449633
2020,AFG,0.0387873589972912
2010,AGO,0.0011737024481943
2011,AGO,0.0011785568491525
2012,AGO,0.0011946231876772
2013,AGO,0.0012351678401487
2014,AGO,0.002437742832959
2015,AGO,0.0041505102818377
2016,AGO,0.0070603325720561
2017,AGO,0.0102829631870572
2018,AGO,0.0136249810186272
2019,AGO,0.0205425806128919
2020,AGO,0.0261924811920392
2010,ALB,0.0043578990686248
2011,ALB,0.0043578990686248
2012,ALB,0.0043578990686248
2013,ALB,0.0043578990686248
2014,ALB,0.0043578990686248
2015,ALB,0.0043578990686248
2016,ALB,0.0044846426819593
2017,ALB,0.0045440257378087
2018,ALB,0.0043138304711134
2019,ALB,0.0042221024783259
2020,ALB,0.0046763830505549
2010,AND,0.0011433885215407
2011,AND,0.0042770700634082
2012,AND,0.0081218380999698
2013,AND,0.0093583773093163
2014,AND,0.0117109534759367
2015,AND,0.0140383668939766
2016,AND,0.0161076766719727
2017,AND,0.017923188841025
2018,AND,0.0196256804767484
2019,AND,0.0224625702975969
2020,AND,0.0264510712340122
2010,ARE,0.0765437271855534
2011,ARE,0.0765437271855534
2012,ARE,0.0765437271855534
2013,ARE,0.0765437271855534
2014,ARE,0.0765437271855534
2015,ARE,0.0765437271855534
2016,ARE,0.158572271737567
2017,ARE,0.1012575680610661
2018,ARE,0.0988033118768835
2019,ARE,0.0977142427997371
2020,ARE,0.1142371548800392
2010,ARG,0.0001083793133224
2011,ARG,0.0001083793133224
2012,ARG,0.0001083793133224
2013,ARG,0.0001083793133224
2014,ARG,0.0001083793133224
2015,ARG,0.0001083793133224
2016,ARG,9.999844293579189e-05
2017,ARG,0.0001183625622782
2018,ARG,0.0007724251362041
2019,ARG,0.0059778776608963
2020,ARG,0.0096758688883617
2010,ARM,0.0
2011,ARM,0.0
2012,ARM,0.0
2013,ARM,0.0
2014,ARM,7.109470174764744e-05
2015,ARM,0.0007658035316445
2016,ARM,0.0038782695268202
2017,ARM,0.0099422566692064
2018,ARM,0.0260138204497531
2019,ARM,0.0310528771167266
2020,ARM,0.0358283386476769
2010,ASM,8.73507837151496e-05
2011,ASM,9.491753007988369e-05
2012,ASM,0.0001116424173101
2013,ASM,0.0001635800906246
2014,ASM,0.0004337101819783
2015,ASM,0.0008385556835842
2016,ASM,0.0013230180774398
2017,ASM,0.0017769275912538
2018,ASM,0.0023048720693352
2019,ASM,0.0029071041758305
2020,ASM,0.0036824809667745
2010,ATG,0.0001296153915691
2011,ATG,0.0001296153915691
2012,ATG,0.0001296153915691
2013,ATG,0.0001296153915691
2014,ATG,0.0001296153915691
2015,ATG,0.000117535018854
2016,ATG,0.0001201564249441
2017,ATG,0.0001841037433833
2018,ATG,0.0002624595883512
2019,ATG,0.001707405395871
2020,ATG,0.0025248968897425
2010,AUS,0.0038383011417922
2011,AUS,0.0078457256318946
