,Nation,iso_code3,Year,consumpinit_inen_energy_tj_per_tonne_production_chemicals
0,Fiji,FJI,2017,33.19673820802791
1,Fiji,FJI,2018,29.82848377888297
2,Fiji,FJI,2019,41.71337966867542
3,Fiji,FJI,2020,32.79913429848292
4,Fiji,FJI,2021,32.79913468791259
5,Fiji,FJI,2022,31.26446524608537
6,Fiji,FJI,2023,29.801602890575715
7,Fiji,FJI,2024,28.407187772347235
8,Fiji,FJI,2025,27.078017249487825
9,Fiji,FJI,2026,25.8110385314982
10,Fiji,FJI,2027,24.603341667754005
11,Fiji,FJI,2028,23.452152864036805
12,Fiji,FJI,2029,22.35482811178466
13,Fiji,FJI,2030,21.308847115429288
14,Fiji,FJI,2031,20.31180750387301
15,Fiji,FJI,2032,19.361419312810188
16,Fiji,FJI,2033,18.455499725220456
17,Fiji,FJI,2034,17.591968057954098
18,Fiji,FJI,2035,16.768840982894634
19,Fiji,FJI,2036,15.984227971722921
20,Fiji,FJI,2037,15.236326953820718
21,Fiji,FJI,2038,14.523420177339958
22,Fiji,FJI,2039,13.84387026393338
23,Fiji,FJI,2040,13.196116448083155
24,Fiji,FJI,2041,12.578670992391627
25,Fiji,FJI,2042,11.990115770599868
26,Fiji,FJI,2043,11.429099010487208
27,Fiji,FJI,2044,10.894332189169932
28,Fiji,FJI,2045,10.384587073668575
29,Fiji,FJI,2046,9.898692899947381
30,Fiji,FJI,2047,9.43553368394588
31,Fiji,FJI,2048,8.994045658427332
32,Fiji,FJI,2049,8.573214829756889
33,Fiji,FJI,2050,8.172074648997896
34,Guinea,GIN,2017,8.581077670950986
35,Guinea,GIN,2018,5.19321900999116
36,Guinea,GIN,2019,3.6580142292949964
37,Guinea,GIN,2020,6.145532760352913
38,Guinea,GIN,2021,6.145532175839499
39,Guinea,GIN,2022,5.577455548591552
40,Guinea,GIN,2023,5.0618904118365045
41,Guinea,GIN,2024,4.593982743244397
42,Guinea,GIN,2025,4.1693272133819965
43,Guinea,GIN,2026,3.7839257097363768
44,Guinea,GIN,2027,3.43414969466731
45,Guinea,GIN,2028,3.1167060428903692
46,Guinea,GIN,2029,2.828606036851985
47,Guinea,GIN,2030,2.5671372280895333
48,Guinea,GIN,2031,2.329837899652362
49,Guinea,GIN,2032,2.1144738891485586
50,Guinea,GIN,2033,1.9190175542075945
51,Guinea,GIN,2034,1.7416286823195477
52,Guinea,GIN,2035,1.5806371653179683
53,Guinea,GIN,2036,1.4345272753874203
54,Guinea,GIN,2037,1.3019233945549253
55,Guinea,GIN,2038,1.1815770633093452
56,Guinea,GIN,2039,1.072355226411775
57,Guinea,GIN,2040,0.9732295652319927
58,Guinea,GIN,2041,0.8832668161752842
59,Guinea,GIN,2042,0.8016199840481163
60,Guinea,GIN,2043,0.7275203676368805
61,Guinea,GIN,2044,0.6602703224209214
62,Guinea,GIN,2045,0.5992366922810625
63,Guinea,GIN,2046,0.5438448483635339
64,Guinea,GIN,2047,0.4935732789754333
65,Guinea,GIN,2048,0.44794867957582596
66,Guinea,GIN,2049,0.40654149663501715
67,Guinea,GIN,2050,0.3689618834075913
68,Madagascar,MDG,2017,6.342384622471361
69,Madagascar,MDG,2018,5.179245118028066
70,Madagascar,MDG,2019,5.549191241743712
71,Madagascar,MDG,2020,5.115362928508156
72,Madagascar,MDG,2021,5.1153626829412255
73,Madagascar,MDG,2022,4.373554451652083
74,Madagascar,MDG,2023,3.739320108299264
75,Madagascar,MDG,2024,3.1970597432597128
76,Madagascar,MDG,2025,2.7334356797339625
77,Madagascar,MDG,2026,2.3370444143231985
78,Madagascar,MDG,2027,1.9981361313944799
79,Madagascar,MDG,2028,1.7083748922847617
80,Madagascar,MDG,2029,1.4606336008508867
81,Madagascar,MDG,2030,1.2488187022471164
82,Madagascar,MDG,2031,1.06772030314356
83,Madagascar,MDG,2032,0.9128840268756554
84,Madagascar,MDG,2033,0.7805014516172051
85,Madagascar,MDG,2034,0.6673164367455192
86,Madagascar,MDG,2035,0.5705450333603455
87,Madagascar,MDG,2036,0.4878070090401454
88,Madagascar,MDG,2037,0.41706730258819674
89,Madagascar,MDG,2038,0.35658596876347654
90,Madagascar,MDG,2039,0.3048753818146613
91,Madagascar,MDG,2040,0.2606636451763709
92,Madagascar,MDG,2041,0.22286330733630133
93,Madagascar,MDG,2042,0.1905446143948004
94,Madagascar,MDG,2043,0.162912641424977
95,Madagascar,MDG,2044,0.13928774014610668
96,Madagascar,MDG,2045,0.11908882199263603
97,Madagascar,MDG,2046,0.1018190654017174
98,Madagascar,MDG,2047,0.08705369576936671
99,Madagascar,MDG,2048,0.07442953750563115
100,Madagascar,MDG,2049,0.06363608120646307
101,Madagascar,MDG,2050,0.05440784622649556
102,"Macao SAR, China",MAC,2017,4.047555628713348
103,"Macao SAR, China",MAC,2018,3.5785898281967876
104,"Macao SAR, China",MAC,2019,10.059867002060223
105,"Macao SAR, China",MAC,2020,13.114460179718849
106,"Macao SAR, China",MAC,2021,13.114464616415557
107,"Macao SAR, China",MAC,2022,12.282371300447233
108,"Macao SAR, China",MAC,2023,11.503073070418793
109,"Macao SAR, China",MAC,2024,10.773220156483614
110,"Macao SAR, China",MAC,2025,10.089675326720286
111,"Macao SAR, China",MAC,2026,9.44950040191662
112,"Macao SAR, China",MAC,2027,8.849943625970727
113,"Macao SAR, China",MAC,2028,8.28842783762135
114,"Macao SAR, China",MAC,2029,7.762539392664343
115,"Macao SAR, China",MAC,2030,7.27001778903808
116,"Macao SAR, China",MAC,2031,6.808745950181845
117,"Macao SAR, China",MAC,2032,6.376741124900523
118,"Macao SAR, China",MAC,2033,5.972146364619709
119,"Macao SAR, China",MAC,2034,5.5932225413959795
120,"Macao SAR, China",MAC,2035,5.2383408723728015
121,"Macao SAR, China",MAC,2036,4.905975918548531
122,"Macao SAR, China",MAC,2037,4.594699027762157
123,"Macao SAR, China",MAC,2038,4.303172193711962
124,"Macao SAR, China",MAC,2039,4.030142304610233
125,"Macao SAR, China",MAC,2040,3.774435756752399
126,"Macao SAR, China",MAC,2041,3.534953409847124
127,"Macao SAR, China",MAC,2042,3.3106658624232352
128,"Macao SAR, China",MAC,2043,3.10060902700514
129,"Macao SAR, China",MAC,2044,2.9038799860367006
130,"Macao SAR, China",MAC,2045,2.71963311074064
131,"Macao SAR, China",MAC,2046,2.5470764262305647
132,"Macao SAR, China",MAC,2047,2.385468207251191
133,"Macao SAR, China",MAC,2048,2.234113789913861
134,"Macao SAR, China",MAC,2049,2.0923625857226478
135,"Macao SAR, China",MAC,2050,1.9596052850561214
136,Mexico,MEX,2017,0.03468074291665359
137,Mexico,MEX,2018,0.035734263344963726
138,Mexico,MEX,2019,0.03487793244454473
139,Mexico,MEX,2020,0.038338669785811096
140,Mexico,MEX,2021,0.038338670478982484
141,Mexico,MEX,2022,0.03858090158394466
142,Mexico,MEX,2023,0.03882466315168706
143,Mexico,MEX,2024,0.039069964851968265
144,Mexico,MEX,2025,0.03931681641564246
145,Mexico,MEX,2026,0.03956522763504495
146,Mexico,MEX,2027,0.03981520836438122
147,Mexico,MEX,2028,0.0400667685201172
148,Mexico,MEX,2029,0.04031991808137311
149,Mexico,MEX,2030,0.04057466709031932
150,Mexico,MEX,2031,0.04083102565257427
151,Mexico,MEX,2032,0.04108900393760592
152,Mexico,MEX,2033,0.04134861217913478
153,Mexico,MEX,2034,0.041609860675539824
154,Mexico,MEX,2035,0.04187275979026741
155,Mexico,MEX,2036,0.042137319952242035
156,Mexico,MEX,2037,0.04240355165628018
157,Mexico,MEX,2038,0.04267146546350659
158,Mexico,MEX,2039,0.04294107200177305
159,Mexico,MEX,2040,0.043212381966080564
160,Mexico,MEX,2041,0.04348540611900287
161,Mexico,MEX,2042,0.04376015529111379
162,Mexico,MEX,2043,0.044036640381416914
163,Mexico,MEX,2044,0.04431487235777776
164,Mexico,MEX,2045,0.044594862257358814
165,Mexico,MEX,2046,0.04487662118705761
166,Mexico,MEX,2047,0.04516016032394738
167,Mexico,MEX,2048,0.04544549091571983
168,Mexico,MEX,2049,0.04573262428113215
169,Mexico,MEX,2050,0.04602157181045535
170,Sudan,SDN,2017,0.0019409741417351408
171,Sudan,SDN,2018,0.0012795615092868278
172,Sudan,SDN,2019,0.001376792998657681
173,Sudan,SDN,2020,0.0011327819114567606
174,Sudan,SDN,2021,0.001132781852216516
175,Sudan,SDN,2022,0.00025554236566306947
176,Sudan,SDN,2023,5.764737537143778e-05
177,Sudan,SDN,2024,1.3004575106724522e-05
178,Sudan,SDN,2025,2.9336803734213364e-06
179,Sudan,SDN,2026,6.618040545551695e-07
180,Sudan,SDN,2027,1.492952710846522e-07
181,Sudan,SDN,2028,3.367927079748906e-08
182,Sudan,SDN,2029,7.597650436010429e-09
183,Sudan,SDN,2030,1.7139412695393911e-09
184,Sudan,SDN,2031,3.866451477560816e-10
185,Sudan,SDN,2032,8.722263296892132e-11
186,Sudan,SDN,2033,1.9676408060940216e-11
187,Sudan,SDN,2034,4.438768023874985e-12
188,Sudan,SDN,2035,1.0013342632839063e-12
189,Sudan,SDN,2036,2.2588932366666131e-13
190,Sudan,SDN,2037,5.0957995164612034e-14
191,Sudan,SDN,2038,1.149552900086827e-14
192,Sudan,SDN,2039,2.5932571833511517e-15
193,Sudan,SDN,2040,5.850085558041222e-16
194,Sudan,SDN,2041,1.3197110281278372e-16
195,Sudan,SDN,2042,2.9771140618076413e-17
196,Sudan,SDN,2043,6.7160218775971614e-18
197,Sudan,SDN,2044,1.5150561558591036e-18
198,Sudan,SDN,2045,3.4177898721017877e-19
199,Sudan,SDN,2046,7.710135076292134e-20
200,Sudan,SDN,2047,1.7393164916283597e-20
201,Sudan,SDN,2048,3.92369501716335e-21
202,Sudan,SDN,2049,8.851398041594655e-22
203,Sudan,SDN,2050,1.9967720974243047e-22
204,Nicaragua,NIC,2017,5.135968272721642
205,Nicaragua,NIC,2018,6.790013309464393
206,Nicaragua,NIC,2019,6.498659536065674
207,Nicaragua,NIC,2020,5.246502873719904
208,Nicaragua,NIC,2021,5.246503458988169
209,Nicaragua,NIC,2022,4.9006875729517265
210,Nicaragua,NIC,2023,4.577665653977357
211,Nicaragua,NIC,2024,4.275935269830403
212,Nicaragua,NIC,2025,3.9940930189809207
213,Nicaragua,NIC,2026,3.730828003134108
214,Nicaragua,NIC,2027,3.48491573000998
215,Nicaragua,NIC,2028,3.2552124180125164
216,Nicaragua,NIC,2029,3.040649676298644
217,Nicaragua,NIC,2030,2.840229535502928
218,Nicaragua,NIC,2031,2.653019806005057
219,Nicaragua,NIC,2032,2.4781497421506042
220,Nicaragua,NIC,2033,2.314805992258545
221,Nicaragua,NIC,2034,2.16222881557834
222,Nicaragua,NIC,2035,2.019708548600957
223,Nicaragua,NIC,2036,1.8865823042880439
224,Nicaragua,NIC,2037,1.7622308888667215
225,Nicaragua,NIC,2038,1.6460759218495535
226,Nicaragua,NIC,2039,1.5375771458842997
227,Nicaragua,NIC,2040,1.4362299139211958
228,Nicaragua,NIC,2041,1.341562842009933
229,Nicaragua,NIC,2042,1.2531356168094117
230,Nicaragua,NIC,2043,1.1705369476122451
231,Nicaragua,NIC,2044,1.0933826533587165
232,Nicaragua,NIC,2045,1.0213138757425788
233,Nicaragua,NIC,2046,0.9539954100973976
234,Nicaragua,NIC,2047,0.891114146300201
235,Nicaragua,NIC,2048,0.8323776124407849
236,Nicaragua,NIC,2049,0.7775126144829604
237,Nicaragua,NIC,2050,0.7262639655906586
238,Georgia,GEO,2017,0.002993157210540175
239,Georgia,GEO,2018,0.0033096716542682864
240,Georgia,GEO,2019,0.002736468237809701
241,Georgia,GEO,2020,0.002591099223688932
242,Georgia,GEO,2021,0.0025910993011532438
243,Georgia,GEO,2022,0.0025298372510464584
244,Georgia,GEO,2023,0.0024700236358883533
245,Georgia,GEO,2024,0.0024116242099460963
246,Georgia,GEO,2025,0.0023546055371678302
247,Georgia,GEO,2026,0.002298934972039167
248,Georgia,GEO,2027,0.002244580640892297
249,Georgia,GEO,2028,0.002191511423657027
250,Georgia,GEO,2029,0.0021396969360432502
251,Georgia,GEO,2030,0.002089107512144725
252,Georgia,GEO,2031,0.0020397141874541175
253,Georgia,GEO,2032,0.0019914886822796477
254,Georgia,GEO,2033,0.0019444033855538097
255,Georgia,GEO,2034,0.001898431339024927
256,Georgia,GEO,2035,0.0018535462218223894
257,Georgia,GEO,2036,0.0018097223353870275
258,Georgia,GEO,2037,0.001766934588757432
259,Georgia,GEO,2038,0.0017251584842045457
260,Georgia,GEO,2039,0.001684370103205636
261,Georgia,GEO,2040,0.0016445460927498982
262,Georgia,GEO,2041,0.0016056636519680629
263,Georgia,GEO,2042,0.001567700519077809
264,Georgia,GEO,2043,0.0015306349586381065
265,Georgia,GEO,2044,0.0014944457491047097
266,Georgia,GEO,2045,0.001459112170679989
267,Georgia,GEO,2046,0.0014246139934500277
268,Georgia,GEO,2047,0.001390931465802119
269,Georgia,GEO,2048,0.0013580453031162153
270,Georgia,GEO,2049,0.0013259366767236372
271,Georgia,GEO,2050,0.0012945872031269682
272,Comoros,COM,2017,659.4548547237513
273,Comoros,COM,2018,713.3943414342606
274,Comoros,COM,2019,624.7649370516436
275,Comoros,COM,2020,423.9515799616478
276,Comoros,COM,2021,423.95160501807595
277,Comoros,COM,2022,168.397784077331
278,Comoros,COM,2023,66.88927072453532
279,Comoros,COM,2024,26.569082025483016
280,Comoros,COM,2025,10.553503006243897
281,Comoros,COM,2026,4.191956108832629
282,Comoros,COM,2027,1.6650865601670428
283,Comoros,COM,2028,0.6613889031440747
284,Comoros,COM,2029,0.2627102348109991
285,Comoros,COM,2030,0.10435111194996277
286,Comoros,COM,2031,0.041449297066890316
287,Comoros,COM,2032,0.016464072066267422
288,Comoros,COM,2033,0.006539692785761964
289,Comoros,COM,2034,0.0025976308631308676
290,Comoros,COM,2035,0.0010318047532417555
291,Comoros,COM,2036,0.0004098430858374996
292,Comoros,COM,2037,0.0001627937402702081
293,Comoros,COM,2038,6.466328891948564e-05
294,Comoros,COM,2039,2.568489996571504e-05
295,Comoros,COM,2040,1.020229711900703e-05
296,Comoros,COM,2041,4.052453645660972e-06
297,Comoros,COM,2042,1.6096747976135385e-06
298,Comoros,COM,2043,6.393788012471144e-07
299,Comoros,COM,2044,2.5396760394725545e-07
300,Comoros,COM,2045,1.0087845222410114e-07
301,Comoros,COM,2046,4.006992216709558e-08
302,Comoros,COM,2047,1.5916170669532743e-08
303,Comoros,COM,2048,6.3220609145509415e-09
304,Comoros,COM,2049,2.5111853244827115e-09
305,Comoros,COM,2050,9.974677275543527e-10
306,West Bank and Gaza,PSE,2017,18.034141757186188
307,West Bank and Gaza,PSE,2018,15.470998998741374
308,West Bank and Gaza,PSE,2019,20.52060017206927
309,West Bank and Gaza,PSE,2020,12.563917106436016
310,West Bank and Gaza,PSE,2021,12.563914749160556
311,West Bank and Gaza,PSE,2022,11.341958805312942
312,West Bank and Gaza,PSE,2023,10.238849284615782
313,West Bank and Gaza,PSE,2024,9.243027282374662
314,West Bank and Gaza,PSE,2025,8.344058103393424
315,West Bank and Gaza,PSE,2026,7.532521922289345
316,West Bank and Gaza,PSE,2027,6.79991507809544
317,West Bank and Gaza,PSE,2028,6.138560968868245
318,West Bank and Gaza,PSE,2029,5.541529612611975
319,West Bank and Gaza,PSE,2030,5.002565031640825
320,West Bank and Gaza,PSE,2031,4.5160196994778525
321,West Bank and Gaza,PSE,2032,4.076795363394349
322,West Bank and Gaza,PSE,2033,3.6802896224999446
323,West Bank and Gaza,PSE,2034,3.3223477016034453
324,West Bank and Gaza,PSE,2035,2.999218915508021
325,West Bank and Gaza,PSE,2036,2.707517367552993
326,West Bank and Gaza,PSE,2037,2.444186470582922
327,West Bank and Gaza,PSE,2038,2.2064669185778265
328,West Bank and Gaza,PSE,2039,1.9918677733361403
329,West Bank and Gaza,PSE,2040,1.7981403632429473
330,West Bank and Gaza,PSE,2041,1.6232547206223782
331,West Bank and Gaza,PSE,2042,1.4653783107736342
332,West Bank and Gaza,PSE,2043,1.3228568298033136
333,West Bank and Gaza,PSE,2044,1.1941968700447112
334,West Bank and Gaza,PSE,2045,1.078050271424018
335,West Bank and Gaza,PSE,2046,0.9731999947997613
336,West Bank and Gaza,PSE,2047,0.8785473692494751
337,West Bank and Gaza,PSE,2048,0.7931005796747701
338,West Bank and Gaza,PSE,2049,0.7159642740923651
339,West Bank and Gaza,PSE,2050,0.6463301817113936
340,Oman,OMN,2017,0.0002463090589318192
341,Oman,OMN,2018,0.00023695701701637254
342,Oman,OMN,2019,0.00021487052539931057
343,Oman,OMN,2020,0.0002315709357018798
344,Oman,OMN,2021,0.00023157094437921863
345,Oman,OMN,2022,0.00021646867110403691
346,Oman,OMN,2023,0.0002023513169804771
347,Oman,OMN,2024,0.00018915464891478158
348,Oman,OMN,2025,0.00017681862287818208
349,Oman,OMN,2026,0.000165287110710253
350,Oman,OMN,2027,0.00015450764473923847
351,Oman,OMN,2028,0.00014443117905736324
352,Oman,OMN,2029,0.00013501186636496904
353,Oman,OMN,2030,0.00012620684936811676
354,Oman,OMN,2031,0.00011797606578053603
355,Oman,OMN,2032,0.00011028206604268124
356,Oman,OMN,2033,0.00010308984292853814
357,Oman,OMN,2034,9.63666722648958e-05
358,Oman,OMN,2035,9.008196403837018e-05
359,Oman,OMN,2036,8.42071232127235e-05
360,Oman,OMN,2037,7.871541962320567e-05
361,Oman,OMN,2038,7.358186635594614e-05
362,Oman,OMN,2039,6.878310605903422e-05
363,Oman,OMN,2040,6.429730466800031e-05
364,Oman,OMN,2041,6.010405206216559e-05
365,Oman,OMN,2042,5.618426919984716e-05
366,Oman,OMN,2043,5.252012130989e-05
367,Oman,OMN,2044,4.9094936744555434e-05
368,Oman,OMN,2045,4.589313112454702e-05
369,Oman,OMN,2046,4.290013643104327e-05
370,Oman,OMN,2047,4.0102334722106826e-05
371,Oman,OMN,2048,3.74869961718858e-05
372,Oman,OMN,2049,3.504222115068794e-05
373,Oman,OMN,2050,3.275688608239711e-05
374,Pakistan,PAK,2017,0.059395082694551245
375,Pakistan,PAK,2018,0.06471179752892507
376,Pakistan,PAK,2019,0.07615849489924563
377,Pakistan,PAK,2020,0.07865057963095869
378,Pakistan,PAK,2021,0.07865058599860617
