Year,iso_code3,nemomod_entc_total_annual_max_capacity_pp_hydropower_gw
2021,ARG,14.999565
2022,ARG,14.999565
2023,ARG,14.999565
2024,ARG,14.999565
2025,ARG,14.999565
2026,ARG,14.999565
2027,ARG,14.999565
2028,ARG,14.999565
2029,ARG,14.999565
2030,ARG,14.999565
2031,ARG,14.999565
2032,ARG,14.999565
2033,ARG,14.999565
2034,ARG,14.999565
2035,ARG,14.999565
2036,ARG,14.999565
2037,ARG,14.999565
2038,ARG,14.999565
2039,ARG,14.999565
2040,ARG,14.999565
2041,ARG,14.999565
2042,ARG,14.999565
2043,ARG,14.999565
2044,ARG,14.999565
2045,ARG,14.999565
2046,ARG,14.999565
2047,ARG,14.999565
2048,ARG,14.999565
2049,ARG,14.999565
2050,ARG,14.999565
2021,BOL,0.67365
2022,BOL,0.67365
2023,BOL,0.67365
2024,BOL,0.67365
2025,BOL,0.67365
2026,BOL,0.67365
2027,BOL,0.67365
2028,BOL,0.67365
2029,BOL,0.67365
2030,BOL,0.67365
2031,BOL,0.67365
2032,BOL,0.67365
2033,BOL,0.67365
2034,BOL,0.67365
2035,BOL,0.67365
2036,BOL,0.67365
2037,BOL,0.67365
2038,BOL,0.67365
2039,BOL,0.67365
2040,BOL,0.67365
2041,BOL,0.67365
2042,BOL,0.67365
2043,BOL,0.67365
2044,BOL,0.67365
2045,BOL,0.67365
2046,BOL,0.67365
2047,BOL,0.67365
2048,BOL,0.67365
2049,BOL,0.67365
2050,BOL,0.67365
2021,BRA,146.88955035
2022,BRA,146.88955035
2023,BRA,146.88955035
2024,BRA,146.88955035
2025,BRA,146.88955035
2026,BRA,146.88955035
2027,BRA,146.88955035
2028,BRA,146.88955035
2029,BRA,146.88955035
2030,BRA,146.88955035
2031,BRA,146.88955035
2032,BRA,146.88955035
2033,BRA,146.88955035
2034,BRA,146.88955035
2035,BRA,146.88955035
2036,BRA,146.88955035
2037,BRA,146.88955035
2038,BRA,146.88955035
2039,BRA,146.88955035
2040,BRA,146.88955035
2041,BRA,146.88955035
2042,BRA,146.88955035
2043,BRA,146.88955035
2044,BRA,146.88955035
2045,BRA,146.88955035
2046,BRA,146.88955035
2047,BRA,146.88955035
2048,BRA,146.88955035
2049,BRA,146.88955035
2050,BRA,146.88955035
2021,CHL,9.597
2022,CHL,9.597
2023,CHL,9.597
2024,CHL,9.597
2025,CHL,9.597
2026,CHL,9.597
2027,CHL,9.597
2028,CHL,9.597
2029,CHL,9.597
2030,CHL,9.597
2031,CHL,9.597
2032,CHL,9.597
2033,CHL,9.597
2034,CHL,9.597
2035,CHL,9.597
2036,CHL,9.597
2037,CHL,9.597
2038,CHL,9.597
2039,CHL,9.597
2040,CHL,9.597
2041,CHL,9.597
2042,CHL,9.597
2043,CHL,9.597
2044,CHL,9.597
2045,CHL,9.597
2046,CHL,9.597
2047,CHL,9.597
2048,CHL,9.597
2049,CHL,9.597
2050,CHL,9.597
2021,COL,10.041
2022,COL,10.041
2023,COL,10.041
2024,COL,10.041
2025,COL,10.041
2026,COL,10.041
2027,COL,10.041
2028,COL,10.041
2029,COL,10.041
2030,COL,10.041
2031,COL,10.041
2032,COL,10.041
2033,COL,10.041
2034,COL,10.041
2035,COL,10.041
2036,COL,10.041
2037,COL,10.041
2038,COL,10.041
2039,COL,10.041
2040,COL,10.041
2041,COL,10.041
2042,COL,10.041
2043,COL,10.041
2044,COL,10.041
2045,COL,10.041
2046,COL,10.041
2047,COL,10.041
2048,COL,10.041
2049,COL,10.041
2050,COL,10.041
2021,CRI,1.947
2022,CRI,1.947
2023,CRI,1.947
2024,CRI,1.947
2025,CRI,1.947
2026,CRI,1.947
2027,CRI,1.947
2028,CRI,1.947
2029,CRI,1.947
2030,CRI,1.947
2031,CRI,1.947
2032,CRI,1.947
2033,CRI,1.947
2034,CRI,1.947
2035,CRI,1.947
2036,CRI,1.947
2037,CRI,1.947
2038,CRI,1.947
2039,CRI,1.947
2040,CRI,1.947
2041,CRI,1.947
2042,CRI,1.947
2043,CRI,1.947
2044,CRI,1.947
2045,CRI,1.947
2046,CRI,1.947
2047,CRI,1.947
2048,CRI,1.947
2049,CRI,1.947
2050,CRI,1.947
2021,DOM,0.3406349999999999
2022,DOM,0.3406349999999999
2023,DOM,0.3406349999999999
2024,DOM,0.3406349999999999
2025,DOM,0.3406349999999999
2026,DOM,0.3406349999999999
2027,DOM,0.3406349999999999
2028,DOM,0.3406349999999999
2029,DOM,0.3406349999999999
2030,DOM,0.3406349999999999
2031,DOM,0.3406349999999999
2032,DOM,0.3406349999999999
2033,DOM,0.3406349999999999
2034,DOM,0.3406349999999999
2035,DOM,0.3406349999999999
2036,DOM,0.3406349999999999
2037,DOM,0.3406349999999999
2038,DOM,0.3406349999999999
2039,DOM,0.3406349999999999
2040,DOM,0.3406349999999999
2041,DOM,0.3406349999999999
2042,DOM,0.3406349999999999
2043,DOM,0.3406349999999999
2044,DOM,0.3406349999999999
2045,DOM,0.3406349999999999
2046,DOM,0.3406349999999999
2047,DOM,0.3406349999999999
2048,DOM,0.3406349999999999
2049,DOM,0.3406349999999999
2050,DOM,0.3406349999999999
2021,ECU,4.881480000000001
2022,ECU,4.881480000000001
2023,ECU,4.881480000000001
2024,ECU,4.881480000000001
2025,ECU,4.881480000000001
2026,ECU,4.881480000000001
2027,ECU,4.881480000000001
2028,ECU,4.881480000000001
2029,ECU,4.881480000000001
2030,ECU,4.881480000000001
