iso_code3,Nation,Year,frac_trns_fuelmix_road_heavy_regional_diesel
ABW,Aruba,2021,0.26581415840193245
ABW,Aruba,2022,0.2664795096129795
ABW,Aruba,2023,0.26713782937544245
ABW,Aruba,2024,0.26778922856623816
ABW,Aruba,2025,0.26843381574329095
ABW,Aruba,2026,0.26920190374890696
ABW,Aruba,2027,0.2699970327980628
ABW,Aruba,2028,0.2708206564745359
ABW,Aruba,2029,0.2716743344455891
ABW,Aruba,2030,0.2725597423193721
ABW,Aruba,2031,0.2733517639932806
ABW,Aruba,2032,0.2741732301762947
ABW,Aruba,2033,0.2750258139285534
ABW,Aruba,2034,0.275911317510064
ABW,Aruba,2035,0.2768316850978295
ABW,Aruba,2036,0.2776693481188721
ABW,Aruba,2037,0.2785388714570018
ABW,Aruba,2038,0.2794421080498053
ABW,Aruba,2039,0.2803810573600148
ABW,Aruba,2040,0.28135788015111124
ABW,Aruba,2041,0.28222395333574324
ABW,Aruba,2042,0.2831232590054863
ABW,Aruba,2043,0.28405774734406136
ABW,Aruba,2044,0.28502952416987787
ABW,Aruba,2045,0.2860408667776552
ABW,Aruba,2046,0.2869219481134711
ABW,Aruba,2047,0.287836102650397
ABW,Aruba,2048,0.2887852282138206
ABW,Aruba,2049,0.289771370663466
ABW,Aruba,2050,0.2907967386141907
AFG,Afghanistan,2021,0.8494448756296188
AFG,Afghanistan,2022,0.8489418056363014
AFG,Afghanistan,2023,0.8484602658449227
AFG,Afghanistan,2024,0.847998903050144
AFG,Afghanistan,2025,0.8475564751208661
AFG,Afghanistan,2026,0.8446720201695602
AFG,Afghanistan,2027,0.8419288495628361
AFG,Afghanistan,2028,0.8393168310113707
AFG,Afghanistan,2029,0.8368267784632482
AFG,Afghanistan,2030,0.8344503441646378
AFG,Afghanistan,2031,0.8307518503847607
AFG,Afghanistan,2032,0.8272320658084228
AFG,Afghanistan,2033,0.8238783432902486
AFG,Afghanistan,2034,0.8206792015569023
AFG,Afghanistan,2035,0.8176241938891533
AFG,Afghanistan,2036,0.8128817904104452
AFG,Afghanistan,2037,0.8083670889046182
AFG,Afghanistan,2038,0.8040640745019331
AFG,Afghanistan,2039,0.7999581997531986
AFG,Afghanistan,2040,0.7960362203214452
AFG,Afghanistan,2041,0.790238596262729
AFG,Afghanistan,2042,0.7847213528372488
AFG,Afghanistan,2043,0.779464630894517
AFG,Afghanistan,2044,0.7744504035041503
AFG,Afghanistan,2045,0.7696622694172195
AFG,Afghanistan,2046,0.7628580299245057
AFG,Afghanistan,2047,0.7563896713448508
AFG,Afghanistan,2048,0.7502329223624163
AFG,Afghanistan,2049,0.7443657951723568
AFG,Afghanistan,2050,0.7387683231035072
AGO,Angola,2021,0.49659773817098485
AGO,Angola,2022,0.4930853262807186
AGO,Angola,2023,0.48968198779984695
AGO,Angola,2024,0.48638271970898767
AGO,Angola,2025,0.4831828203548205
AGO,Angola,2026,0.480911526303825
AGO,Angola,2027,0.4786686922996821
AGO,Angola,2028,0.4764537867525417
AGO,Angola,2029,0.47426629122967534
AGO,Angola,2030,0.4721057000509219
AGO,Angola,2031,0.4700154238445786
AGO,Angola,2032,0.4679279487501438
AGO,Angola,2033,0.4658432691408678
AGO,Angola,2034,0.46376137940506096
AGO,Angola,2035,0.46168227394604366
AGO,Angola,2036,0.4581978735311282
AGO,Angola,2037,0.4547311522572629
AGO,Angola,2038,0.4512819759143608
AGO,Angola,2039,0.4478502116473693
AGO,Angola,2040,0.4444357279392118
AGO,Angola,2041,0.43908412969495064
AGO,Angola,2042,0.4338134501745012
AGO,Angola,2043,0.4286218678543352
AGO,Angola,2044,0.4235076154750384
AGO,Angola,2045,0.4184689780355535
AGO,Angola,2046,0.4115279679137282
AGO,Angola,2047,0.4047799606605798
AGO,Angola,2048,0.39821701665703557
AGO,Angola,2049,0.3918316258793313
AGO,Angola,2050,0.3856166792312295
ALB,Albania,2021,0.8730923694779116
ALB,Albania,2022,0.8730923694779116
ALB,Albania,2023,0.8730923694779116
ALB,Albania,2024,0.8730923694779116
ALB,Albania,2025,0.8730923694779116
ALB,Albania,2026,0.8730923694779116
ALB,Albania,2027,0.8730923694779116
ALB,Albania,2028,0.8730923694779116
ALB,Albania,2029,0.8730923694779116
ALB,Albania,2030,0.8730923694779116
ALB,Albania,2031,0.8730923694779116
ALB,Albania,2032,0.8730923694779116
ALB,Albania,2033,0.8730923694779116
ALB,Albania,2034,0.8730923694779116
ALB,Albania,2035,0.8730923694779116
ALB,Albania,2036,0.8730923694779116
ALB,Albania,2037,0.8730923694779116
ALB,Albania,2038,0.8730923694779116
ALB,Albania,2039,0.8730923694779116
ALB,Albania,2040,0.8730923694779116
ALB,Albania,2041,0.8730923694779116
ALB,Albania,2042,0.8730923694779116
ALB,Albania,2043,0.8730923694779116
ALB,Albania,2044,0.8730923694779116
ALB,Albania,2045,0.8730923694779116
ALB,Albania,2046,0.8730923694779116
ALB,Albania,2047,0.8730923694779116
ALB,Albania,2048,0.8730923694779116
ALB,Albania,2049,0.8730923694779116
ALB,Albania,2050,0.8730923694779116
ARE,United Arab Emirates,2021,0.2781854274816219
ARE,United Arab Emirates,2022,0.2777693105756575
ARE,United Arab Emirates,2023,0.277365465284519
ARE,United Arab Emirates,2024,0.2769733566470599
ARE,United Arab Emirates,2025,0.2765924803511207
ARE,United Arab Emirates,2026,0.2757768180302687
ARE,United Arab Emirates,2027,0.27501333634826014
ARE,United Arab Emirates,2028,0.27429718325187913
ARE,United Arab Emirates,2029,0.2736240901649864
ARE,United Arab Emirates,2030,0.27299028684176574
ARE,United Arab Emirates,2031,0.2723174384920432
ARE,United Arab Emirates,2032,0.27168055830019566
ARE,United Arab Emirates,2033,0.2710768372455534
ARE,United Arab Emirates,2034,0.27050375138912264
ARE,United Arab Emirates,2035,0.26995902660303484
ARE,United Arab Emirates,2036,0.26937466331267423
ARE,United Arab Emirates,2037,0.2688173013822702
ARE,United Arab Emirates,2038,0.26828511161619734
ARE,United Arab Emirates,2039,0.2677764263943134
ARE,United Arab Emirates,2040,0.26728972221716807
ARE,United Arab Emirates,2041,0.2667805242414572
ARE,United Arab Emirates,2042,0.2662904067727938
ARE,United Arab Emirates,2043,0.2658183170670514
ARE,United Arab Emirates,2044,0.26536327842670604
ARE,United Arab Emirates,2045,0.26492438345596186
ARE,United Arab Emirates,2046,0.2644671084831447
ARE,United Arab Emirates,2047,0.2640234792420182
ARE,United Arab Emirates,2048,0.26359289390045376
ARE,United Arab Emirates,2049,0.2631747855045506
ARE,United Arab Emirates,2050,0.2627686194880788
ARG,Argentina,2021,0.4674236514402935
ARG,Argentina,2022,0.4674236514402935
ARG,Argentina,2023,0.4674236514402935
ARG,Argentina,2024,0.4674236514402935
ARG,Argentina,2025,0.4674236514402935
ARG,Argentina,2026,0.4674236514402935
ARG,Argentina,2027,0.4674236514402935
ARG,Argentina,2028,0.4674236514402935
ARG,Argentina,2029,0.4674236514402935
ARG,Argentina,2030,0.4674236514402935
ARG,Argentina,2031,0.4674236514402935
ARG,Argentina,2032,0.4674236514402935
ARG,Argentina,2033,0.4674236514402935
ARG,Argentina,2034,0.4674236514402935
ARG,Argentina,2035,0.4674236514402935
ARG,Argentina,2036,0.4674236514402935
ARG,Argentina,2037,0.4674236514402935
ARG,Argentina,2038,0.4674236514402935
ARG,Argentina,2039,0.4674236514402935
ARG,Argentina,2040,0.4674236514402935
ARG,Argentina,2041,0.4674236514402935
ARG,Argentina,2042,0.4674236514402935
ARG,Argentina,2043,0.4674236514402935
ARG,Argentina,2044,0.4674236514402935
ARG,Argentina,2045,0.4674236514402935
ARG,Argentina,2046,0.4674236514402935
ARG,Argentina,2047,0.4674236514402935
ARG,Argentina,2048,0.4674236514402935
ARG,Argentina,2049,0.4674236514402935
ARG,Argentina,2050,0.4674236514402935
ARM,Armenia,2021,0.21838738470693245
ARM,Armenia,2022,0.21838738470693245
ARM,Armenia,2023,0.21838738470693245
ARM,Armenia,2024,0.21838738470693245
ARM,Armenia,2025,0.21838738470693245
ARM,Armenia,2026,0.21838738470693245
ARM,Armenia,2027,0.21838738470693245
ARM,Armenia,2028,0.21838738470693245
ARM,Armenia,2029,0.21838738470693245
ARM,Armenia,2030,0.21838738470693245
ARM,Armenia,2031,0.21838738470693245
ARM,Armenia,2032,0.21838738470693245
ARM,Armenia,2033,0.21838738470693245
ARM,Armenia,2034,0.21838738470693245
ARM,Armenia,2035,0.21838738470693245
ARM,Armenia,2036,0.21838738470693245
ARM,Armenia,2037,0.21838738470693245
ARM,Armenia,2038,0.21838738470693245
ARM,Armenia,2039,0.21838738470693245
ARM,Armenia,2040,0.21838738470693245
ARM,Armenia,2041,0.21838738470693245
ARM,Armenia,2042,0.21838738470693245
ARM,Armenia,2043,0.21838738470693245
ARM,Armenia,2044,0.21838738470693245
ARM,Armenia,2045,0.21838738470693245
ARM,Armenia,2046,0.21838738470693245
ARM,Armenia,2047,0.21838738470693245
ARM,Armenia,2048,0.21838738470693245
ARM,Armenia,2049,0.21838738470693245
ARM,Armenia,2050,0.21838738470693245
AUS,Australia,2021,0.5481218847952314
AUS,Australia,2022,0.5481218847952314
AUS,Australia,2023,0.5481218847952314
AUS,Australia,2024,0.5481218847952314
AUS,Australia,2025,0.5481218847952314
AUS,Australia,2026,0.5481218847952314
AUS,Australia,2027,0.5481218847952314
AUS,Australia,2028,0.5481218847952314
AUS,Australia,2029,0.5481218847952314
AUS,Australia,2030,0.5481218847952314
AUS,Australia,2031,0.5481218847952314
AUS,Australia,2032,0.5481218847952314
AUS,Australia,2033,0.5481218847952314
AUS,Australia,2034,0.5481218847952314
AUS,Australia,2035,0.5481218847952314
AUS,Australia,2036,0.5481218847952314
AUS,Australia,2037,0.5481218847952314
AUS,Australia,2038,0.5481218847952314
AUS,Australia,2039,0.5481218847952314
AUS,Australia,2040,0.5481218847952314
AUS,Australia,2041,0.5481218847952314
AUS,Australia,2042,0.5481218847952314
AUS,Australia,2043,0.5481218847952314
AUS,Australia,2044,0.5481218847952314
AUS,Australia,2045,0.5481218847952314
AUS,Australia,2046,0.5481218847952314
AUS,Australia,2047,0.5481218847952314
AUS,Australia,2048,0.5481218847952314
AUS,Australia,2049,0.5481218847952314
AUS,Australia,2050,0.5481218847952314
AUT,Austria,2021,0.7634370328183955
AUT,Austria,2022,0.7634370328183955
AUT,Austria,2023,0.7634370328183955
AUT,Austria,2024,0.7634370328183955
AUT,Austria,2025,0.7634370328183955
AUT,Austria,2026,0.7634370328183955
AUT,Austria,2027,0.7634370328183955
AUT,Austria,2028,0.7634370328183955
AUT,Austria,2029,0.7634370328183955
AUT,Austria,2030,0.7634370328183955
