,Nation,iso_code3,Year,nemomod_entc_capital_cost_pp_gas_mm_usd_per_gw
0,Afghanistan,AFG,2021,1018.8333333333334
1,Afghanistan,AFG,2022,1018.8333333333334
2,Afghanistan,AFG,2023,1018.8333333333334
3,Afghanistan,AFG,2024,1018.8333333333334
4,Afghanistan,AFG,2025,1018.8333333333334
5,Afghanistan,AFG,2026,1018.8333333333334
6,Afghanistan,AFG,2027,1018.8333333333334
7,Afghanistan,AFG,2028,1018.8333333333334
8,Afghanistan,AFG,2029,1018.8333333333334
9,Afghanistan,AFG,2030,1018.8333333333334
10,Afghanistan,AFG,2031,1018.8333333333334
11,Afghanistan,AFG,2032,1018.8333333333334
12,Afghanistan,AFG,2033,1018.8333333333334
13,Afghanistan,AFG,2034,1018.8333333333334
14,Afghanistan,AFG,2035,1018.8333333333334
15,Afghanistan,AFG,2036,1018.8333333333334
16,Afghanistan,AFG,2037,1018.8333333333334
17,Afghanistan,AFG,2038,1018.8333333333334
18,Afghanistan,AFG,2039,1018.8333333333334
19,Afghanistan,AFG,2040,1018.8333333333334
20,Afghanistan,AFG,2041,1018.8333333333334
21,Afghanistan,AFG,2042,1018.8333333333334
22,Afghanistan,AFG,2043,1018.8333333333334
23,Afghanistan,AFG,2044,1018.8333333333334
24,Afghanistan,AFG,2045,1018.8333333333334
25,Afghanistan,AFG,2046,1018.8333333333334
26,Afghanistan,AFG,2047,1018.8333333333334
27,Afghanistan,AFG,2048,1018.8333333333334
28,Afghanistan,AFG,2049,1018.8333333333334
29,Afghanistan,AFG,2050,1018.8333333333334
30,Åland Islands,ALA,2021,679.3333333333334
31,Åland Islands,ALA,2022,679.3333333333334
32,Åland Islands,ALA,2023,679.3333333333334
33,Åland Islands,ALA,2024,679.3333333333334
34,Åland Islands,ALA,2025,679.3333333333334
35,Åland Islands,ALA,2026,679.3333333333334
36,Åland Islands,ALA,2027,679.3333333333334
37,Åland Islands,ALA,2028,679.3333333333334
38,Åland Islands,ALA,2029,679.3333333333334
39,Åland Islands,ALA,2030,679.3333333333334
40,Åland Islands,ALA,2031,679.3333333333334
41,Åland Islands,ALA,2032,679.3333333333334
42,Åland Islands,ALA,2033,679.3333333333334
43,Åland Islands,ALA,2034,679.3333333333334
44,Åland Islands,ALA,2035,679.3333333333334
45,Åland Islands,ALA,2036,679.3333333333334
46,Åland Islands,ALA,2037,679.3333333333334
47,Åland Islands,ALA,2038,679.3333333333334
48,Åland Islands,ALA,2039,679.3333333333334
49,Åland Islands,ALA,2040,679.3333333333334
50,Åland Islands,ALA,2041,679.3333333333334
51,Åland Islands,ALA,2042,679.3333333333334
52,Åland Islands,ALA,2043,679.3333333333334
53,Åland Islands,ALA,2044,679.3333333333334
54,Åland Islands,ALA,2045,679.3333333333334
55,Åland Islands,ALA,2046,679.3333333333334
56,Åland Islands,ALA,2047,679.3333333333334
57,Åland Islands,ALA,2048,679.3333333333334
58,Åland Islands,ALA,2049,679.3333333333334
59,Åland Islands,ALA,2050,679.3333333333334
60,Albania,ALB,2021,679.3333333333334
61,Albania,ALB,2022,679.3333333333334
62,Albania,ALB,2023,679.3333333333334
63,Albania,ALB,2024,679.3333333333334
64,Albania,ALB,2025,679.3333333333334
65,Albania,ALB,2026,679.3333333333334
66,Albania,ALB,2027,679.3333333333334
67,Albania,ALB,2028,679.3333333333334
68,Albania,ALB,2029,679.3333333333334
69,Albania,ALB,2030,679.3333333333334
70,Albania,ALB,2031,679.3333333333334
71,Albania,ALB,2032,679.3333333333334
72,Albania,ALB,2033,679.3333333333334
73,Albania,ALB,2034,679.3333333333334
74,Albania,ALB,2035,679.3333333333334
75,Albania,ALB,2036,679.3333333333334
