Country,Mode/vehicle type,Product,2000,2005,2010,2015,2016,2017,2018,2019,2020
Australia,Total passenger and freight transport,Motor gasoline (PJ)                                  ,589.13,632.90,607.42,594.68,595.14,579.96,574.96,564.80,516.34
Australia,Total passenger and freight transport,Diesel and light fuel oil (PJ)                       ,290.49,349.12,439.94,535.75,563.80,590.75,619.05,638.04,640.02
Australia,Total passenger and freight transport,LPG (PJ)                                             ,55.39,57.86,51.30,48.55,42.37,23.94,17.98,13.88,11.81
Australia,Total passenger and freight transport,Heavy fuel oil (PJ)                                  ,8.27,6.75,5.18,0.94,1.25,2.33,3.25,3.88,3.58
Australia,Total passenger and freight transport,Jet fuel and aviation gasoline (PJ)                  ,73.19,79.63,101.93,122.37,124.39,125.32,127.98,124.74,97.15
Australia,Total passenger and freight transport,Gas (PJ)                                             ,0.94,1.36,2.02,3.64,3.61,3.47,3.31,3.06,2.70
Australia,Total passenger and freight transport,Electricity (PJ)                                     ,6.37,6.62,7.35,7.51,7.83,8.40,8.36,8.50,8.60
Australia,Total passenger and freight transport,Coal and coal products (PJ)                          ,4.22,5.32,3.92,0,0,0,0,0,0
Australia,Total passenger and freight transport,Other sources (PJ)                                   ,0.02,0,0,0,0,0,0,0,0
Australia,Total passenger and freight transport,Total final energy use (PJ)                          ,1028.02,1139.54,1219.07,1313.44,1338.39,1334.17,1354.89,1356.90,1280.20
Australia,Total passenger transport,Total final energy use (PJ)                                      ,681.36,743.32,759.82,798.03,811.46,793.89,797.69,790.48,712.90
Australia,Cars/light trucks,Total final energy use (PJ)                                              ,572.00,622.54,610.82,625.41,635.93,616.99,617.97,613.89,567.53
Australia,Motorcycles,Total final energy use (PJ)                                                    ,2.74,3.34,5.12,4.62,4.66,4.66,4.63,4.56,3.99
Australia,Buses,Total final energy use (PJ)                                                          ,17.71,19.83,22.46,24.50,24.73,24.54,24.54,24.83,22.31
Australia,Total freight transport,Total final energy use (PJ)                                        ,346.66,396.22,459.25,515.41,526.92,540.27,557.20,566.42,567.30
Australia,Freight trucks,Total final energy use (PJ)                                                 ,304.67,347.98,403.80,461.71,470.94,481.60,496.21,501.83,504.47
Australia,Total road,Total final energy use (PJ)                                                     ,897.11,993.69,1042.21,1116.24,1136.27,1127.80,1143.35,1145.11,1098.30
Australia,Total trains,Total final energy use (PJ)                                                   ,31.67,37.57,43.36,52.31,54.73,56.63,57.42,57.71,57.14
Australia,Total airplanes,Total final energy use (PJ)                                                ,73.19,79.63,101.93,122.37,124.39,125.32,127.98,124.74,97.15
Australia,Total ships,Total final energy use (PJ)                                                    ,26.05,28.66,31.57,22.52,23.00,24.42,26.14,29.34,27.61
Austria,Total passenger and freight transport,Motor gasoline (PJ)                                    ,91.78,69.79,62.60,54.99,54.11,54.78,57.68,58.02,..
Austria,Total passenger and freight transport,Diesel and light fuel oil (PJ)                         ,122.52,160.50,169.61,190.49,198.48,202.62,208.69,214.48,..
Austria,Total passenger and freight transport,LPG (PJ)                                               ,0.62,0.90,0.81,0.55,0.51,0.48,0.34,0.20,..
Austria,Total passenger and freight transport,Heavy fuel oil (PJ)                                    ,0,0,0,0,0,0,0,0,..
Austria,Total passenger and freight transport,Jet fuel and aviation gasoline (PJ)                    ,1.46,1.48,1.48,1.33,1.31,1.24,1.30,1.30,..
Austria,Total passenger and freight transport,Gas (PJ)                                               ,0,0.01,0.38,0.60,0.60,0.60,0.57,0.59,..
Austria,Total passenger and freight transport,Electricity (PJ)                                       ,8.80,7.43,7.35,7.31,7.39,7.46,7.39,7.47,..
Austria,Total passenger and freight transport,Coal and coal products (PJ)                            ,0,0,0,0,0,0,0,0,..
Austria,Total passenger and freight transport,Other sources (PJ)                                     ,0.06,0.12,0.34,0.36,0.36,0.35,0.38,0.38,..
Austria,Total passenger and freight transport,Total final energy use (PJ)                            ,225.24,240.22,242.57,255.64,262.77,267.53,276.35,282.43,..
Austria,Total passenger transport,Total final energy use (PJ)                                        ,160.17,168.91,170.24,178.00,182.63,185.37,190.38,194.01,..
Austria,Cars/light trucks,Total final energy use (PJ)                                                ,146.73,155.31,156.52,164.13,168.58,171.14,175.76,179.17,..
Austria,Motorcycles,Total final energy use (PJ)                                                      ,1.83,2.07,2.42,2.75,2.82,2.88,2.93,3.01,..
Austria,Buses,Total final energy use (PJ)                                                            ,5.81,6.12,5.98,6.06,6.25,6.39,6.75,6.90,..
