Year,iso_code3,ef_frst_sequestration_secondary_kt_co2_ha
2015,AFG,0.005430464534515516
2016,AFG,0.005430464534515516
2017,AFG,0.005430464534515516
2018,AFG,0.005430464534515516
2019,AFG,0.005430464534515516
2015,AGO,0.0021539481219000896
2016,AGO,0.0021539481219000896
2017,AGO,0.0021539481219000896
2018,AGO,0.0021539481219000896
2019,AGO,0.0021539481219000896
2015,ALB,0.005720636314141826
2016,ALB,0.005720636314141826
2017,ALB,0.005720636314141826
2018,ALB,0.005720636314141826
2019,ALB,0.005720636314141826
2015,ARG,0.0034878855258422686
2016,ARG,0.0034878855258422686
2017,ARG,0.0034878855258422686
2018,ARG,0.0034878855258422686
2019,ARG,0.0034878855258422686
2015,AUS,0.004530360680226027
2016,AUS,0.004530360680226027
2017,AUS,0.004530360680226027
2018,AUS,0.004530360680226027
2019,AUS,0.004530360680226027
2015,AUT,0.001726153316142247
2016,AUT,0.001726153316142247
2017,AUT,0.001726153316142247
2018,AUT,0.001726153316142247
2019,AUT,0.001726153316142247
2015,AZE,0.0038173003405174194
2016,AZE,0.0038173003405174194
2017,AZE,0.0038173003405174194
2018,AZE,0.0038173003405174194
2019,AZE,0.0038173003405174194
2015,BDI,0.0028944944168734486
2016,BDI,0.0028944944168734486
2017,BDI,0.0028944944168734486
2018,BDI,0.0028944944168734486
2019,BDI,0.0028944944168734486
2015,BEL,0.0039636666666666666
2016,BEL,0.0039636666666666666
2017,BEL,0.0039636666666666666
2018,BEL,0.0039636666666666666
2019,BEL,0.0039636666666666666
2015,BEN,0.007299518028846152
2016,BEN,0.007299518028846152
2017,BEN,0.007299518028846152
2018,BEN,0.007299518028846152
2019,BEN,0.007299518028846152
2015,BFA,0.006517232026584041
2016,BFA,0.006517232026584041
2017,BFA,0.006517232026584041
2018,BFA,0.006517232026584041
2019,BFA,0.006517232026584041
2015,BGD,0.0031735349951002717
2016,BGD,0.0031735349951002717
2017,BGD,0.0031735349951002717
2018,BGD,0.0031735349951002717
2019,BGD,0.0031735349951002717
2015,BGR,0.0036201537281940256
2016,BGR,0.0036201537281940256
2017,BGR,0.0036201537281940256
2018,BGR,0.0036201537281940256
2019,BGR,0.0036201537281940256
2015,BHS,0.004511601089435014
2016,BHS,0.004511601089435014
2017,BHS,0.004511601089435014
2018,BHS,0.004511601089435014
2019,BHS,0.004511601089435014
2015,BIH,0.005853259419892486
2016,BIH,0.005853259419892486
2017,BIH,0.005853259419892486
2018,BIH,0.005853259419892486
2019,BIH,0.005853259419892486
2015,BOL,0.004876935790432665
2016,BOL,0.004876935790432665
2017,BOL,0.004876935790432665
2018,BOL,0.004876935790432665
2019,BOL,0.004876935790432665
2015,BRA,0.005850943833449398
2016,BRA,0.005850943833449398
2017,BRA,0.005850943833449398
2018,BRA,0.005850943833449398
2019,BRA,0.005850943833449398
2015,BTN,0.00233353174534927
2016,BTN,0.00233353174534927
2017,BTN,0.00233353174534927
2018,BTN,0.00233353174534927
2019,BTN,0.00233353174534927
2015,CAF,0.0011752130604698824
2016,CAF,0.0011752130604698824
2017,CAF,0.0011752130604698824
2018,CAF,0.0011752130604698824
2019,CAF,0.0011752130604698824
2015,CAN,0.0016489782314279644
2016,CAN,0.0016489782314279644
2017,CAN,0.0016489782314279644
2018,CAN,0.0016489782314279644
2019,CAN,0.0016489782314279644
2015,CHE,0.0023889057315657418
2016,CHE,0.0023889057315657418
2017,CHE,0.0023889057315657418
2018,CHE,0.0023889057315657418
2019,CHE,0.0023889057315657418
2015,CHL,0.005231567005665435
2016,CHL,0.005231567005665435
2017,CHL,0.005231567005665435
2018,CHL,0.005231567005665435
2019,CHL,0.005231567005665435
2015,CHN,0.0020538844943680345
2016,CHN,0.0020538844943680345
2017,CHN,0.0020538844943680345
2018,CHN,0.0020538844943680345
2019,CHN,0.0020538844943680345
2015,CIV,0.001288843113161591
2016,CIV,0.001288843113161591
2017,CIV,0.001288843113161591
2018,CIV,0.001288843113161591
2019,CIV,0.001288843113161591
2015,CMR,0.0019013804685553879
2016,CMR,0.0019013804685553879
2017,CMR,0.0019013804685553879
2018,CMR,0.0019013804685553879
2019,CMR,0.0019013804685553879
2015,COD,0.0045839496622457005
2016,COD,0.0045839496622457005
2017,COD,0.0045839496622457005
2018,COD,0.0045839496622457005
2019,COD,0.0045839496622457005
2015,COG,0.006875753369287474
2016,COG,0.006875753369287474
2017,COG,0.006875753369287474
2018,COG,0.006875753369287474
2019,COG,0.006875753369287474
2015,COL,0.006884818266193871
2016,COL,0.006884818266193871
2017,COL,0.006884818266193871
2018,COL,0.006884818266193871
2019,COL,0.006884818266193871
2015,CRI,0.007190526008492567
2016,CRI,0.007190526008492567
2017,CRI,0.007190526008492567
2018,CRI,0.007190526008492567
2019,CRI,0.007190526008492567
2015,CUB,0.004931321915607238
2016,CUB,0.004931321915607238
2017,CUB,0.004931321915607238
2018,CUB,0.004931321915607238
2019,CUB,0.004931321915607238
2015,CUW,0.008084681159420288
2016,CUW,0.008084681159420288
2017,CUW,0.008084681159420288
2018,CUW,0.008084681159420288
2019,CUW,0.008084681159420288
2015,CYP,0.018762075919971415
2016,CYP,0.018762075919971415
2017,CYP,0.018762075919971415
2018,CYP,0.018762075919971415
2019,CYP,0.018762075919971415
2015,CZE,0.004640394032755712
2016,CZE,0.004640394032755712
2017,CZE,0.004640394032755712
2018,CZE,0.004640394032755712
2019,CZE,0.004640394032755712
2015,DEU,0.0038890628014158503
2016,DEU,0.0038890628014158503
2017,DEU,0.0038890628014158503
2018,DEU,0.0038890628014158503
2019,DEU,0.0038890628014158503
2015,DNK,0.0039636666666666666
2016,DNK,0.0039636666666666666
2017,DNK,0.0039636666666666666
2018,DNK,0.0039636666666666666
2019,DNK,0.0039636666666666666
2015,DOM,0.007427103713452556
