Year,iso_code3,cost_enfu_fuel_furnace_gas_usd_per_m3
2021,ABW,13725.64626
2022,ABW,13725.64626
2023,ABW,13725.64626
2024,ABW,13725.64626
2025,ABW,13725.64626
2026,ABW,13725.64626
2027,ABW,13725.64626
2028,ABW,13725.64626
2029,ABW,13725.64626
2030,ABW,13725.64626
2031,ABW,13725.64626
2032,ABW,13725.64626
2033,ABW,13725.64626
2034,ABW,13725.64626
2035,ABW,13725.64626
2036,ABW,13725.64626
2037,ABW,13725.64626
2038,ABW,13725.64626
2039,ABW,13725.64626
2040,ABW,13725.64626
2041,ABW,13725.64626
2042,ABW,13725.64626
2043,ABW,13725.64626
2044,ABW,13725.64626
2045,ABW,13725.64626
2046,ABW,13725.64626
2047,ABW,13725.64626
2048,ABW,13725.64626
2049,ABW,13725.64626
2050,ABW,13725.64626
2021,AFG,13725.64626
2022,AFG,13725.64626
2023,AFG,13725.64626
2024,AFG,13725.64626
2025,AFG,13725.64626
2026,AFG,13725.64626
2027,AFG,13725.64626
2028,AFG,13725.64626
2029,AFG,13725.64626
2030,AFG,13725.64626
2031,AFG,13725.64626
2032,AFG,13725.64626
2033,AFG,13725.64626
2034,AFG,13725.64626
2035,AFG,13725.64626
2036,AFG,13725.64626
2037,AFG,13725.64626
2038,AFG,13725.64626
2039,AFG,13725.64626
2040,AFG,13725.64626
2041,AFG,13725.64626
2042,AFG,13725.64626
2043,AFG,13725.64626
2044,AFG,13725.64626
2045,AFG,13725.64626
2046,AFG,13725.64626
2047,AFG,13725.64626
2048,AFG,13725.64626
2049,AFG,13725.64626
2050,AFG,13725.64626
2021,AGO,13725.64626
2022,AGO,13725.64626
2023,AGO,13725.64626
2024,AGO,13725.64626
2025,AGO,13725.64626
2026,AGO,13725.64626
2027,AGO,13725.64626
2028,AGO,13725.64626
2029,AGO,13725.64626
2030,AGO,13725.64626
2031,AGO,13725.64626
2032,AGO,13725.64626
2033,AGO,13725.64626
2034,AGO,13725.64626
2035,AGO,13725.64626
2036,AGO,13725.64626
2037,AGO,13725.64626
2038,AGO,13725.64626
2039,AGO,13725.64626
2040,AGO,13725.64626
2041,AGO,13725.64626
2042,AGO,13725.64626
2043,AGO,13725.64626
2044,AGO,13725.64626
2045,AGO,13725.64626
2046,AGO,13725.64626
2047,AGO,13725.64626
2048,AGO,13725.64626
2049,AGO,13725.64626
2050,AGO,13725.64626
2021,ALB,13725.64626
2022,ALB,13725.64626
2023,ALB,13725.64626
2024,ALB,13725.64626
2025,ALB,13725.64626
2026,ALB,13725.64626
2027,ALB,13725.64626
2028,ALB,13725.64626
2029,ALB,13725.64626
2030,ALB,13725.64626
2031,ALB,13725.64626
2032,ALB,13725.64626
2033,ALB,13725.64626
2034,ALB,13725.64626
2035,ALB,13725.64626
2036,ALB,13725.64626
2037,ALB,13725.64626
2038,ALB,13725.64626
2039,ALB,13725.64626
2040,ALB,13725.64626
2041,ALB,13725.64626
2042,ALB,13725.64626
2043,ALB,13725.64626
2044,ALB,13725.64626
2045,ALB,13725.64626
2046,ALB,13725.64626
2047,ALB,13725.64626
2048,ALB,13725.64626
2049,ALB,13725.64626
2050,ALB,13725.64626
2021,AND,13725.64626
2022,AND,13725.64626
2023,AND,13725.64626
2024,AND,13725.64626
2025,AND,13725.64626
2026,AND,13725.64626
2027,AND,13725.64626
2028,AND,13725.64626
2029,AND,13725.64626
2030,AND,13725.64626
2031,AND,13725.64626
2032,AND,13725.64626
2033,AND,13725.64626
2034,AND,13725.64626
2035,AND,13725.64626
2036,AND,13725.64626
2037,AND,13725.64626
2038,AND,13725.64626
2039,AND,13725.64626
2040,AND,13725.64626
2041,AND,13725.64626
2042,AND,13725.64626
2043,AND,13725.64626
2044,AND,13725.64626
2045,AND,13725.64626
2046,AND,13725.64626
2047,AND,13725.64626
2048,AND,13725.64626
2049,AND,13725.64626
2050,AND,13725.64626
2021,ARE,13725.64626
2022,ARE,13725.64626
2023,ARE,13725.64626
2024,ARE,13725.64626
2025,ARE,13725.64626
2026,ARE,13725.64626
2027,ARE,13725.64626
2028,ARE,13725.64626
2029,ARE,13725.64626
2030,ARE,13725.64626
2031,ARE,13725.64626
2032,ARE,13725.64626
2033,ARE,13725.64626
2034,ARE,13725.64626
2035,ARE,13725.64626
2036,ARE,13725.64626
2037,ARE,13725.64626
2038,ARE,13725.64626
2039,ARE,13725.64626
2040,ARE,13725.64626
2041,ARE,13725.64626
2042,ARE,13725.64626
2043,ARE,13725.64626
2044,ARE,13725.64626
2045,ARE,13725.64626
2046,ARE,13725.64626
2047,ARE,13725.64626
2048,ARE,13725.64626
2049,ARE,13725.64626
2050,ARE,13725.64626
2021,ARG,13725.64626
2022,ARG,13725.64626
2023,ARG,13725.64626
2024,ARG,13725.64626
2025,ARG,13725.64626
2026,ARG,13725.64626
2027,ARG,13725.64626
2028,ARG,13725.64626
2029,ARG,13725.64626
2030,ARG,13725.64626
2031,ARG,13725.64626
2032,ARG,13725.64626
2033,ARG,13725.64626
2034,ARG,13725.64626
2035,ARG,13725.64626
2036,ARG,13725.64626
2037,ARG,13725.64626
2038,ARG,13725.64626
2039,ARG,13725.64626
2040,ARG,13725.64626
2041,ARG,13725.64626
2042,ARG,13725.64626
2043,ARG,13725.64626
2044,ARG,13725.64626
2045,ARG,13725.64626
2046,ARG,13725.64626
2047,ARG,13725.64626
2048,ARG,13725.64626
2049,ARG,13725.64626
2050,ARG,13725.64626
2021,ARM,13725.64626
2022,ARM,13725.64626
2023,ARM,13725.64626
2024,ARM,13725.64626
2025,ARM,13725.64626
2026,ARM,13725.64626
2027,ARM,13725.64626
2028,ARM,13725.64626
2029,ARM,13725.64626
2030,ARM,13725.64626
2031,ARM,13725.64626
2032,ARM,13725.64626
2033,ARM,13725.64626
2034,ARM,13725.64626
2035,ARM,13725.64626
2036,ARM,13725.64626
2037,ARM,13725.64626
2038,ARM,13725.64626
2039,ARM,13725.64626
2040,ARM,13725.64626
2041,ARM,13725.64626
2042,ARM,13725.64626
2043,ARM,13725.64626
2044,ARM,13725.64626
2045,ARM,13725.64626
2046,ARM,13725.64626
2047,ARM,13725.64626
2048,ARM,13725.64626
2049,ARM,13725.64626
2050,ARM,13725.64626
2021,ASM,13725.64626
2022,ASM,13725.64626
2023,ASM,13725.64626
2024,ASM,13725.64626
2025,ASM,13725.64626
2026,ASM,13725.64626
2027,ASM,13725.64626
2028,ASM,13725.64626
2029,ASM,13725.64626
2030,ASM,13725.64626
2031,ASM,13725.64626
2032,ASM,13725.64626
2033,ASM,13725.64626
2034,ASM,13725.64626
2035,ASM,13725.64626
2036,ASM,13725.64626
2037,ASM,13725.64626
2038,ASM,13725.64626
2039,ASM,13725.64626
2040,ASM,13725.64626
2041,ASM,13725.64626
2042,ASM,13725.64626
2043,ASM,13725.64626
2044,ASM,13725.64626
2045,ASM,13725.64626
2046,ASM,13725.64626
2047,ASM,13725.64626
2048,ASM,13725.64626
2049,ASM,13725.64626
2050,ASM,13725.64626
2021,ATG,13725.64626
2022,ATG,13725.64626
2023,ATG,13725.64626
2024,ATG,13725.64626
2025,ATG,13725.64626
2026,ATG,13725.64626
2027,ATG,13725.64626
2028,ATG,13725.64626
2029,ATG,13725.64626
2030,ATG,13725.64626
2031,ATG,13725.64626
2032,ATG,13725.64626
2033,ATG,13725.64626
2034,ATG,13725.64626
2035,ATG,13725.64626
2036,ATG,13725.64626
2037,ATG,13725.64626
2038,ATG,13725.64626
2039,ATG,13725.64626
2040,ATG,13725.64626
2041,ATG,13725.64626
2042,ATG,13725.64626
2043,ATG,13725.64626
2044,ATG,13725.64626
2045,ATG,13725.64626
2046,ATG,13725.64626
2047,ATG,13725.64626
2048,ATG,13725.64626
2049,ATG,13725.64626
2050,ATG,13725.64626
2021,AUS,13725.64626
2022,AUS,13725.64626
2023,AUS,13725.64626
2024,AUS,13725.64626
2025,AUS,13725.64626
2026,AUS,13725.64626
2027,AUS,13725.64626
2028,AUS,13725.64626
2029,AUS,13725.64626
2030,AUS,13725.64626
2031,AUS,13725.64626
2032,AUS,13725.64626
2033,AUS,13725.64626
2034,AUS,13725.64626
2035,AUS,13725.64626
2036,AUS,13725.64626
2037,AUS,13725.64626
2038,AUS,13725.64626
2039,AUS,13725.64626
2040,AUS,13725.64626
2041,AUS,13725.64626
2042,AUS,13725.64626
2043,AUS,13725.64626
2044,AUS,13725.64626
2045,AUS,13725.64626
2046,AUS,13725.64626
2047,AUS,13725.64626
2048,AUS,13725.64626
2049,AUS,13725.64626
2050,AUS,13725.64626
2021,AUT,13725.64626
2022,AUT,13725.64626
2023,AUT,13725.64626
2024,AUT,13725.64626
2025,AUT,13725.64626
2026,AUT,13725.64626
2027,AUT,13725.64626
2028,AUT,13725.64626
2029,AUT,13725.64626
2030,AUT,13725.64626
2031,AUT,13725.64626
2032,AUT,13725.64626
2033,AUT,13725.64626
2034,AUT,13725.64626
2035,AUT,13725.64626
2036,AUT,13725.64626
2037,AUT,13725.64626
2038,AUT,13725.64626
2039,AUT,13725.64626
2040,AUT,13725.64626
2041,AUT,13725.64626
2042,AUT,13725.64626
2043,AUT,13725.64626
2044,AUT,13725.64626
2045,AUT,13725.64626
2046,AUT,13725.64626
2047,AUT,13725.64626
2048,AUT,13725.64626
2049,AUT,13725.64626
2050,AUT,13725.64626
2021,AZE,13725.64626
2022,AZE,13725.64626
2023,AZE,13725.64626
2024,AZE,13725.64626
2025,AZE,13725.64626
2026,AZE,13725.64626
2027,AZE,13725.64626
2028,AZE,13725.64626
2029,AZE,13725.64626
2030,AZE,13725.64626
2031,AZE,13725.64626
2032,AZE,13725.64626
2033,AZE,13725.64626
2034,AZE,13725.64626
2035,AZE,13725.64626
2036,AZE,13725.64626
2037,AZE,13725.64626
2038,AZE,13725.64626
2039,AZE,13725.64626
2040,AZE,13725.64626
2041,AZE,13725.64626
2042,AZE,13725.64626
2043,AZE,13725.64626
2044,AZE,13725.64626
2045,AZE,13725.64626
2046,AZE,13725.64626
2047,AZE,13725.64626
2048,AZE,13725.64626
2049,AZE,13725.64626
2050,AZE,13725.64626
2021,BDI,13725.64626
2022,BDI,13725.64626
2023,BDI,13725.64626
2024,BDI,13725.64626
2025,BDI,13725.64626
2026,BDI,13725.64626
2027,BDI,13725.64626
2028,BDI,13725.64626
2029,BDI,13725.64626
2030,BDI,13725.64626
2031,BDI,13725.64626
2032,BDI,13725.64626
2033,BDI,13725.64626
2034,BDI,13725.64626
2035,BDI,13725.64626
2036,BDI,13725.64626
2037,BDI,13725.64626
2038,BDI,13725.64626
2039,BDI,13725.64626
2040,BDI,13725.64626
2041,BDI,13725.64626
2042,BDI,13725.64626
2043,BDI,13725.64626
2044,BDI,13725.64626
2045,BDI,13725.64626
2046,BDI,13725.64626
2047,BDI,13725.64626
2048,BDI,13725.64626
2049,BDI,13725.64626
2050,BDI,13725.64626
2021,BEL,13725.64626
2022,BEL,13725.64626
2023,BEL,13725.64626
2024,BEL,13725.64626
2025,BEL,13725.64626
2026,BEL,13725.64626
2027,BEL,13725.64626
2028,BEL,13725.64626
2029,BEL,13725.64626
2030,BEL,13725.64626
2031,BEL,13725.64626
2032,BEL,13725.64626
2033,BEL,13725.64626
2034,BEL,13725.64626
2035,BEL,13725.64626
2036,BEL,13725.64626
2037,BEL,13725.64626
2038,BEL,13725.64626
2039,BEL,13725.64626
2040,BEL,13725.64626
2041,BEL,13725.64626
2042,BEL,13725.64626
2043,BEL,13725.64626
2044,BEL,13725.64626
2045,BEL,13725.64626
2046,BEL,13725.64626
2047,BEL,13725.64626
2048,BEL,13725.64626
2049,BEL,13725.64626
2050,BEL,13725.64626
2021,BEN,13725.64626
2022,BEN,13725.64626
