"iso_code3","Year","frac_wali_ww_domestic_urban_treatment_path_primary"
"BEL",2030,0.00219512195121951
"BEL",2031,0.00219512195121951
"BEL",2032,0.00219512195121951
"BEL",2033,0.00219512195121951
"BEL",2034,0.00219512195121951
"BEL",2035,0.00219512195121951
"BEL",2036,0.00219512195121951
"BEL",2037,0.00219512195121951
"BEL",2038,0.00219512195121951
"BEL",2039,0.00219512195121951
"BEL",2040,0.00219512195121951
"BEL",2041,0.00219512195121951
"BEL",2042,0.00219512195121951
"BEL",2043,0.00219512195121951
"BEL",2044,0.00219512195121951
"BEL",2045,0.00219512195121951
"BEL",2046,0.00219512195121951
"BEL",2047,0.00219512195121951
"BEL",2048,0.00219512195121951
"BEL",2049,0.00219512195121951
"BEL",2050,0.00219512195121951
"BEN",2021,0
"BEN",2022,0
"BEN",2023,0
"BEN",2024,0
"BEN",2025,0
"BEN",2026,0
"BEN",2027,0
"BEN",2028,0
"BEN",2029,0
"BEN",2030,0
"BEN",2031,0
"BEN",2032,0
"BEN",2033,0
"BEN",2034,0
"BEN",2035,0
"BEN",2036,0
"BEN",2037,0
"BEN",2038,0
"BEN",2039,0
"BEN",2040,0
"BEN",2041,0
"BEN",2042,0
"BEN",2043,0
"BEN",2044,0
"BEN",2045,0
"BEN",2046,0
"BEN",2047,0
"BEN",2048,0
"BEN",2049,0
"BEN",2050,0
"BFA",2021,0.0258726899383984
"BFA",2022,0.0258726899383984
"BFA",2023,0.0258726899383984
"BFA",2024,0.0258726899383984
"BFA",2025,0.0258726899383984
"BFA",2026,0.0258726899383984
"BFA",2027,0.0258726899383984
"BFA",2028,0.0258726899383984
"BFA",2029,0.0258726899383984
"BFA",2030,0.0258726899383984
"BFA",2031,0.0258726899383984
"BFA",2032,0.0258726899383984
"BFA",2033,0.0258726899383984
"BFA",2034,0.0258726899383984
"BFA",2035,0.0258726899383984
"BFA",2036,0.0258726899383984
"BFA",2037,0.0258726899383984
"BFA",2038,0.0258726899383984
"BFA",2039,0.0258726899383984
"BFA",2040,0.0258726899383984
"BFA",2041,0.0258726899383984
"BFA",2042,0.0258726899383984
"BFA",2043,0.0258726899383984
"BFA",2044,0.0258726899383984
"BFA",2045,0.0258726899383984
"BFA",2046,0.0258726899383984
"BFA",2047,0.0258726899383984
"BFA",2048,0.0258726899383984
"BFA",2049,0.0258726899383984
"BFA",2050,0.0258726899383984
"BGD",2021,0
"BGD",2022,0
"BGD",2023,0
"BGD",2024,0
"BGD",2025,0
"BGD",2026,0
"BGD",2027,0
"BGD",2028,0
"BGD",2029,0
"BGD",2030,0
"BGD",2031,0
"BGD",2032,0
"BGD",2033,0
"BGD",2034,0
"BGD",2035,0
"BGD",2036,0
"BGD",2037,0
"BGD",2038,0
"BGD",2039,0
"BGD",2040,0
"BGD",2041,0
"BGD",2042,0
"BGD",2043,0
"BGD",2044,0
"BGD",2045,0
"BGD",2046,0
"BGD",2047,0
"BGD",2048,0
"BGD",2049,0
"BGD",2050,0
"BGR",2021,0.00197481856602035
"BGR",2022,0.00197481856602035
"BGR",2023,0.00197481856602035
"BGR",2024,0.00197481856602035
"BGR",2025,0.00197481856602035
"BGR",2026,0.00197481856602035
"BGR",2027,0.00197481856602035
"BGR",2028,0.00197481856602035
"BGR",2029,0.00197481856602035
"BGR",2030,0.00197481856602035
"BGR",2031,0.00197481856602035
"BGR",2032,0.00197481856602035
"BGR",2033,0.00197481856602035
"BGR",2034,0.00197481856602035
"BGR",2035,0.00197481856602035
"BGR",2036,0.00197481856602035
"BGR",2037,0.00197481856602035
"BGR",2038,0.00197481856602035
"BGR",2039,0.00197481856602035
"BGR",2040,0.00197481856602035
"BGR",2041,0.00197481856602035
"BGR",2042,0.00197481856602035
"BGR",2043,0.00197481856602035
"BGR",2044,0.00197481856602035
"BGR",2045,0.00197481856602035
"BGR",2046,0.00197481856602035
"BGR",2047,0.00197481856602035
"BGR",2048,0.00197481856602035
"BGR",2049,0.00197481856602035
"BGR",2050,0.00197481856602035
"BHR",2021,0
"BHR",2022,0
"BHR",2023,0
"BHR",2024,0
"BHR",2025,0
"BHR",2026,0
"BHR",2027,0
"BHR",2028,0
"BHR",2029,0
"BHR",2030,0
"BHR",2031,0
"BHR",2032,0
"BHR",2033,0
"BHR",2034,0
"BHR",2035,0
"BHR",2036,0
"BHR",2037,0
"BHR",2038,0
"BHR",2039,0
"BHR",2040,0
"BHR",2041,0
"BHR",2042,0
"BHR",2043,0
"BHR",2044,0
"BHR",2045,0
"BHR",2046,0
"BHR",2047,0
"BHR",2048,0
"BHR",2049,0
"BHR",2050,0
"BIH",2021,0
"BIH",2022,0
"BIH",2023,0
"BIH",2024,0
"BIH",2025,0
"BIH",2026,0
"BIH",2027,0
"BIH",2028,0
"BIH",2029,0
"BIH",2030,0
"BIH",2031,0
"BIH",2032,0
"BIH",2033,0
"BIH",2034,0
"BIH",2035,0
"BIH",2036,0
"BIH",2037,0
"BIH",2038,0
"BIH",2039,0
"BIH",2040,0
"BIH",2041,0
"BIH",2042,0
"BIH",2043,0
"BIH",2044,0
"BIH",2045,0
"BIH",2046,0
"BIH",2047,0
"BIH",2048,0
"BIH",2049,0
"BIH",2050,0
"BLR",2021,0
"BLR",2022,0
"BLR",2023,0
"BLR",2024,0
"BLR",2025,0
"BLR",2026,0
"BLR",2027,0
"BLR",2028,0
"BLR",2029,0
"BLR",2030,0
"BLR",2031,0
"BLR",2032,0
"BLR",2033,0
"BLR",2034,0
"BLR",2035,0
"BLR",2036,0
"BLR",2037,0
"BLR",2038,0
"BLR",2039,0
"BLR",2040,0
"BLR",2041,0
"BLR",2042,0
"BLR",2043,0
"BLR",2044,0
"BLR",2045,0
"BLR",2046,0
"BLR",2047,0
"BLR",2048,0
"BLR",2049,0
"BLR",2050,0
"BLZ",2021,0
"BLZ",2022,0
"BLZ",2023,0
"BLZ",2024,0
"BLZ",2025,0
"BLZ",2026,0
"BLZ",2027,0
"BLZ",2028,0
"BLZ",2029,0
"BLZ",2030,0
"BLZ",2031,0
"BLZ",2032,0
"BLZ",2033,0
"BLZ",2034,0
"BLZ",2035,0
"BLZ",2036,0
"BLZ",2037,0
"BLZ",2038,0
"BLZ",2039,0
"BLZ",2040,0
"BLZ",2041,0
"BLZ",2042,0
"BLZ",2043,0
"BLZ",2044,0
"BLZ",2045,0
"BLZ",2046,0
"BLZ",2047,0
"BLZ",2048,0
"BLZ",2049,0
"BLZ",2050,0
"BOL",2021,0
"BOL",2022,0
"BOL",2023,0
"BOL",2024,0
"BOL",2025,0
"BOL",2026,0
"BOL",2027,0
"BOL",2028,0
"BOL",2029,0
"BOL",2030,0
"BOL",2031,0
"BOL",2032,0
"BOL",2033,0
"BOL",2034,0
"BOL",2035,0
"BOL",2036,0
"BOL",2037,0
"BOL",2038,0
"BOL",2039,0
"BOL",2040,0
"BOL",2041,0
"BOL",2042,0
"BOL",2043,0
"BOL",2044,0
"BOL",2045,0
"BOL",2046,0
"BOL",2047,0
"BOL",2048,0
"BOL",2049,0
"BOL",2050,0
"BRA",2021,0.00548458943869383
"BRA",2022,0.00548458943869383
"BRA",2023,0.00548458943869383
"BRA",2024,0.00548458943869383
"BRA",2025,0.00548458943869383
"BRA",2026,0.00548458943869383
"BRA",2027,0.00548458943869383
"BRA",2028,0.00548458943869383
"BRA",2029,0.00548458943869383
"BRA",2030,0.00548458943869383
"BRA",2031,0.00548458943869383
"BRA",2032,0.00548458943869383
"BRA",2033,0.00548458943869383
"BRA",2034,0.00548458943869383
"BRA",2035,0.00548458943869383
"BRA",2036,0.00548458943869383
"BRA",2037,0.00548458943869383
"BRA",2038,0.00548458943869383
"BRA",2039,0.00548458943869383
"BRA",2040,0.00548458943869383
"BRA",2041,0.00548458943869383
"BRA",2042,0.00548458943869383
"BRA",2043,0.00548458943869383
"BRA",2044,0.00548458943869383
"BRA",2045,0.00548458943869383
"BRA",2046,0.00548458943869383
"BRA",2047,0.00548458943869383
"BRA",2048,0.00548458943869383
"BRA",2049,0.00548458943869383
"BRA",2050,0.00548458943869383
"BRB",2021,0
"BRB",2022,0
"BRB",2023,0
"BRB",2024,0
"BRB",2025,0
"BRB",2026,0
"BRB",2027,0
"BRB",2028,0
"BRB",2029,0
"BRB",2030,0
"BRB",2031,0
"BRB",2032,0
"BRB",2033,0
"BRB",2034,0
"BRB",2035,0
"BRB",2036,0
"BRB",2037,0
"BRB",2038,0
"BRB",2039,0
"BRB",2040,0
"BRB",2041,0
"BRB",2042,0
"BRB",2043,0
"BRB",2044,0
"BRB",2045,0
"BRB",2046,0
"BRB",2047,0
"BRB",2048,0
"BRB",2049,0
"BRB",2050,0
"BTN",2021,0
"BTN",2022,0
"BTN",2023,0
"BTN",2024,0
"BTN",2025,0
"BTN",2026,0
"BTN",2027,0
"BTN",2028,0
"BTN",2029,0
"BTN",2030,0
"BTN",2031,0
"BTN",2032,0
"BTN",2033,0
"BTN",2034,0
"BTN",2035,0
"BTN",2036,0
"BTN",2037,0
"BTN",2038,0
"BTN",2039,0
"BTN",2040,0
"BTN",2041,0
"BTN",2042,0
"BTN",2043,0
"BTN",2044,0
"BTN",2045,0
"BTN",2046,0
"BTN",2047,0
"BTN",2048,0
"BTN",2049,0
"BTN",2050,0
"BWA",2021,0
"BWA",2022,0
"BWA",2023,0
"BWA",2024,0
"BWA",2025,0
"BWA",2026,0
"BWA",2027,0
"BWA",2028,0
"BWA",2029,0
"BWA",2030,0
"BWA",2031,0
"BWA",2032,0
"BWA",2033,0
"BWA",2034,0
"BWA",2035,0
"BWA",2036,0
"BWA",2037,0
"BWA",2038,0
"BWA",2039,0
"BWA",2040,0
"BWA",2041,0
"BWA",2042,0
"BWA",2043,0
"BWA",2044,0
"BWA",2045,0
"BWA",2046,0
"BWA",2047,0
"BWA",2048,0
"BWA",2049,0
"BWA",2050,0
"CAF",2021,0
"CAF",2022,0
"CAF",2023,0
"CAF",2024,0
"CAF",2025,0
"CAF",2026,0
"CAF",2027,0
"CAF",2028,0
"CAF",2029,0
"CAF",2030,0
"CAF",2031,0
"CAF",2032,0
"CAF",2033,0
"CAF",2034,0
"CAF",2035,0
"CAF",2036,0
"CAF",2037,0
"CAF",2038,0
"CAF",2039,0
"CAF",2040,0
"CAF",2041,0
"CAF",2042,0
"CAF",2043,0
"CAF",2044,0
"CAF",2045,0
"CAF",2046,0
"CAF",2047,0
"CAF",2048,0
"CAF",2049,0
"CAF",2050,0
"CAN",2021,0
"CAN",2022,0
