Nation,iso_code3,Year,nemomod_entc_variable_cost_pp_wind_mm_usd_per_mwh
Afghanistan,ALB,2045,1.883431294
Afghanistan,ALB,2046,1.840413664
Afghanistan,ALB,2047,1.798378558
Afghanistan,ALB,2048,1.757303535
Afghanistan,ALB,2049,1.717166667
Afghanistan,ALB,2050,1.677946526
Afghanistan,AND,2021,3.279244348
Afghanistan,AND,2022,3.204346304
Afghanistan,AND,2023,3.131158933
Afghanistan,AND,2024,3.059643164
Afghanistan,AND,2025,2.989760818
Afghanistan,AND,2026,2.921474586
Afghanistan,AND,2027,2.854748015
Afghanistan,AND,2028,2.78954548
Afghanistan,AND,2029,2.725832173
Afghanistan,AND,2030,2.66357408
Afghanistan,AND,2031,2.602737964
Afghanistan,AND,2032,2.543291347
Afghanistan,AND,2033,2.485202492
Afghanistan,AND,2034,2.428440389
Afghanistan,AND,2035,2.372974734
Afghanistan,AND,2036,2.318775916
Afghanistan,AND,2037,2.265815001
Afghanistan,AND,2038,2.214063715
Afghanistan,AND,2039,2.16349443
Afghanistan,AND,2040,2.114080148
Afghanistan,AND,2041,2.065794491
Afghanistan,AND,2042,2.01861168
Afghanistan,AND,2043,1.972506525
Afghanistan,AND,2044,1.927454414
Afghanistan,AND,2045,1.883431294
Afghanistan,AND,2046,1.840413664
Afghanistan,AND,2047,1.798378558
Afghanistan,AND,2048,1.757303535
Afghanistan,AND,2049,1.717166667
Afghanistan,AND,2050,1.677946526
Afghanistan,ARE,2021,3.279244348
Afghanistan,ARE,2022,3.204346304
Afghanistan,ARE,2023,3.131158933
Afghanistan,ARE,2024,3.059643164
Afghanistan,ARE,2025,2.989760818
Afghanistan,ARE,2026,2.921474586
Afghanistan,ARE,2027,2.854748015
Afghanistan,ARE,2028,2.78954548
Afghanistan,ARE,2029,2.725832173
Afghanistan,ARE,2030,2.66357408
Afghanistan,ARE,2031,2.602737964
Afghanistan,ARE,2032,2.543291347
Afghanistan,ARE,2033,2.485202492
Afghanistan,ARE,2034,2.428440389
Afghanistan,ARE,2035,2.372974734
Afghanistan,ARE,2036,2.318775916
Afghanistan,ARE,2037,2.265815001
Afghanistan,ARE,2038,2.214063715
Afghanistan,ARE,2039,2.16349443
Afghanistan,ARE,2040,2.114080148
Afghanistan,ARE,2041,2.065794491
Afghanistan,ARE,2042,2.01861168
Afghanistan,ARE,2043,1.972506525
Afghanistan,ARE,2044,1.927454414
Afghanistan,ARE,2045,1.883431294
Afghanistan,ARE,2046,1.840413664
Afghanistan,ARE,2047,1.798378558
Afghanistan,ARE,2048,1.757303535
Afghanistan,ARE,2049,1.717166667
Afghanistan,ARE,2050,1.677946526
Afghanistan,ARG,2021,3.279244348
Afghanistan,ARG,2022,3.204346304
Afghanistan,ARG,2023,3.131158933
Afghanistan,ARG,2024,3.059643164
Afghanistan,ARG,2025,2.989760818
Afghanistan,ARG,2026,2.921474586
Afghanistan,ARG,2027,2.854748015
Afghanistan,ARG,2028,2.78954548
Afghanistan,ARG,2029,2.725832173
Afghanistan,ARG,2030,2.66357408
Afghanistan,ARG,2031,2.602737964
Afghanistan,ARG,2032,2.543291347
Afghanistan,ARG,2033,2.485202492
Afghanistan,ARG,2034,2.428440389
Afghanistan,ARG,2035,2.372974734
Afghanistan,ARG,2036,2.318775916
Afghanistan,ARG,2037,2.265815001
Afghanistan,ARG,2038,2.214063715
Afghanistan,ARG,2039,2.16349443
Afghanistan,ARG,2040,2.114080148
Afghanistan,ARG,2041,2.065794491
Afghanistan,ARG,2042,2.01861168
Afghanistan,ARG,2043,1.972506525
Afghanistan,ARG,2044,1.927454414
Afghanistan,ARG,2045,1.883431294
Afghanistan,ARG,2046,1.840413664
Afghanistan,ARG,2047,1.798378558
Afghanistan,ARG,2048,1.757303535
Afghanistan,ARG,2049,1.717166667
Afghanistan,ARG,2050,1.677946526
Afghanistan,ARM,2021,3.279244348
Afghanistan,ARM,2022,3.204346304
Afghanistan,ARM,2023,3.131158933
Afghanistan,ARM,2024,3.059643164
Afghanistan,ARM,2025,2.989760818
Afghanistan,ARM,2026,2.921474586
Afghanistan,ARM,2027,2.854748015
Afghanistan,ARM,2028,2.78954548
Afghanistan,ARM,2029,2.725832173
Afghanistan,ARM,2030,2.66357408
Afghanistan,ARM,2031,2.602737964
Afghanistan,ARM,2032,2.543291347
Afghanistan,ARM,2033,2.485202492
Afghanistan,ARM,2034,2.428440389
Afghanistan,ARM,2035,2.372974734
Afghanistan,ARM,2036,2.318775916
Afghanistan,ARM,2037,2.265815001
Afghanistan,ARM,2038,2.214063715
Afghanistan,ARM,2039,2.16349443
Afghanistan,ARM,2040,2.114080148
Afghanistan,ARM,2041,2.065794491
Afghanistan,ARM,2042,2.01861168
Afghanistan,ARM,2043,1.972506525
Afghanistan,ARM,2044,1.927454414
Afghanistan,ARM,2045,1.883431294
Afghanistan,ARM,2046,1.840413664
Afghanistan,ARM,2047,1.798378558
Afghanistan,ARM,2048,1.757303535
Afghanistan,ARM,2049,1.717166667
Afghanistan,ARM,2050,1.677946526
Afghanistan,ASM,2021,3.279244348
Afghanistan,ASM,2022,3.204346304
Afghanistan,ASM,2023,3.131158933
Afghanistan,ASM,2024,3.059643164
Afghanistan,ASM,2025,2.989760818
Afghanistan,ASM,2026,2.921474586
Afghanistan,ASM,2027,2.854748015
Afghanistan,ASM,2028,2.78954548
Afghanistan,ASM,2029,2.725832173
Afghanistan,ASM,2030,2.66357408
Afghanistan,ASM,2031,2.602737964
Afghanistan,ASM,2032,2.543291347
Afghanistan,ASM,2033,2.485202492
Afghanistan,ASM,2034,2.428440389
Afghanistan,ASM,2035,2.372974734
Afghanistan,ASM,2036,2.318775916
Afghanistan,ASM,2037,2.265815001
Afghanistan,ASM,2038,2.214063715
Afghanistan,ASM,2039,2.16349443
Afghanistan,ASM,2040,2.114080148
Afghanistan,ASM,2041,2.065794491
Afghanistan,ASM,2042,2.01861168
Afghanistan,ASM,2043,1.972506525
Afghanistan,ASM,2044,1.927454414
Afghanistan,ASM,2045,1.883431294
Afghanistan,ASM,2046,1.840413664
Afghanistan,ASM,2047,1.798378558
Afghanistan,ASM,2048,1.757303535
Afghanistan,ASM,2049,1.717166667
Afghanistan,ASM,2050,1.677946526
Afghanistan,ATA,2021,3.279244348
Afghanistan,ATA,2022,3.204346304
Afghanistan,ATA,2023,3.131158933
Afghanistan,ATA,2024,3.059643164
Afghanistan,ATA,2025,2.989760818
Afghanistan,ATA,2026,2.921474586
Afghanistan,ATA,2027,2.854748015
Afghanistan,ATA,2028,2.78954548
Afghanistan,ATA,2029,2.725832173
Afghanistan,ATA,2030,2.66357408
Afghanistan,ATA,2031,2.602737964
Afghanistan,ATA,2032,2.543291347
Afghanistan,ATA,2033,2.485202492
Afghanistan,ATA,2034,2.428440389
Afghanistan,ATA,2035,2.372974734
Afghanistan,ATA,2036,2.318775916
Afghanistan,ATA,2037,2.265815001
Afghanistan,ATA,2038,2.214063715
Afghanistan,ATA,2039,2.16349443
Afghanistan,ATA,2040,2.114080148
Afghanistan,ATA,2041,2.065794491
Afghanistan,ATA,2042,2.01861168
Afghanistan,ATA,2043,1.972506525
Afghanistan,ATA,2044,1.927454414
Afghanistan,ATA,2045,1.883431294
Afghanistan,ATA,2046,1.840413664
Afghanistan,ATA,2047,1.798378558
Afghanistan,ATA,2048,1.757303535
Afghanistan,ATA,2049,1.717166667
Afghanistan,ATA,2050,1.677946526
Afghanistan,ATF,2021,3.279244348
Afghanistan,ATF,2022,3.204346304
Afghanistan,ATF,2023,3.131158933
Afghanistan,ATF,2024,3.059643164
Afghanistan,ATF,2025,2.989760818
Afghanistan,ATF,2026,2.921474586
Afghanistan,ATF,2027,2.854748015
Afghanistan,ATF,2028,2.78954548
Afghanistan,ATF,2029,2.725832173
Afghanistan,ATF,2030,2.66357408
Afghanistan,ATF,2031,2.602737964
Afghanistan,ATF,2032,2.543291347
Afghanistan,ATF,2033,2.485202492
Afghanistan,ATF,2034,2.428440389
Afghanistan,ATF,2035,2.372974734
Afghanistan,ATF,2036,2.318775916
Afghanistan,ATF,2037,2.265815001
Afghanistan,ATF,2038,2.214063715
Afghanistan,ATF,2039,2.16349443
Afghanistan,ATF,2040,2.114080148
Afghanistan,ATF,2041,2.065794491
Afghanistan,ATF,2042,2.01861168
Afghanistan,ATF,2043,1.972506525
Afghanistan,ATF,2044,1.927454414
Afghanistan,ATF,2045,1.883431294
Afghanistan,ATF,2046,1.840413664
Afghanistan,ATF,2047,1.798378558
Afghanistan,ATF,2048,1.757303535
Afghanistan,ATF,2049,1.717166667
Afghanistan,ATF,2050,1.677946526
Afghanistan,ATG,2021,3.279244348
Afghanistan,ATG,2022,3.204346304
Afghanistan,ATG,2023,3.131158933
Afghanistan,ATG,2024,3.059643164
Afghanistan,ATG,2025,2.989760818
Afghanistan,ATG,2026,2.921474586
Afghanistan,ATG,2027,2.854748015
Afghanistan,ATG,2028,2.78954548
Afghanistan,ATG,2029,2.725832173
Afghanistan,ATG,2030,2.66357408
Afghanistan,ATG,2031,2.602737964
Afghanistan,ATG,2032,2.543291347
Afghanistan,ATG,2033,2.485202492
Afghanistan,ATG,2034,2.428440389
Afghanistan,ATG,2035,2.372974734
Afghanistan,ATG,2036,2.318775916
Afghanistan,ATG,2037,2.265815001
Afghanistan,ATG,2038,2.214063715
Afghanistan,ATG,2039,2.16349443
Afghanistan,ATG,2040,2.114080148
Afghanistan,ATG,2041,2.065794491
Afghanistan,ATG,2042,2.01861168
Afghanistan,ATG,2043,1.972506525
Afghanistan,ATG,2044,1.927454414
Afghanistan,ATG,2045,1.883431294
Afghanistan,ATG,2046,1.840413664
Afghanistan,ATG,2047,1.798378558
Afghanistan,ATG,2048,1.757303535
Afghanistan,ATG,2049,1.717166667
Afghanistan,ATG,2050,1.677946526
Afghanistan,AUS,2021,3.279244348
Afghanistan,AUS,2022,3.204346304
Afghanistan,AUS,2023,3.131158933
Afghanistan,AUS,2024,3.059643164
Afghanistan,AUS,2025,2.989760818
Afghanistan,AUS,2026,2.921474586
Afghanistan,AUS,2027,2.854748015
Afghanistan,AUS,2028,2.78954548
Afghanistan,AUS,2029,2.725832173
Afghanistan,AUS,2030,2.66357408
Afghanistan,AUS,2031,2.602737964
Afghanistan,AUS,2032,2.543291347
Afghanistan,AUS,2033,2.485202492
Afghanistan,AUS,2034,2.428440389
Afghanistan,AUS,2035,2.372974734
Afghanistan,AUS,2036,2.318775916
Afghanistan,AUS,2037,2.265815001
Afghanistan,AUS,2038,2.214063715
Afghanistan,AUS,2039,2.16349443
Afghanistan,AUS,2040,2.114080148
Afghanistan,AUS,2041,2.065794491
Afghanistan,AUS,2042,2.01861168
Afghanistan,AUS,2043,1.972506525
Afghanistan,AUS,2044,1.927454414
Afghanistan,AUS,2045,1.883431294
Afghanistan,AUS,2046,1.840413664
Afghanistan,AUS,2047,1.798378558
Afghanistan,AUS,2048,1.757303535
Afghanistan,AUS,2049,1.717166667
Afghanistan,AUS,2050,1.677946526
Afghanistan,AUT,2021,3.279244348
Afghanistan,AUT,2022,3.204346304
Afghanistan,AUT,2023,3.131158933
Afghanistan,AUT,2024,3.059643164
Afghanistan,AUT,2025,2.989760818
Afghanistan,AUT,2026,2.921474586
Afghanistan,AUT,2027,2.854748015
Afghanistan,AUT,2028,2.78954548
Afghanistan,AUT,2029,2.725832173
Afghanistan,AUT,2030,2.66357408
Afghanistan,AUT,2031,2.602737964
Afghanistan,AUT,2032,2.543291347
Afghanistan,AUT,2033,2.485202492
Afghanistan,AUT,2034,2.428440389
Afghanistan,AUT,2035,2.372974734
Afghanistan,AUT,2036,2.318775916
Afghanistan,AUT,2037,2.265815001
Afghanistan,AUT,2038,2.214063715
Afghanistan,AUT,2039,2.16349443
Afghanistan,AUT,2040,2.114080148
Afghanistan,AUT,2041,2.065794491
Afghanistan,AUT,2042,2.01861168
Afghanistan,AUT,2043,1.972506525
Afghanistan,AUT,2044,1.927454414
Afghanistan,AUT,2045,1.883431294
Afghanistan,AUT,2046,1.840413664
Afghanistan,AUT,2047,1.798378558
Afghanistan,AUT,2048,1.757303535
Afghanistan,AUT,2049,1.717166667
Afghanistan,AUT,2050,1.677946526
Afghanistan,AZE,2021,3.279244348
Afghanistan,AZE,2022,3.204346304
Afghanistan,AZE,2023,3.131158933
Afghanistan,AZE,2024,3.059643164
Afghanistan,AZE,2025,2.989760818
Afghanistan,AZE,2026,2.921474586
Afghanistan,AZE,2027,2.854748015
Afghanistan,AZE,2028,2.78954548
Afghanistan,AZE,2029,2.725832173
Afghanistan,AZE,2030,2.66357408
Afghanistan,AZE,2031,2.602737964
Afghanistan,AZE,2032,2.543291347
Afghanistan,AZE,2033,2.485202492
Afghanistan,AZE,2034,2.428440389
Afghanistan,AZE,2035,2.372974734
Afghanistan,AZE,2036,2.318775916
Afghanistan,AZE,2037,2.265815001
Afghanistan,AZE,2038,2.214063715
Afghanistan,AZE,2039,2.16349443
Afghanistan,AZE,2040,2.114080148
Afghanistan,AZE,2041,2.065794491
Afghanistan,AZE,2042,2.01861168
Afghanistan,AZE,2043,1.972506525
Afghanistan,AZE,2044,1.927454414
Afghanistan,AZE,2045,1.883431294
Afghanistan,AZE,2046,1.840413664
Afghanistan,AZE,2047,1.798378558
Afghanistan,AZE,2048,1.757303535
Afghanistan,AZE,2049,1.717166667
Afghanistan,AZE,2050,1.677946526
Afghanistan,BDI,2021,3.279244348
Afghanistan,BDI,2022,3.204346304
Afghanistan,BDI,2023,3.131158933
Afghanistan,BDI,2024,3.059643164
Afghanistan,BDI,2025,2.989760818
Afghanistan,BDI,2026,2.921474586
Afghanistan,BDI,2027,2.854748015
Afghanistan,BDI,2028,2.78954548
Afghanistan,BDI,2029,2.725832173
Afghanistan,BDI,2030,2.66357408
Afghanistan,BDI,2031,2.602737964
Afghanistan,BDI,2032,2.543291347
Afghanistan,BDI,2033,2.485202492
Afghanistan,BDI,2034,2.428440389
Afghanistan,BDI,2035,2.372974734
Afghanistan,BDI,2036,2.318775916
Afghanistan,BDI,2037,2.265815001
Afghanistan,BDI,2038,2.214063715
Afghanistan,BDI,2039,2.16349443
Afghanistan,BDI,2040,2.114080148
Afghanistan,BDI,2041,2.065794491
Afghanistan,BDI,2042,2.01861168
Afghanistan,BDI,2043,1.972506525
Afghanistan,BDI,2044,1.927454414
Afghanistan,BDI,2045,1.883431294
Afghanistan,BDI,2046,1.840413664
Afghanistan,BDI,2047,1.798378558
Afghanistan,BDI,2048,1.757303535
Afghanistan,BDI,2049,1.717166667
Afghanistan,BDI,2050,1.677946526
Afghanistan,BEL,2021,3.279244348
Afghanistan,BEL,2022,3.204346304
Afghanistan,BEL,2023,3.131158933
Afghanistan,BEL,2024,3.059643164
Afghanistan,BEL,2025,2.989760818
Afghanistan,BEL,2026,2.921474586
Afghanistan,BEL,2027,2.854748015
Afghanistan,BEL,2028,2.78954548
Afghanistan,BEL,2029,2.725832173
Afghanistan,BEL,2030,2.66357408
Afghanistan,BEL,2031,2.602737964
Afghanistan,BEL,2032,2.543291347
Afghanistan,BEL,2033,2.485202492
Afghanistan,BEL,2034,2.428440389
Afghanistan,BEL,2035,2.372974734
Afghanistan,BEL,2036,2.318775916
Afghanistan,BEL,2037,2.265815001
Afghanistan,BEL,2038,2.214063715
Afghanistan,BEL,2039,2.16349443
Afghanistan,BEL,2040,2.114080148
Afghanistan,BEL,2041,2.065794491
Afghanistan,BEL,2042,2.01861168
Afghanistan,BEL,2043,1.972506525
Afghanistan,BEL,2044,1.927454414
Afghanistan,BEL,2045,1.883431294
Afghanistan,BEL,2046,1.840413664
Afghanistan,BEL,2047,1.798378558
Afghanistan,BEL,2048,1.757303535
Afghanistan,BEL,2049,1.717166667
Afghanistan,BEL,2050,1.677946526
Afghanistan,BEN,2021,3.279244348
Afghanistan,BEN,2022,3.204346304
Afghanistan,BEN,2023,3.131158933
Afghanistan,BEN,2024,3.059643164
Afghanistan,BEN,2025,2.989760818
Afghanistan,BEN,2026,2.921474586
Afghanistan,BEN,2027,2.854748015
Afghanistan,BEN,2028,2.78954548
Afghanistan,BEN,2029,2.725832173
Afghanistan,BEN,2030,2.66357408
Afghanistan,BEN,2031,2.602737964
Afghanistan,BEN,2032,2.543291347
Afghanistan,BEN,2033,2.485202492
Afghanistan,BEN,2034,2.428440389
Afghanistan,BEN,2035,2.372974734
Afghanistan,BEN,2036,2.318775916
Afghanistan,BEN,2037,2.265815001
Afghanistan,BEN,2038,2.214063715
Afghanistan,BEN,2039,2.16349443
Afghanistan,BEN,2040,2.114080148
Afghanistan,BEN,2041,2.065794491
Afghanistan,BEN,2042,2.01861168
Afghanistan,BEN,2043,1.972506525
Afghanistan,BEN,2044,1.927454414
Afghanistan,BEN,2045,1.883431294
Afghanistan,BEN,2046,1.840413664
Afghanistan,BEN,2047,1.798378558
Afghanistan,BEN,2048,1.757303535
Afghanistan,BEN,2049,1.717166667
Afghanistan,BEN,2050,1.677946526
Afghanistan,BES,2021,3.279244348
Afghanistan,BES,2022,3.204346304
Afghanistan,BES,2023,3.131158933
Afghanistan,BES,2024,3.059643164
Afghanistan,BES,2025,2.989760818
Afghanistan,BES,2026,2.921474586
Afghanistan,BES,2027,2.854748015
Afghanistan,BES,2028,2.78954548
Afghanistan,BES,2029,2.725832173
Afghanistan,BES,2030,2.66357408
Afghanistan,BES,2031,2.602737964
Afghanistan,BES,2032,2.543291347
Afghanistan,BES,2033,2.485202492
Afghanistan,BES,2034,2.428440389
Afghanistan,BES,2035,2.372974734
Afghanistan,BES,2036,2.318775916
Afghanistan,BES,2037,2.265815001
Afghanistan,BES,2038,2.214063715
Afghanistan,BES,2039,2.16349443
Afghanistan,BES,2040,2.114080148
Afghanistan,BES,2041,2.065794491
Afghanistan,BES,2042,2.01861168
Afghanistan,BES,2043,1.972506525
Afghanistan,BES,2044,1.927454414
Afghanistan,BES,2045,1.883431294
Afghanistan,BES,2046,1.840413664
Afghanistan,BES,2047,1.798378558
Afghanistan,BES,2048,1.757303535
Afghanistan,BES,2049,1.717166667
Afghanistan,BES,2050,1.677946526
Åland Islands,BFA,2021,2.435641791
Åland Islands,BFA,2022,2.380011656
Åland Islands,BFA,2023,2.325652115
Åland Islands,BFA,2024,2.272534147
Åland Islands,BFA,2025,2.220629395
Åland Islands,BFA,2026,2.16991015
Åland Islands,BFA,2027,2.120349333
Åland Islands,BFA,2028,2.071920488
Åland Islands,BFA,2029,2.024597758
Åland Islands,BFA,2030,1.978355882
Åland Islands,BFA,2031,1.933170171
Åland Islands,BFA,2032,1.889016503
Åland Islands,BFA,2033,1.845871307
Åland Islands,BFA,2034,1.803711548
Åland Islands,BFA,2035,1.762514719
Åland Islands,BFA,2036,1.722258827
Åland Islands,BFA,2037,1.682922381
Åland Islands,BFA,2038,1.644484381
Åland Islands,BFA,2039,1.606924306
Åland Islands,BFA,2040,1.570222104
Åland Islands,BFA,2041,1.534358181
Åland Islands,BFA,2042,1.499313392
Åland Islands,BFA,2043,1.465069027
Åland Islands,BFA,2044,1.431606804
Åland Islands,BFA,2045,1.39890886
Åland Islands,BFA,2046,1.366957737
Åland Islands,BFA,2047,1.335736379
Åland Islands,BFA,2048,1.305228118
Åland Islands,BFA,2049,1.275416667
Åland Islands,BFA,2050,1.24628611
Åland Islands,BGD,2021,2.435641791
Åland Islands,BGD,2022,2.380011656
Åland Islands,BGD,2023,2.325652115
Åland Islands,BGD,2024,2.272534147
Åland Islands,BGD,2025,2.220629395
Åland Islands,BGD,2026,2.16991015
Åland Islands,BGD,2027,2.120349333
Åland Islands,BGD,2028,2.071920488
Åland Islands,BGD,2029,2.024597758
Åland Islands,BGD,2030,1.978355882
Åland Islands,BGD,2031,1.933170171
Åland Islands,BGD,2032,1.889016503
Åland Islands,BGD,2033,1.845871307
Åland Islands,BGD,2034,1.803711548
Åland Islands,BGD,2035,1.762514719
Åland Islands,BGD,2036,1.722258827
Åland Islands,BGD,2037,1.682922381
Åland Islands,BGD,2038,1.644484381
Åland Islands,BGD,2039,1.606924306
Åland Islands,BGD,2040,1.570222104
Åland Islands,BGD,2041,1.534358181
Åland Islands,BGD,2042,1.499313392
Åland Islands,BGD,2043,1.465069027
Åland Islands,BGD,2044,1.431606804
Åland Islands,BGD,2045,1.39890886
Åland Islands,BGD,2046,1.366957737
Åland Islands,BGD,2047,1.335736379
Åland Islands,BGD,2048,1.305228118
Åland Islands,BGD,2049,1.275416667
Åland Islands,BGD,2050,1.24628611
Åland Islands,BGR,2021,2.435641791
Åland Islands,BGR,2022,2.380011656
Åland Islands,BGR,2023,2.325652115
Åland Islands,BGR,2024,2.272534147
Åland Islands,BGR,2025,2.220629395
Åland Islands,BGR,2026,2.16991015
Åland Islands,BGR,2027,2.120349333
Åland Islands,BGR,2028,2.071920488
