iso_code3,Nation,Year,yf_agrc_tubers_tonne_ha
ARM,Armenia,2047,21.340354163333334
ARM,Armenia,2048,21.340354163333334
ARM,Armenia,2049,21.340354163333334
ARM,Armenia,2050,21.340354163333334
ATG,Antigua and Barbuda,2023,18.370547305
ATG,Antigua and Barbuda,2024,18.370547305
ATG,Antigua and Barbuda,2025,18.370547305
ATG,Antigua and Barbuda,2026,18.370547305
ATG,Antigua and Barbuda,2027,18.370547305
ATG,Antigua and Barbuda,2028,18.370547305
ATG,Antigua and Barbuda,2029,18.370547305
ATG,Antigua and Barbuda,2030,18.370547305
ATG,Antigua and Barbuda,2031,18.370547305
ATG,Antigua and Barbuda,2032,18.370547305
ATG,Antigua and Barbuda,2033,18.370547305
ATG,Antigua and Barbuda,2034,18.370547305
ATG,Antigua and Barbuda,2035,18.370547305
ATG,Antigua and Barbuda,2036,18.370547305
ATG,Antigua and Barbuda,2037,18.370547305
ATG,Antigua and Barbuda,2038,18.370547305
ATG,Antigua and Barbuda,2039,18.370547305
ATG,Antigua and Barbuda,2040,18.370547305
ATG,Antigua and Barbuda,2041,18.370547305
ATG,Antigua and Barbuda,2042,18.370547305
ATG,Antigua and Barbuda,2043,18.370547305
ATG,Antigua and Barbuda,2044,18.370547305
ATG,Antigua and Barbuda,2045,18.370547305
ATG,Antigua and Barbuda,2046,18.370547305
ATG,Antigua and Barbuda,2047,18.370547305
ATG,Antigua and Barbuda,2048,18.370547305
ATG,Antigua and Barbuda,2049,18.370547305
ATG,Antigua and Barbuda,2050,18.370547305
AUS,Australia,2023,45.025284953
AUS,Australia,2024,45.025284953
AUS,Australia,2025,45.025284953
AUS,Australia,2026,45.025284953
AUS,Australia,2027,45.025284953
AUS,Australia,2028,45.025284953
AUS,Australia,2029,45.025284953
AUS,Australia,2030,45.025284953
AUS,Australia,2031,45.025284953
AUS,Australia,2032,45.025284953
AUS,Australia,2033,45.025284953
AUS,Australia,2034,45.025284953
AUS,Australia,2035,45.025284953
AUS,Australia,2036,45.025284953
AUS,Australia,2037,45.025284953
AUS,Australia,2038,45.025284953
AUS,Australia,2039,45.025284953
AUS,Australia,2040,45.025284953
AUS,Australia,2041,45.025284953
AUS,Australia,2042,45.025284953
AUS,Australia,2043,45.025284953
AUS,Australia,2044,45.025284953
AUS,Australia,2045,45.025284953
AUS,Australia,2046,45.025284953
AUS,Australia,2047,45.025284953
AUS,Australia,2048,45.025284953
AUS,Australia,2049,45.025284953
AUS,Australia,2050,45.025284953
AUT,Austria,2023,61.57613891
AUT,Austria,2024,61.57613891
AUT,Austria,2025,61.57613891
AUT,Austria,2026,61.57613891
AUT,Austria,2027,61.57613891
AUT,Austria,2028,61.57613891
AUT,Austria,2029,61.57613891
AUT,Austria,2030,61.57613891
AUT,Austria,2031,61.57613891
AUT,Austria,2032,61.57613891
AUT,Austria,2033,61.57613891
AUT,Austria,2034,61.57613891
AUT,Austria,2035,61.57613891
AUT,Austria,2036,61.57613891
AUT,Austria,2037,61.57613891
AUT,Austria,2038,61.57613891
AUT,Austria,2039,61.57613891
AUT,Austria,2040,61.57613891
AUT,Austria,2041,61.57613891
AUT,Austria,2042,61.57613891
AUT,Austria,2043,61.57613891
AUT,Austria,2044,61.57613891
AUT,Austria,2045,61.57613891
AUT,Austria,2046,61.57613891
AUT,Austria,2047,61.57613891
AUT,Austria,2048,61.57613891
AUT,Austria,2049,61.57613891
AUT,Austria,2050,61.57613891
AZE,Azerbaijan,2023,35.1479810825
AZE,Azerbaijan,2024,35.1479810825
AZE,Azerbaijan,2025,35.1479810825
AZE,Azerbaijan,2026,35.1479810825
AZE,Azerbaijan,2027,35.1479810825
AZE,Azerbaijan,2028,35.1479810825
AZE,Azerbaijan,2029,35.1479810825
AZE,Azerbaijan,2030,35.1479810825
AZE,Azerbaijan,2031,35.1479810825
AZE,Azerbaijan,2032,35.1479810825
AZE,Azerbaijan,2033,35.1479810825
AZE,Azerbaijan,2034,35.1479810825
AZE,Azerbaijan,2035,35.1479810825
AZE,Azerbaijan,2036,35.1479810825
AZE,Azerbaijan,2037,35.1479810825
AZE,Azerbaijan,2038,35.1479810825
AZE,Azerbaijan,2039,35.1479810825
AZE,Azerbaijan,2040,35.1479810825
AZE,Azerbaijan,2041,35.1479810825
AZE,Azerbaijan,2042,35.1479810825
AZE,Azerbaijan,2043,35.1479810825
AZE,Azerbaijan,2044,35.1479810825
AZE,Azerbaijan,2045,35.1479810825
AZE,Azerbaijan,2046,35.1479810825
AZE,Azerbaijan,2047,35.1479810825
AZE,Azerbaijan,2048,35.1479810825
AZE,Azerbaijan,2049,35.1479810825
AZE,Azerbaijan,2050,35.1479810825
BDI,Burundi,2023,15.869185453000002
