"Nation","iso_code3","Year","nemomod_entc_variable_cost_pp_wind_mm_usd_per_gw"
"Afghanistan","ABW",2021,3.27924434836301
"Afghanistan","ABW",2022,3.20434630393458
"Afghanistan","ABW",2023,3.1311589332051
"Afghanistan","ABW",2024,3.05964316433331
"Afghanistan","ABW",2025,2.98976081787999
"Afghanistan","ABW",2026,2.92147458642556
"Afghanistan","ABW",2027,2.85474801465305
"Afghanistan","ABW",2028,2.7895454798861
"Afghanistan","ABW",2029,2.72583217307139
"Afghanistan","ABW",2030,2.66357408019549
"Afghanistan","ABW",2031,2.60273796412611
"Afghanistan","ABW",2032,2.54329134686808
"Afghanistan","ABW",2033,2.4852024922247
"Afghanistan","ABW",2034,2.428440388855
"Afghanistan","ABW",2035,2.372974733718
"Afghanistan","ABW",2036,2.31877591589514
"Afghanistan","ABW",2037,2.26581500078219
"Afghanistan","ABW",2038,2.21406371464216
"Afghanistan","ABW",2039,2.16349442951115
"Afghanistan","ABW",2040,2.11408014844878
"Afghanistan","ABW",2041,2.06579449112567
"Afghanistan","ABW",2042,2.01861167974
"Afghanistan","ABW",2043,1.97250652525574
"Afghanistan","ABW",2044,1.92745441395525
"Afghanistan","ABW",2045,1.88343129429896
"Afghanistan","ABW",2046,1.84041366408524
"Afghanistan","ABW",2047,1.79837855790349
"Afghanistan","ABW",2048,1.7573035348738
"Afghanistan","ABW",2049,1.71716666666667
"Afghanistan","ABW",2050,1.67794652579634
"Afghanistan","AFG",2021,3.27924434836301
"Afghanistan","AFG",2022,3.20434630393458
"Afghanistan","AFG",2023,3.1311589332051
"Afghanistan","AFG",2024,3.05964316433331
"Afghanistan","AFG",2025,2.98976081787999
"Afghanistan","AFG",2026,2.92147458642556
"Afghanistan","AFG",2027,2.85474801465305
"Afghanistan","AFG",2028,2.7895454798861
"Afghanistan","AFG",2029,2.72583217307139
"Afghanistan","AFG",2030,2.66357408019549
"Afghanistan","AFG",2031,2.60273796412611
"Afghanistan","AFG",2032,2.54329134686808
"Afghanistan","AFG",2033,2.4852024922247
"Afghanistan","AFG",2034,2.428440388855
"Afghanistan","AFG",2035,2.372974733718
"Afghanistan","AFG",2036,2.31877591589514
"Afghanistan","AFG",2037,2.26581500078219
"Afghanistan","AFG",2038,2.21406371464216
"Afghanistan","AFG",2039,2.16349442951115
"Afghanistan","AFG",2040,2.11408014844878
"Afghanistan","AFG",2041,2.06579449112567
"Afghanistan","AFG",2042,2.01861167974
"Afghanistan","AFG",2043,1.97250652525574
"Afghanistan","AFG",2044,1.92745441395525
"Afghanistan","AFG",2045,1.88343129429896
"Afghanistan","AFG",2046,1.84041366408524
"Afghanistan","AFG",2047,1.79837855790349
"Afghanistan","AFG",2048,1.7573035348738
"Afghanistan","AFG",2049,1.71716666666667
