"Nation","iso_code3","efficfactor_scoe_heat_energy_residential_gas_petroleum_liquid","Year"
"Albania","ALB",1.0987,2022
"Algeria","DZA",1.18,2022
"Angola","AGO",1.1297,2022
"Argentina","ARG",1.10977608695652,2022
"Armenia","ARM",1.0987,2022
"Australia","AUS",1.1393,2022
"Austria","AUT",1.0987,2022
"Azerbaijan","AZE",1.0987,2022
"Bahrain","BHR",1.1297,2022
"Bangladesh","BGD",1.1297,2022
"Belarus","BLR",1.0987,2022
"Belgium","BEL",1.0987,2022
"Benin","BEN",1.1297,2022
"Bolivia","BOL",1.1297,2022
"Bosnia and Herzegovina","BIH",1.0987,2022
"Botswana","BWA",1.1297,2022
"Brazil","BRA",1.11678723404255,2022
"Brunei Darussalam","BRN",1.1297,2022
"Bulgaria","BGR",1.0987,2022
"Cambodia","KHM",1.18,2022
"Cameroon","CMR",1.1297,2022
"Canada","CAN",1.1297,2022
"Chile","CHL",1.1297,2022
"China","CHN",1.17360930232558,2022
"Colombia","COL",1.102,2022
"Costa Rica","CRI",1.1297,2022
"Croatia","HRV",1.0987,2022
"Cuba","CUB",1.12005652173913,2022
"Cyprus","CYP",1.0987,2022
"Denmark","DNK",1.0987,2022
"Dominican Republic","DOM",1.1297,2022
"Ecuador","ECU",1.1297,2022
"Egypt","EGY",1.1297,2022
"El Salvador","SLV",1.1297,2022
"Eritrea","ERI",1.1297,2022
"Estonia","EST",1.0987,2022
"Ethiopia","ETH",1.1297,2022
"Finland","FIN",1.0987,2022
"France","FRA",1.0987,2022
"Gabon","GAB",1.1297,2022
"Georgia","GEO",1.0987,2022
"Germany","DEU",1.0987,2022
"Ghana","GHA",1.1297,2022
"Gibraltar","GIB",1.11779932589735,2022
"Greece","GRC",1.0987,2022
"Guatemala","GTM",1.1297,2022
"Haiti","HTI",1.1297,2022
"Honduras","HND",1.1297,2022
"Hungary","HUN",1.0987,2022
"Iceland","ISL",1.0987,2022
"India","IND",1.1297,2022
"Indonesia","IDN",1.1297,2022
"Iraq","IRQ",1.1297,2022
"Ireland","IRL",1.0987,2022
"Israel","ISR",1.1297,2022
"Italy","ITA",1.0987,2022
"Jamaica","JAM",1.1297,2022
"Japan","JPN",1.1393,2022
"Jordan","JOR",1.11931086956522,2022
"Kazakhstan","KAZ",1.0987,2022
"Kenya","KEN",1.1297,2022
"Korea","KOR",1.1393,2022
"Kosovo","XKX",1.0987,2022
"Kuwait","KWT",1.1297,2022
"Latvia","LVA",1.0987,2022
"Lebanon","LBN",1.1297,2022
"Libya","LBY",1.1297,2022
"Lithuania","LTU",1.0987,2022
"Luxembourg","LUX",1.0987,2022
"Malaysia","MYS",1.10802826086957,2022
"Malta","MLT",1.0987,2022
"Mauritius","MUS",1.1297,2022
"Mexico","MEX",1.1297,2022
"Mongolia","MNG",1.11779932589735,2022
"Montenegro","MNE",1.0987,2022
"Morocco","MAR",1.1297,2022
"Mozambique","MOZ",1.10758043478261,2022
"Myanmar","MMR",1.1297,2022
"Namibia","NAM",1.1297,2022
"Nepal","NPL",1.17287837837838,2022
"Netherlands","NLD",1.0987,2022
"New Zealand","NZL",1.1393,2022
"Nicaragua","NIC",1.12678695652174,2022
"Niger","NER",1.1297,2022
"Nigeria","NGA",1.1297,2022
"Norway","NOR",1.0987,2022
"Oman","OMN",1.1297,2022
"Pakistan","PAK",1.085,2022
"Panama","PAN",1.1297,2022
"Paraguay","PRY",1.095,2022
"Peru","PER",1.1297,2022
"Philippines","PHL",1.076,2022
"Poland","POL",1.0987,2022
"Portugal","PRT",1.0987,2022
"Qatar","QAT",1.1297,2022
"Romania","ROU",1.0987,2022
"Russian Federation","RUS",1.0987,2022
"Saudi Arabia","SAU",1.1297,2022
"Senegal","SEN",1.1297,2022
"Serbia","SRB",1.0987,2022
"Singapore","SGP",1.1297,2022
"Slovak Republic","SVK",1.0987,2022
"Slovenia","SVN",1.0987,2022
"South Africa","ZAF",1.12307391304348,2022
"South Sudan","SSD",1.1297,2022
"Spain","ESP",1.0987,2022
"Sri Lanka","LKA",1.09241860465116,2022
"Sudan","SDN",1.1297,2022
"Suriname","SUR",1.1297,2022
"Sweden","SWE",1.0987,2022
"Switzerland","CHE",1.0987,2022
"Syrian Arab Republic","SYR",1.1297,2022
"Tajikistan","TJK",1.0987,2022
"Thailand","THA",1.1774,2022
"Togo","TGO",1.1297,2022
"Trinidad and Tobago","TTO",1.1297,2022
"Tunisia","TUN",1.1183652173913,2022
"Turkey","TUR",1.0987,2022
"Turkmenistan","TKM",1.0987,2022
"Ukraine","UKR",1.0987,2022
"United Arab Emirates","ARE",1.1297,2022
"United Kingdom","GBR",1.0987,2022
"United States","USA",1.1297,2022
"Uruguay","URY",1.11658260869565,2022
"Uzbekistan","UZB",1.0987,2022
"Venezuela","VEN",1.1768,2022
"Vietnam","VNM",1.088,2022
"Zambia","ZMB",1.09386,2022
"Zimbabwe","ZWE",1.1297,2022
"Albania","ALB",1.0987,2023
"Algeria","DZA",1.18,2023
"Angola","AGO",1.1297,2023
"Argentina","ARG",1.10977608695652,2023
"Armenia","ARM",1.0987,2023
"Australia","AUS",1.1393,2023
"Austria","AUT",1.0987,2023
"Azerbaijan","AZE",1.0987,2023
"Bahrain","BHR",1.1297,2023
"Bangladesh","BGD",1.1297,2023
"Belarus","BLR",1.0987,2023
"Belgium","BEL",1.0987,2023
"Benin","BEN",1.1297,2023
"Bolivia","BOL",1.1297,2023
"Bosnia and Herzegovina","BIH",1.0987,2023
"Botswana","BWA",1.1297,2023
"Brazil","BRA",1.11678723404255,2023
"Brunei Darussalam","BRN",1.1297,2023
"Bulgaria","BGR",1.0987,2023
"Cambodia","KHM",1.18,2023
"Cameroon","CMR",1.1297,2023
"Canada","CAN",1.1297,2023
"Chile","CHL",1.1297,2023
"China","CHN",1.17360930232558,2023
"Colombia","COL",1.102,2023
"Costa Rica","CRI",1.1297,2023
"Croatia","HRV",1.0987,2023
"Cuba","CUB",1.12005652173913,2023
"Cyprus","CYP",1.0987,2023
"Denmark","DNK",1.0987,2023
"Dominican Republic","DOM",1.1297,2023
"Ecuador","ECU",1.1297,2023
"Egypt","EGY",1.1297,2023
"El Salvador","SLV",1.1297,2023
"Eritrea","ERI",1.1297,2023
"Estonia","EST",1.0987,2023
"Ethiopia","ETH",1.1297,2023
"Finland","FIN",1.0987,2023
"France","FRA",1.0987,2023
"Gabon","GAB",1.1297,2023
"Georgia","GEO",1.0987,2023
"Germany","DEU",1.0987,2023
"Ghana","GHA",1.1297,2023
"Gibraltar","GIB",1.11779932589735,2023
"Greece","GRC",1.0987,2023
"Guatemala","GTM",1.1297,2023
"Haiti","HTI",1.1297,2023
"Honduras","HND",1.1297,2023
"Hungary","HUN",1.0987,2023
"Iceland","ISL",1.0987,2023
"India","IND",1.1297,2023
"Indonesia","IDN",1.1297,2023
"Iraq","IRQ",1.1297,2023
"Ireland","IRL",1.0987,2023
"Israel","ISR",1.1297,2023
"Italy","ITA",1.0987,2023
"Jamaica","JAM",1.1297,2023
"Japan","JPN",1.1393,2023
"Jordan","JOR",1.11931086956522,2023
"Kazakhstan","KAZ",1.0987,2023
"Kenya","KEN",1.1297,2023
"Korea","KOR",1.1393,2023
"Kosovo","XKX",1.0987,2023
"Kuwait","KWT",1.1297,2023
"Latvia","LVA",1.0987,2023
"Lebanon","LBN",1.1297,2023
"Libya","LBY",1.1297,2023
"Lithuania","LTU",1.0987,2023
"Luxembourg","LUX",1.0987,2023
"Malaysia","MYS",1.10802826086957,2023
"Malta","MLT",1.0987,2023
"Mauritius","MUS",1.1297,2023
"Mexico","MEX",1.1297,2023
"Mongolia","MNG",1.11779932589735,2023
"Montenegro","MNE",1.0987,2023
"Morocco","MAR",1.1297,2023
"Mozambique","MOZ",1.10758043478261,2023
"Myanmar","MMR",1.1297,2023
"Namibia","NAM",1.1297,2023
"Nepal","NPL",1.17287837837838,2023
"Netherlands","NLD",1.0987,2023
"New Zealand","NZL",1.1393,2023
"Nicaragua","NIC",1.12678695652174,2023
"Niger","NER",1.1297,2023
"Nigeria","NGA",1.1297,2023
"Norway","NOR",1.0987,2023
"Oman","OMN",1.1297,2023
"Pakistan","PAK",1.085,2023
"Panama","PAN",1.1297,2023
"Paraguay","PRY",1.095,2023
"Peru","PER",1.1297,2023
"Philippines","PHL",1.076,2023
"Poland","POL",1.0987,2023
"Portugal","PRT",1.0987,2023
"Qatar","QAT",1.1297,2023
"Romania","ROU",1.0987,2023
"Russian Federation","RUS",1.0987,2023
"Saudi Arabia","SAU",1.1297,2023
"Senegal","SEN",1.1297,2023
"Serbia","SRB",1.0987,2023
"Singapore","SGP",1.1297,2023
"Slovak Republic","SVK",1.0987,2023
"Slovenia","SVN",1.0987,2023
"South Africa","ZAF",1.12307391304348,2023
"South Sudan","SSD",1.1297,2023
"Spain","ESP",1.0987,2023
"Sri Lanka","LKA",1.09241860465116,2023
"Sudan","SDN",1.1297,2023
"Suriname","SUR",1.1297,2023
"Sweden","SWE",1.0987,2023
"Switzerland","CHE",1.0987,2023
"Syrian Arab Republic","SYR",1.1297,2023
"Tajikistan","TJK",1.0987,2023
"Thailand","THA",1.1774,2023
"Togo","TGO",1.1297,2023
"Trinidad and Tobago","TTO",1.1297,2023
"Tunisia","TUN",1.1183652173913,2023
"Turkey","TUR",1.0987,2023
"Turkmenistan","TKM",1.0987,2023
"Ukraine","UKR",1.0987,2023
"United Arab Emirates","ARE",1.1297,2023
"United Kingdom","GBR",1.0987,2023
"United States","USA",1.1297,2023
"Uruguay","URY",1.11658260869565,2023
"Uzbekistan","UZB",1.0987,2023
"Venezuela","VEN",1.1768,2023
"Vietnam","VNM",1.088,2023
"Zambia","ZMB",1.09386,2023
"Zimbabwe","ZWE",1.1297,2023
"Albania","ALB",1.0987,2024
"Algeria","DZA",1.18,2024
"Angola","AGO",1.1297,2024
"Argentina","ARG",1.10977608695652,2024
"Armenia","ARM",1.0987,2024
"Australia","AUS",1.1393,2024
"Austria","AUT",1.0987,2024
"Azerbaijan","AZE",1.0987,2024
"Bahrain","BHR",1.1297,2024
"Bangladesh","BGD",1.1297,2024
"Belarus","BLR",1.0987,2024
"Belgium","BEL",1.0987,2024
"Benin","BEN",1.1297,2024
"Bolivia","BOL",1.1297,2024
"Bosnia and Herzegovina","BIH",1.0987,2024
"Botswana","BWA",1.1297,2024
"Brazil","BRA",1.11678723404255,2024
"Brunei Darussalam","BRN",1.1297,2024
"Bulgaria","BGR",1.0987,2024
"Cambodia","KHM",1.18,2024
"Cameroon","CMR",1.1297,2024
"Canada","CAN",1.1297,2024
"Chile","CHL",1.1297,2024
"China","CHN",1.17360930232558,2024
"Colombia","COL",1.102,2024
"Costa Rica","CRI",1.1297,2024
"Croatia","HRV",1.0987,2024
"Cuba","CUB",1.12005652173913,2024
"Cyprus","CYP",1.0987,2024
"Denmark","DNK",1.0987,2024
"Dominican Republic","DOM",1.1297,2024
"Ecuador","ECU",1.1297,2024
"Egypt","EGY",1.1297,2024
"El Salvador","SLV",1.1297,2024
"Eritrea","ERI",1.1297,2024
"Estonia","EST",1.0987,2024
"Ethiopia","ETH",1.1297,2024
"Finland","FIN",1.0987,2024
"France","FRA",1.0987,2024
"Gabon","GAB",1.1297,2024
"Georgia","GEO",1.0987,2024
"Germany","DEU",1.0987,2024
"Ghana","GHA",1.1297,2024
"Gibraltar","GIB",1.11779932589735,2024
"Greece","GRC",1.0987,2024
"Guatemala","GTM",1.1297,2024
"Haiti","HTI",1.1297,2024
"Honduras","HND",1.1297,2024
