Year,iso_code3,cost_enfu_fuel_coke_usd_per_tonne
2015,ABW,187.7075
2016,ABW,187.7075
2017,ABW,187.7075
2018,ABW,187.7075
2019,ABW,187.7075
2020,ABW,187.7075
2015,AFG,187.7075
2016,AFG,187.7075
2017,AFG,187.7075
2018,AFG,187.7075
2019,AFG,187.7075
2020,AFG,187.7075
2015,AGO,187.7075
2016,AGO,187.7075
2017,AGO,187.7075
2018,AGO,187.7075
2019,AGO,187.7075
2020,AGO,187.7075
2015,ALB,187.7075
2016,ALB,187.7075
2017,ALB,187.7075
2018,ALB,187.7075
2019,ALB,187.7075
2020,ALB,187.7075
2015,AND,187.7075
2016,AND,187.7075
2017,AND,187.7075
2018,AND,187.7075
2019,AND,187.7075
2020,AND,187.7075
2015,ARE,187.7075
2016,ARE,187.7075
2017,ARE,187.7075
2018,ARE,187.7075
2019,ARE,187.7075
2020,ARE,187.7075
2015,ARG,187.7075
2016,ARG,187.7075
2017,ARG,187.7075
2018,ARG,187.7075
2019,ARG,187.7075
2020,ARG,187.7075
2015,ARM,187.7075
2016,ARM,187.7075
2017,ARM,187.7075
2018,ARM,187.7075
2019,ARM,187.7075
2020,ARM,187.7075
2015,ASM,187.7075
2016,ASM,187.7075
2017,ASM,187.7075
2018,ASM,187.7075
2019,ASM,187.7075
2020,ASM,187.7075
2015,ATG,187.7075
2016,ATG,187.7075
2017,ATG,187.7075
2018,ATG,187.7075
2019,ATG,187.7075
2020,ATG,187.7075
2015,AUS,187.7075
2016,AUS,187.7075
2017,AUS,187.7075
2018,AUS,187.7075
2019,AUS,187.7075
2020,AUS,187.7075
2015,AUT,187.7075
2016,AUT,187.7075
2017,AUT,187.7075
2018,AUT,187.7075
2019,AUT,187.7075
2020,AUT,187.7075
2015,AZE,187.7075
2016,AZE,187.7075
2017,AZE,187.7075
2018,AZE,187.7075
2019,AZE,187.7075
2020,AZE,187.7075
2015,BDI,187.7075
2016,BDI,187.7075
2017,BDI,187.7075
2018,BDI,187.7075
2019,BDI,187.7075
2020,BDI,187.7075
2015,BEL,184.8516667
2016,BEL,184.8516667
2017,BEL,184.8516667
2018,BEL,184.8516667
2019,BEL,184.8516667
2020,BEL,184.8516667
2015,BEN,187.7075
2016,BEN,187.7075
2017,BEN,187.7075
2018,BEN,187.7075
2019,BEN,187.7075
2020,BEN,187.7075
2015,BFA,187.7075
2016,BFA,187.7075
2017,BFA,187.7075
2018,BFA,187.7075
2019,BFA,187.7075
2020,BFA,187.7075
2015,BGD,187.7075
2016,BGD,187.7075
2017,BGD,187.7075
2018,BGD,187.7075
2019,BGD,187.7075
2020,BGD,187.7075
2015,BGR,187.7075
2016,BGR,187.7075
2017,BGR,187.7075
2018,BGR,187.7075
2019,BGR,187.7075
2020,BGR,187.7075
2015,BHR,187.7075
2016,BHR,187.7075
2017,BHR,187.7075
2018,BHR,187.7075
2019,BHR,187.7075
2020,BHR,187.7075
2015,BHS,187.7075
2016,BHS,187.7075
2017,BHS,187.7075
2018,BHS,187.7075
2019,BHS,187.7075
2020,BHS,187.7075
2015,BIH,187.7075
2016,BIH,187.7075
2017,BIH,187.7075
2018,BIH,187.7075
2019,BIH,187.7075
2020,BIH,187.7075
2015,BLR,187.7075
2016,BLR,187.7075
2017,BLR,187.7075
2018,BLR,187.7075
2019,BLR,187.7075
2020,BLR,187.7075
2015,BLZ,187.7075
2016,BLZ,187.7075
2017,BLZ,187.7075
2018,BLZ,187.7075
2019,BLZ,187.7075
2020,BLZ,187.7075
2015,BMU,187.7075
2016,BMU,187.7075
2017,BMU,187.7075
2018,BMU,187.7075
2019,BMU,187.7075
2020,BMU,187.7075
2015,BOL,187.7075
2016,BOL,187.7075
2017,BOL,187.7075
2018,BOL,187.7075
2019,BOL,187.7075
2020,BOL,187.7075
2015,BRA,187.7075
2016,BRA,187.7075
2017,BRA,187.7075
2018,BRA,187.7075
2019,BRA,187.7075
2020,BRA,187.7075
2015,BRB,187.7075
2016,BRB,187.7075
2017,BRB,187.7075
2018,BRB,187.7075
2019,BRB,187.7075
2020,BRB,187.7075
2015,BRN,187.7075
2016,BRN,187.7075
2017,BRN,187.7075
2018,BRN,187.7075
2019,BRN,187.7075
2020,BRN,187.7075
2015,BTN,187.7075
2016,BTN,187.7075
2017,BTN,187.7075
2018,BTN,187.7075
2019,BTN,187.7075
2020,BTN,187.7075
2015,BWA,187.7075
2016,BWA,187.7075
2017,BWA,187.7075
2018,BWA,187.7075
2019,BWA,187.7075
2020,BWA,187.7075
2015,CAF,187.7075
2016,CAF,187.7075
2017,CAF,187.7075
2018,CAF,187.7075
2019,CAF,187.7075
2020,CAF,187.7075
2015,CAN,187.7075
2016,CAN,187.7075
2017,CAN,187.7075
2018,CAN,187.7075
2019,CAN,187.7075
2020,CAN,187.7075
2015,CHE,187.7075
2016,CHE,187.7075
2017,CHE,187.7075
2018,CHE,187.7075
2019,CHE,187.7075
2020,CHE,187.7075
2015,CHL,237.48625
2016,CHL,237.48625
2017,CHL,237.48625
2018,CHL,237.48625
2019,CHL,237.48625
2020,CHL,237.48625
2015,CHN,187.7075
2016,CHN,187.7075
2017,CHN,187.7075
2018,CHN,187.7075
2019,CHN,187.7075
2020,CHN,187.7075
2015,CIV,187.7075
2016,CIV,187.7075
2017,CIV,187.7075
2018,CIV,187.7075
2019,CIV,187.7075
2020,CIV,187.7075
2015,CMR,187.7075
2016,CMR,187.7075
2017,CMR,187.7075
2018,CMR,187.7075
2019,CMR,187.7075
2020,CMR,187.7075
2015,COD,187.7075
2016,COD,187.7075
2017,COD,187.7075
2018,COD,187.7075
2019,COD,187.7075
2020,COD,187.7075
2015,COG,187.7075
2016,COG,187.7075
2017,COG,187.7075
2018,COG,187.7075
2019,COG,187.7075
2020,COG,187.7075
2015,COL,187.7075
2016,COL,187.7075
2017,COL,187.7075
2018,COL,187.7075
2019,COL,187.7075
2020,COL,187.7075
2015,COM,187.7075
2016,COM,187.7075
2017,COM,187.7075
2018,COM,187.7075
2019,COM,187.7075
2020,COM,187.7075
2015,CPV,187.7075
2016,CPV,187.7075
2017,CPV,187.7075
