Year,iso_code3,frac_enfu_transmission_loss_fuel_electricity
2010,ABW,0.159928264471272
2011,ABW,0.159928264471272
2012,ABW,0.159928264471272
2013,ABW,0.159928264471272
2014,ABW,0.159928264471272
2015,ABW,0.159928264471272
2016,ABW,0.159928264471272
2017,ABW,0.159928264471272
2018,ABW,0.159928264471272
2019,ABW,0.159928264471272
2020,ABW,0.159928264471272
2010,AFG,0.162262671639261
2011,AFG,0.168829529919024
2012,AFG,0.170319895968791
2013,AFG,0.162688804335293
2014,AFG,0.171355666056006
2015,AFG,0.167091313583675
2016,AFG,0.167091313583675
2017,AFG,0.167091313583675
2018,AFG,0.167091313583675
2019,AFG,0.167091313583675
2020,AFG,0.167091313583675
2010,AGO,0.115066984767847
2011,AGO,0.112723411785525
2012,AGO,0.112669245647969
2013,AGO,0.112706913339825
2014,AGO,0.1126582278481009
2015,AGO,0.1131649566778534
2016,AGO,0.1131649566778534
2017,AGO,0.1131649566778534
2018,AGO,0.1131649566778534
2019,AGO,0.1131649566778534
2020,AGO,0.1131649566778534
2010,ALB,0.126585623678647
2011,ALB,0.249343832020997
2012,ALB,0.236825396825397
2013,ALB,0.279925276620204
2014,ALB,0.236875529212532
2015,ALB,0.2259111316715554
2016,ALB,0.2259111316715554
2017,ALB,0.2259111316715554
2018,ALB,0.2259111316715554
2019,ALB,0.2259111316715554
2020,ALB,0.2259111316715554
2010,AND,0.0627590667836288
2011,AND,0.0582556728824983
2012,AND,0.067322715836427
2013,AND,0.0662596006686085
2014,AND,0.0634238936577899
2015,AND,0.0636041899657905
2016,AND,0.0636041899657905
2017,AND,0.0636041899657905
2018,AND,0.0636041899657905
2019,AND,0.0636041899657905
2020,AND,0.0636041899657905
2010,ARE,0.0717603962017027
2011,ARE,0.0717592826089149
2012,ARE,0.0717641325536062
2013,ARE,0.0717647944870177
2014,ARE,0.0677347933543869
2015,ARE,0.0709566798411256
2016,ARE,0.0709566798411256
2017,ARE,0.0709566798411256
2018,ARE,0.0709566798411256
2019,ARE,0.0709566798411256
2020,ARE,0.0709566798411256
2010,ARG,0.134253530571677
2011,ARG,0.14434796032573
2012,ARG,0.13599799449962
2013,ARG,0.160183494154359
2014,ARG,0.146573815349423
2015,ARG,0.1442713589801618
2016,ARG,0.1442713589801618
2017,ARG,0.1442713589801618
2018,ARG,0.1442713589801618
2019,ARG,0.1442713589801618
2020,ARG,0.1442713589801618
