Year,iso_code3,ef_frst_sequestration_primary_kt_co2_ha
2015,AFG,0.0018817839560903522
2016,AFG,0.0018817839560903522
2017,AFG,0.0018817839560903522
2018,AFG,0.0018817839560903522
2019,AFG,0.0018817839560903522
2015,AGO,0.0008001529498731567
2016,AGO,0.0008001529498731567
2017,AGO,0.0008001529498731567
2018,AGO,0.0008001529498731567
2019,AGO,0.0008001529498731567
2015,ALB,0.0002282484279297672
2016,ALB,0.0002282484279297672
2017,ALB,0.0002282484279297672
2018,ALB,0.0002282484279297672
2019,ALB,0.0002282484279297672
2015,ARG,0.00017702374232401162
2016,ARG,0.00017702374232401162
2017,ARG,0.00017702374232401162
2018,ARG,0.00017702374232401162
2019,ARG,0.00017702374232401162
2015,AUS,0.0002092552951332709
2016,AUS,0.0002092552951332709
2017,AUS,0.0002092552951332709
2018,AUS,0.0002092552951332709
2019,AUS,0.0002092552951332709
2015,AUT,0.001278650646037363
2016,AUT,0.001278650646037363
2017,AUT,0.001278650646037363
2018,AUT,0.001278650646037363
2019,AUT,0.001278650646037363
2015,AZE,0.0005842737635480254
2016,AZE,0.0005842737635480254
2017,AZE,0.0005842737635480254
2018,AZE,0.0005842737635480254
2019,AZE,0.0005842737635480254
2015,BDI,0.0018242531017369724
2016,BDI,0.0018242531017369724
2017,BDI,0.0018242531017369724
2018,BDI,0.0018242531017369724
2019,BDI,0.0018242531017369724
2015,BEL,0.0039636666666666666
2016,BEL,0.0039636666666666666
2017,BEL,0.0039636666666666666
2018,BEL,0.0039636666666666666
2019,BEL,0.0039636666666666666
2015,BEN,9.490384615384614e-06
2016,BEN,9.490384615384614e-06
2017,BEN,9.490384615384614e-06
2018,BEN,9.490384615384614e-06
2019,BEN,9.490384615384614e-06
2015,BFA,0.00012780479590462077
2016,BFA,0.00012780479590462077
2017,BFA,0.00012780479590462077
2018,BFA,0.00012780479590462077
2019,BFA,0.00012780479590462077
2015,BGD,0.0010072769519550604
2016,BGD,0.0010072769519550604
2017,BGD,0.0010072769519550604
2018,BGD,0.0010072769519550604
2019,BGD,0.0010072769519550604
2015,BGR,0.003551451140499497
2016,BGR,0.003551451140499497
2017,BGR,0.003551451140499497
2018,BGR,0.003551451140499497
2019,BGR,0.003551451140499497
2015,BHS,0.0015678098133603579
2016,BHS,0.0015678098133603579
2017,BHS,0.0015678098133603579
2018,BHS,0.0015678098133603579
2019,BHS,0.0015678098133603579
2015,BIH,0.00015203684039981054
2016,BIH,0.00015203684039981054
2017,BIH,0.00015203684039981054
2018,BIH,0.00015203684039981054
2019,BIH,0.00015203684039981054
2015,BOL,0.0011586290633623746
2016,BOL,0.0011586290633623746
2017,BOL,0.0011586290633623746
2018,BOL,0.0011586290633623746
2019,BOL,0.0011586290633623746
2015,BRA,0.0013054058885658948
2016,BRA,0.0013054058885658948
2017,BRA,0.0013054058885658948
2018,BRA,0.0013054058885658948
2019,BRA,0.0013054058885658948
2015,BTN,0.00020172736262791296
2016,BTN,0.00020172736262791296
2017,BTN,0.00020172736262791296
2018,BTN,0.00020172736262791296
2019,BTN,0.00020172736262791296
2015,CAF,0.0015461171181755582
2016,CAF,0.0015461171181755582
2017,CAF,0.0015461171181755582
2018,CAF,0.0015461171181755582
2019,CAF,0.0015461171181755582
2015,CAN,0.0007057771690808958
2016,CAN,0.0007057771690808958
2017,CAN,0.0007057771690808958
