"Nation","iso_code3","Year","nemomod_entc_variable_cost_pp_biomass_mm_usd_per_gw"
"Afghanistan","ABW",2021,0.968209386365162
"Afghanistan","ABW",2022,0.946095453418323
"Afghanistan","ABW",2023,0.924486603398032
"Afghanistan","ABW",2024,0.903371300194304
"Afghanistan","ABW",2025,0.88273827118227
"Afghanistan","ABW",2026,0.862576501204168
"Afghanistan","ABW",2027,0.842875226688787
"Afghanistan","ABW",2028,0.823623929905223
"Afghanistan","ABW",2029,0.804812333347877
"Afghanistan","ABW",2030,0.786430394249704
"Afghanistan","ABW",2031,0.768468299220772
"Afghanistan","ABW",2032,0.750916459009288
"Afghanistan","ABW",2033,0.733765503382272
"Afghanistan","ABW",2034,0.717006276123159
"Afghanistan","ABW",2035,0.700629830143662
"Afghanistan","ABW",2036,0.684627422707272
"Afghanistan","ABW",2037,0.668990510761857
"Afghanistan","ABW",2038,0.653710746378867
"Afghanistan","ABW",2039,0.638779972296701
"Afghanistan","ABW",2040,0.624190217565873
"Afghanistan","ABW",2041,0.609933693293633
"Afghanistan","ABW",2042,0.59600278848579
"Afghanistan","ABW",2043,0.582390065983497
"Afghanistan","ABW",2044,0.569088258492852
"Afghanistan","ABW",2045,0.556090264705175
"Afghanistan","ABW",2046,0.543389145505901
"Afghanistan","ABW",2047,0.530978120270058
"Afghanistan","ABW",2048,0.518850563242365
"Afghanistan","ABW",2049,0.507
"Afghanistan","ABW",2050,0.495420103996163
"Afghanistan","AFG",2021,0.968209386365162
"Afghanistan","AFG",2022,0.946095453418323
"Afghanistan","AFG",2023,0.924486603398032
"Afghanistan","AFG",2024,0.903371300194304
"Afghanistan","AFG",2025,0.88273827118227
"Afghanistan","AFG",2026,0.862576501204168
"Afghanistan","AFG",2027,0.842875226688787
"Afghanistan","AFG",2028,0.823623929905223
"Afghanistan","AFG",2029,0.804812333347877
"Afghanistan","AFG",2030,0.786430394249704
"Afghanistan","AFG",2031,0.768468299220772
"Afghanistan","AFG",2032,0.750916459009288
"Afghanistan","AFG",2033,0.733765503382272
"Afghanistan","AFG",2034,0.717006276123159
"Afghanistan","AFG",2035,0.700629830143662
"Afghanistan","AFG",2036,0.684627422707272
"Afghanistan","AFG",2037,0.668990510761857
