"iso_code3","frac_waso_recycled_glass","Year"
"ABW",0.11,2010
"ABW",0.11,2011
"ABW",0.11,2012
"ABW",0.11,2013
"ABW",0.11,2014
"ABW",0.11,2015
"ABW",0.11,2016
"ABW",0.11,2017
"ABW",0.11,2018
"ABW",0.11,2019
"ABW",0.11,2020
"AFG",0.0912703009239052,2010
"AFG",0.0912703009239052,2011
"AFG",0.0912703009239052,2012
"AFG",0.0912703009239052,2013
"AFG",0.0912703009239052,2014
"AFG",0.0912703009239052,2015
"AFG",0.0912703009239052,2016
"AFG",0.0912703009239052,2017
"AFG",0.0912703009239052,2018
"AFG",0.0912703009239052,2019
"AFG",0.0912703009239052,2020
"AGO",0.109723506807773,2010
"AGO",0.109723506807773,2011
"AGO",0.109723506807773,2012
"AGO",0.109723506807773,2013
"AGO",0.109723506807773,2014
"AGO",0.109723506807773,2015
"AGO",0.109723506807773,2016
"AGO",0.109723506807773,2017
"AGO",0.109723506807773,2018
"AGO",0.109723506807773,2019
"AGO",0.109723506807773,2020
"ALB",0.127828144797674,2010
"ALB",0.127828144797674,2011
"ALB",0.127828144797674,2012
"ALB",0.127828144797674,2013
"ALB",0.127828144797674,2014
"ALB",0.127828144797674,2015
"ALB",0.127828144797674,2016
"ALB",0.127828144797674,2017
"ALB",0.127828144797674,2018
"ALB",0.127828144797674,2019
"ALB",0.127828144797674,2020
"AND",0.218469802603526,2010
"AND",0.218469802603526,2011
"AND",0.218469802603526,2012
"AND",0.218469802603526,2013
"AND",0.218469802603526,2014
"AND",0.218469802603526,2015
"AND",0.218469802603526,2016
"AND",0.218469802603526,2017
"AND",0.218469802603526,2018
"AND",0.218469802603526,2019
"AND",0.218469802603526,2020
"ARE",0.2,2010
"ARE",0.2,2011
"ARE",0.2,2012
"ARE",0.2,2013
"ARE",0.2,2014
"ARE",0.2,2015
"ARE",0.2,2016
"ARE",0.2,2017
"ARE",0.2,2018
"ARE",0.2,2019
"ARE",0.2,2020
"ARG",0.06,2010
"ARG",0.06,2011
"ARG",0.06,2012
"ARG",0.06,2013
"ARG",0.06,2014
"ARG",0.06,2015
"ARG",0.06,2016
"ARG",0.06,2017
"ARG",0.06,2018
"ARG",0.06,2019
"ARG",0.06,2020
"ARM",0.119662635312988,2010
"ARM",0.119662635312988,2011
"ARM",0.119662635312988,2012
"ARM",0.119662635312988,2013
"ARM",0.119662635312988,2014
"ARM",0.119662635312988,2015
"ARM",0.119662635312988,2016
"ARM",0.119662635312988,2017
"ARM",0.119662635312988,2018
"ARM",0.119662635312988,2019
"ARM",0.119662635312988,2020
"ASM",0.120065159297358,2010
"ASM",0.120065159297358,2011
"ASM",0.120065159297358,2012
"ASM",0.120065159297358,2013
"ASM",0.120065159297358,2014
"ASM",0.120065159297358,2015
"ASM",0.120065159297358,2016
"ASM",0.120065159297358,2017
"ASM",0.120065159297358,2018
"ASM",0.120065159297358,2019
"ASM",0.120065159297358,2020
"ATG",0.140747971557003,2010
"ATG",0.140747971557003,2011
"ATG",0.140747971557003,2012
"ATG",0.140747971557003,2013
"ATG",0.140747971557003,2014
"ATG",0.140747971557003,2015
"ATG",0.140747971557003,2016
"ATG",0.140747971557003,2017
"ATG",0.140747971557003,2018
"ATG",0.140747971557003,2019
"ATG",0.140747971557003,2020
"AUS",0.421,2010
"AUS",0.421,2011
"AUS",0.421,2012
"AUS",0.421,2013
"AUS",0.421,2014
"AUS",0.421,2015
"AUS",0.421,2016
"AUS",0.421,2017
"AUS",0.421,2018
"AUS",0.421,2019
"AUS",0.421,2020
"AUT",0.2566,2010
"AUT",0.2566,2011
"AUT",0.2566,2012
"AUT",0.2566,2013
"AUT",0.2566,2014
"AUT",0.2566,2015
"AUT",0.2566,2016
"AUT",0.2566,2017
"AUT",0.2566,2018
"AUT",0.2566,2019
"AUT",0.2566,2020
"AZE",0.13095291251927,2010
"AZE",0.13095291251927,2011
"AZE",0.13095291251927,2012
"AZE",0.13095291251927,2013
"AZE",0.13095291251927,2014
"AZE",0.13095291251927,2015
"AZE",0.13095291251927,2016
"AZE",0.13095291251927,2017
"AZE",0.13095291251927,2018
"AZE",0.13095291251927,2019
"AZE",0.13095291251927,2020
"BDI",0.0887703418858849,2010
"BDI",0.0887703418858849,2011
"BDI",0.0887703418858849,2012
"BDI",0.0887703418858849,2013
"BDI",0.0887703418858849,2014
"BDI",0.0887703418858849,2015
"BDI",0.0887703418858849,2016
"BDI",0.0887703418858849,2017
"BDI",0.0887703418858849,2018
"BDI",0.0887703418858849,2019
"BDI",0.0887703418858849,2020
"BEL",0.34303,2010
