,Nation,iso_code3,Year,cost_enfu_fuel_nuclear_usd_per_tonne
0,Aruba,ABW,2023,1663000
1,Aruba,ABW,2024,1663000
2,Aruba,ABW,2025,1663000
3,Aruba,ABW,2026,1663000
4,Aruba,ABW,2027,1663000
5,Aruba,ABW,2028,1663000
6,Aruba,ABW,2029,1663000
7,Aruba,ABW,2030,1663000
8,Aruba,ABW,2031,1663000
9,Aruba,ABW,2032,1663000
10,Aruba,ABW,2033,1663000
11,Aruba,ABW,2034,1663000
12,Aruba,ABW,2035,1663000
13,Aruba,ABW,2036,1663000
14,Aruba,ABW,2037,1663000
15,Aruba,ABW,2038,1663000
16,Aruba,ABW,2039,1663000
17,Aruba,ABW,2040,1663000
18,Aruba,ABW,2041,1663000
19,Aruba,ABW,2042,1663000
20,Aruba,ABW,2043,1663000
21,Aruba,ABW,2044,1663000
22,Aruba,ABW,2045,1663000
23,Aruba,ABW,2046,1663000
24,Aruba,ABW,2047,1663000
25,Aruba,ABW,2048,1663000
26,Aruba,ABW,2049,1663000
27,Aruba,ABW,2050,1663000
28,Africa Eastern and Southern,AFE,2023,1663000
29,Africa Eastern and Southern,AFE,2024,1663000
30,Africa Eastern and Southern,AFE,2025,1663000
31,Africa Eastern and Southern,AFE,2026,1663000
32,Africa Eastern and Southern,AFE,2027,1663000
33,Africa Eastern and Southern,AFE,2028,1663000
34,Africa Eastern and Southern,AFE,2029,1663000
35,Africa Eastern and Southern,AFE,2030,1663000
36,Africa Eastern and Southern,AFE,2031,1663000
37,Africa Eastern and Southern,AFE,2032,1663000
38,Africa Eastern and Southern,AFE,2033,1663000
39,Africa Eastern and Southern,AFE,2034,1663000
40,Africa Eastern and Southern,AFE,2035,1663000
41,Africa Eastern and Southern,AFE,2036,1663000
42,Africa Eastern and Southern,AFE,2037,1663000
43,Africa Eastern and Southern,AFE,2038,1663000
44,Africa Eastern and Southern,AFE,2039,1663000
45,Africa Eastern and Southern,AFE,2040,1663000
46,Africa Eastern and Southern,AFE,2041,1663000
47,Africa Eastern and Southern,AFE,2042,1663000
48,Africa Eastern and Southern,AFE,2043,1663000
49,Africa Eastern and Southern,AFE,2044,1663000
50,Africa Eastern and Southern,AFE,2045,1663000
51,Africa Eastern and Southern,AFE,2046,1663000
52,Africa Eastern and Southern,AFE,2047,1663000
53,Africa Eastern and Southern,AFE,2048,1663000
54,Africa Eastern and Southern,AFE,2049,1663000
55,Africa Eastern and Southern,AFE,2050,1663000
56,Afghanistan,AFG,2023,1663000
57,Afghanistan,AFG,2024,1663000
58,Afghanistan,AFG,2025,1663000
59,Afghanistan,AFG,2026,1663000
60,Afghanistan,AFG,2027,1663000
61,Afghanistan,AFG,2028,1663000
62,Afghanistan,AFG,2029,1663000
63,Afghanistan,AFG,2030,1663000
64,Afghanistan,AFG,2031,1663000
65,Afghanistan,AFG,2032,1663000
66,Afghanistan,AFG,2033,1663000
67,Afghanistan,AFG,2034,1663000
68,Afghanistan,AFG,2035,1663000
69,Afghanistan,AFG,2036,1663000
70,Afghanistan,AFG,2037,1663000
71,Afghanistan,AFG,2038,1663000
72,Afghanistan,AFG,2039,1663000
73,Afghanistan,AFG,2040,1663000
74,Afghanistan,AFG,2041,1663000
75,Afghanistan,AFG,2042,1663000
76,Afghanistan,AFG,2043,1663000
77,Afghanistan,AFG,2044,1663000
78,Afghanistan,AFG,2045,1663000
79,Afghanistan,AFG,2046,1663000
80,Afghanistan,AFG,2047,1663000
81,Afghanistan,AFG,2048,1663000
82,Afghanistan,AFG,2049,1663000
83,Afghanistan,AFG,2050,1663000
84,Africa Western and Central,AFW,2023,1663000
85,Africa Western and Central,AFW,2024,1663000
86,Africa Western and Central,AFW,2025,1663000
87,Africa Western and Central,AFW,2026,1663000
88,Africa Western and Central,AFW,2027,1663000
89,Africa Western and Central,AFW,2028,1663000
90,Africa Western and Central,AFW,2029,1663000
91,Africa Western and Central,AFW,2030,1663000
92,Africa Western and Central,AFW,2031,1663000
93,Africa Western and Central,AFW,2032,1663000
94,Africa Western and Central,AFW,2033,1663000
95,Africa Western and Central,AFW,2034,1663000
96,Africa Western and Central,AFW,2035,1663000
97,Africa Western and Central,AFW,2036,1663000
98,Africa Western and Central,AFW,2037,1663000
99,Africa Western and Central,AFW,2038,1663000
100,Africa Western and Central,AFW,2039,1663000
101,Africa Western and Central,AFW,2040,1663000
102,Africa Western and Central,AFW,2041,1663000
103,Africa Western and Central,AFW,2042,1663000
104,Africa Western and Central,AFW,2043,1663000
105,Africa Western and Central,AFW,2044,1663000
106,Africa Western and Central,AFW,2045,1663000
107,Africa Western and Central,AFW,2046,1663000
108,Africa Western and Central,AFW,2047,1663000
109,Africa Western and Central,AFW,2048,1663000
110,Africa Western and Central,AFW,2049,1663000
111,Africa Western and Central,AFW,2050,1663000
112,Angola,AGO,2023,1663000
113,Angola,AGO,2024,1663000
114,Angola,AGO,2025,1663000
115,Angola,AGO,2026,1663000
116,Angola,AGO,2027,1663000
117,Angola,AGO,2028,1663000
118,Angola,AGO,2029,1663000
119,Angola,AGO,2030,1663000
120,Angola,AGO,2031,1663000
121,Angola,AGO,2032,1663000
122,Angola,AGO,2033,1663000
123,Angola,AGO,2034,1663000
124,Angola,AGO,2035,1663000
125,Angola,AGO,2036,1663000
126,Angola,AGO,2037,1663000
127,Angola,AGO,2038,1663000
128,Angola,AGO,2039,1663000
129,Angola,AGO,2040,1663000
130,Angola,AGO,2041,1663000
131,Angola,AGO,2042,1663000
132,Angola,AGO,2043,1663000
133,Angola,AGO,2044,1663000
134,Angola,AGO,2045,1663000
135,Angola,AGO,2046,1663000
136,Angola,AGO,2047,1663000
137,Angola,AGO,2048,1663000
138,Angola,AGO,2049,1663000
139,Angola,AGO,2050,1663000
140,Albania,ALB,2023,1663000
141,Albania,ALB,2024,1663000
142,Albania,ALB,2025,1663000
143,Albania,ALB,2026,1663000
144,Albania,ALB,2027,1663000
145,Albania,ALB,2028,1663000
146,Albania,ALB,2029,1663000
147,Albania,ALB,2030,1663000
148,Albania,ALB,2031,1663000
149,Albania,ALB,2032,1663000
150,Albania,ALB,2033,1663000
151,Albania,ALB,2034,1663000
152,Albania,ALB,2035,1663000
153,Albania,ALB,2036,1663000
154,Albania,ALB,2037,1663000
155,Albania,ALB,2038,1663000
156,Albania,ALB,2039,1663000
157,Albania,ALB,2040,1663000
158,Albania,ALB,2041,1663000
159,Albania,ALB,2042,1663000
160,Albania,ALB,2043,1663000
161,Albania,ALB,2044,1663000
162,Albania,ALB,2045,1663000
163,Albania,ALB,2046,1663000
164,Albania,ALB,2047,1663000
165,Albania,ALB,2048,1663000
166,Albania,ALB,2049,1663000
167,Albania,ALB,2050,1663000
168,Andorra,AND,2023,1663000
169,Andorra,AND,2024,1663000
170,Andorra,AND,2025,1663000
171,Andorra,AND,2026,1663000
172,Andorra,AND,2027,1663000
173,Andorra,AND,2028,1663000
174,Andorra,AND,2029,1663000
175,Andorra,AND,2030,1663000
176,Andorra,AND,2031,1663000
177,Andorra,AND,2032,1663000
178,Andorra,AND,2033,1663000
179,Andorra,AND,2034,1663000
180,Andorra,AND,2035,1663000
181,Andorra,AND,2036,1663000
182,Andorra,AND,2037,1663000
183,Andorra,AND,2038,1663000
184,Andorra,AND,2039,1663000
185,Andorra,AND,2040,1663000
186,Andorra,AND,2041,1663000
187,Andorra,AND,2042,1663000
188,Andorra,AND,2043,1663000
189,Andorra,AND,2044,1663000
190,Andorra,AND,2045,1663000
191,Andorra,AND,2046,1663000
192,Andorra,AND,2047,1663000
193,Andorra,AND,2048,1663000
194,Andorra,AND,2049,1663000
195,Andorra,AND,2050,1663000
196,Arab World,ARB,2023,1663000
197,Arab World,ARB,2024,1663000
198,Arab World,ARB,2025,1663000
199,Arab World,ARB,2026,1663000
200,Arab World,ARB,2027,1663000
201,Arab World,ARB,2028,1663000
202,Arab World,ARB,2029,1663000
203,Arab World,ARB,2030,1663000
204,Arab World,ARB,2031,1663000
205,Arab World,ARB,2032,1663000
206,Arab World,ARB,2033,1663000
207,Arab World,ARB,2034,1663000
208,Arab World,ARB,2035,1663000
209,Arab World,ARB,2036,1663000
210,Arab World,ARB,2037,1663000
211,Arab World,ARB,2038,1663000
212,Arab World,ARB,2039,1663000
213,Arab World,ARB,2040,1663000
214,Arab World,ARB,2041,1663000
215,Arab World,ARB,2042,1663000
216,Arab World,ARB,2043,1663000
217,Arab World,ARB,2044,1663000
218,Arab World,ARB,2045,1663000
219,Arab World,ARB,2046,1663000
220,Arab World,ARB,2047,1663000
221,Arab World,ARB,2048,1663000
222,Arab World,ARB,2049,1663000
223,Arab World,ARB,2050,1663000
224,United Arab Emirates,ARE,2023,1663000
225,United Arab Emirates,ARE,2024,1663000
226,United Arab Emirates,ARE,2025,1663000
227,United Arab Emirates,ARE,2026,1663000
228,United Arab Emirates,ARE,2027,1663000
229,United Arab Emirates,ARE,2028,1663000
230,United Arab Emirates,ARE,2029,1663000
231,United Arab Emirates,ARE,2030,1663000
232,United Arab Emirates,ARE,2031,1663000
233,United Arab Emirates,ARE,2032,1663000
234,United Arab Emirates,ARE,2033,1663000
235,United Arab Emirates,ARE,2034,1663000
236,United Arab Emirates,ARE,2035,1663000
237,United Arab Emirates,ARE,2036,1663000
238,United Arab Emirates,ARE,2037,1663000
239,United Arab Emirates,ARE,2038,1663000
240,United Arab Emirates,ARE,2039,1663000
241,United Arab Emirates,ARE,2040,1663000
242,United Arab Emirates,ARE,2041,1663000
243,United Arab Emirates,ARE,2042,1663000
244,United Arab Emirates,ARE,2043,1663000
245,United Arab Emirates,ARE,2044,1663000
246,United Arab Emirates,ARE,2045,1663000
247,United Arab Emirates,ARE,2046,1663000
248,United Arab Emirates,ARE,2047,1663000
249,United Arab Emirates,ARE,2048,1663000
250,United Arab Emirates,ARE,2049,1663000
251,United Arab Emirates,ARE,2050,1663000
252,Argentina,ARG,2023,1663000
253,Argentina,ARG,2024,1663000
254,Argentina,ARG,2025,1663000
255,Argentina,ARG,2026,1663000
256,Argentina,ARG,2027,1663000
257,Argentina,ARG,2028,1663000
258,Argentina,ARG,2029,1663000
259,Argentina,ARG,2030,1663000
260,Argentina,ARG,2031,1663000
261,Argentina,ARG,2032,1663000
262,Argentina,ARG,2033,1663000
263,Argentina,ARG,2034,1663000
264,Argentina,ARG,2035,1663000
265,Argentina,ARG,2036,1663000
266,Argentina,ARG,2037,1663000
267,Argentina,ARG,2038,1663000
268,Argentina,ARG,2039,1663000
269,Argentina,ARG,2040,1663000
270,Argentina,ARG,2041,1663000
271,Argentina,ARG,2042,1663000
272,Argentina,ARG,2043,1663000
273,Argentina,ARG,2044,1663000
274,Argentina,ARG,2045,1663000
275,Argentina,ARG,2046,1663000
276,Argentina,ARG,2047,1663000
277,Argentina,ARG,2048,1663000
278,Argentina,ARG,2049,1663000
279,Argentina,ARG,2050,1663000
280,Armenia,ARM,2023,1663000
281,Armenia,ARM,2024,1663000
282,Armenia,ARM,2025,1663000
283,Armenia,ARM,2026,1663000
284,Armenia,ARM,2027,1663000
