Year,iso_code3,cost_enfu_fuel_furnace_gas_usd_per_m3
2015,ABW,13725.64626
2016,ABW,13725.64626
2017,ABW,13725.64626
2018,ABW,13725.64626
2019,ABW,13725.64626
2020,ABW,13725.64626
2015,AFG,13725.64626
2016,AFG,13725.64626
2017,AFG,13725.64626
2018,AFG,13725.64626
2019,AFG,13725.64626
2020,AFG,13725.64626
2015,AGO,13725.64626
2016,AGO,13725.64626
2017,AGO,13725.64626
2018,AGO,13725.64626
2019,AGO,13725.64626
2020,AGO,13725.64626
2015,ALB,13725.64626
2016,ALB,13725.64626
2017,ALB,13725.64626
2018,ALB,13725.64626
2019,ALB,13725.64626
2020,ALB,13725.64626
2015,AND,13725.64626
2016,AND,13725.64626
2017,AND,13725.64626
2018,AND,13725.64626
2019,AND,13725.64626
2020,AND,13725.64626
2015,ARE,13725.64626
2016,ARE,13725.64626
2017,ARE,13725.64626
2018,ARE,13725.64626
2019,ARE,13725.64626
2020,ARE,13725.64626
2015,ARG,13725.64626
2016,ARG,13725.64626
2017,ARG,13725.64626
2018,ARG,13725.64626
2019,ARG,13725.64626
2020,ARG,13725.64626
2015,ARM,13725.64626
2016,ARM,13725.64626
2017,ARM,13725.64626
2018,ARM,13725.64626
2019,ARM,13725.64626
2020,ARM,13725.64626
2015,ASM,13725.64626
2016,ASM,13725.64626
2017,ASM,13725.64626
2018,ASM,13725.64626
2019,ASM,13725.64626
2020,ASM,13725.64626
2015,ATG,13725.64626
2016,ATG,13725.64626
2017,ATG,13725.64626
2018,ATG,13725.64626
2019,ATG,13725.64626
2020,ATG,13725.64626
2015,AUS,13725.64626
2016,AUS,13725.64626
2017,AUS,13725.64626
2018,AUS,13725.64626
2019,AUS,13725.64626
2020,AUS,13725.64626
2015,AUT,13725.64626
2016,AUT,13725.64626
2017,AUT,13725.64626
2018,AUT,13725.64626
2019,AUT,13725.64626
2020,AUT,13725.64626
2015,AZE,13725.64626
2016,AZE,13725.64626
2017,AZE,13725.64626
2018,AZE,13725.64626
2019,AZE,13725.64626
2020,AZE,13725.64626
2015,BDI,13725.64626
