Year,iso_code3,pij_lndu_forests_primary_to_other
2019,AFG,0.0
2020,AFG,0.0002362033827625
2021,AFG,0.0002362033827625
2022,AFG,0.0002362033827625
2023,AFG,0.0002362033827625
2024,AFG,0.0002362033827625
2025,AFG,0.0002362033827625
2026,AFG,0.0002362033827625
2027,AFG,0.0002362033827625
2028,AFG,0.0002362033827625
2029,AFG,0.0002362033827625
2030,AFG,0.0002362033827625
2031,AFG,0.0002362033827625
2032,AFG,0.0002362033827625
2033,AFG,0.0002362033827625
2034,AFG,0.0002362033827625
2035,AFG,0.0002362033827625
2036,AFG,0.0002362033827625
2037,AFG,0.0002362033827625
2038,AFG,0.0002362033827625
2039,AFG,0.0002362033827625
2040,AFG,0.0002362033827625
2041,AFG,0.0002362033827625
2042,AFG,0.0002362033827625
2043,AFG,0.0002362033827625
2044,AFG,0.0002362033827625
2045,AFG,0.0002362033827625
2046,AFG,0.0002362033827625
2047,AFG,0.0002362033827625
2048,AFG,0.0002362033827625
2049,AFG,0.0002362033827625
2050,AFG,0.0002362033827625
2019,AGO,0.0003990701138974
2020,AGO,0.0002390736629945
2021,AGO,0.0002390736629945
2022,AGO,0.0002390736629945
2023,AGO,0.0002390736629945
2024,AGO,0.0002390736629945
2025,AGO,0.0002390736629945
2026,AGO,0.0002390736629945
2027,AGO,0.0002390736629945
2028,AGO,0.0002390736629945
2029,AGO,0.0002390736629945
2030,AGO,0.0002390736629945
2031,AGO,0.0002390736629945
2032,AGO,0.0002390736629945
2033,AGO,0.0002390736629945
2034,AGO,0.0002390736629945
2035,AGO,0.0002390736629945
2036,AGO,0.0002390736629945
2037,AGO,0.0002390736629945
2038,AGO,0.0002390736629945
2039,AGO,0.0002390736629945
2040,AGO,0.0002390736629945
2041,AGO,0.0002390736629945
2042,AGO,0.0002390736629945
2043,AGO,0.0002390736629945
2044,AGO,0.0002390736629945
2045,AGO,0.0002390736629945
2046,AGO,0.0002390736629945
2047,AGO,0.0002390736629945
2048,AGO,0.0002390736629945
2049,AGO,0.0002390736629945
2050,AGO,0.0002390736629945
2019,ALB,0.0002498074692244
2020,ALB,0.0004858422387662
2021,ALB,0.0004858422387662
2022,ALB,0.0004858422387662
2023,ALB,0.0004858422387662
2024,ALB,0.0004858422387662
2025,ALB,0.0004858422387662
2026,ALB,0.0004858422387662
2027,ALB,0.0004858422387662
2028,ALB,0.0004858422387662
2029,ALB,0.0004858422387662
2030,ALB,0.0004858422387662
2031,ALB,0.0004858422387662
2032,ALB,0.0004858422387662
2033,ALB,0.0004858422387662
2034,ALB,0.0004858422387662
2035,ALB,0.0004858422387662
2036,ALB,0.0004858422387662
2037,ALB,0.0004858422387662
2038,ALB,0.0004858422387662
2039,ALB,0.0004858422387662
2040,ALB,0.0004858422387662
2041,ALB,0.0004858422387662
2042,ALB,0.0004858422387662
2043,ALB,0.0004858422387662
2044,ALB,0.0004858422387662
2045,ALB,0.0004858422387662
2046,ALB,0.0004858422387662
2047,ALB,0.0004858422387662
2048,ALB,0.0004858422387662
2049,ALB,0.0004858422387662
2050,ALB,0.0004858422387662
2019,ARG,0.001067816078188
2020,ARG,0.0014156402394797
2021,ARG,0.0014156402394797
2022,ARG,0.0014156402394797
2023,ARG,0.0014156402394797
2024,ARG,0.0014156402394797
2025,ARG,0.0014156402394797
2026,ARG,0.0014156402394797
2027,ARG,0.0014156402394797
2028,ARG,0.0014156402394797
2029,ARG,0.0014156402394797
2030,ARG,0.0014156402394797
2031,ARG,0.0014156402394797
2032,ARG,0.0014156402394797
2033,ARG,0.0014156402394797
2034,ARG,0.0014156402394797
2035,ARG,0.0014156402394797
2036,ARG,0.0014156402394797
2037,ARG,0.0014156402394797
2038,ARG,0.0014156402394797
2039,ARG,0.0014156402394797
2040,ARG,0.0014156402394797
2041,ARG,0.0014156402394797
2042,ARG,0.0014156402394797
2043,ARG,0.0014156402394797
2044,ARG,0.0014156402394797
2045,ARG,0.0014156402394797
2046,ARG,0.0014156402394797
2047,ARG,0.0014156402394797
2048,ARG,0.0014156402394797
2049,ARG,0.0014156402394797
2050,ARG,0.0014156402394797
2019,ATG,0.0012407156986898
2020,ATG,0.0012521903598129
2021,ATG,0.0012521903598129
2022,ATG,0.0012521903598129
2023,ATG,0.0012521903598129
2024,ATG,0.0012521903598129
2025,ATG,0.0012521903598129
2026,ATG,0.0012521903598129
2027,ATG,0.0012521903598129
2028,ATG,0.0012521903598129
2029,ATG,0.0012521903598129
2030,ATG,0.0012521903598129
2031,ATG,0.0012521903598129
2032,ATG,0.0012521903598129
2033,ATG,0.0012521903598129
2034,ATG,0.0012521903598129
2035,ATG,0.0012521903598129
2036,ATG,0.0012521903598129
2037,ATG,0.0012521903598129
2038,ATG,0.0012521903598129
2039,ATG,0.0012521903598129
2040,ATG,0.0012521903598129
2041,ATG,0.0012521903598129
2042,ATG,0.0012521903598129
2043,ATG,0.0012521903598129
2044,ATG,0.0012521903598129
2045,ATG,0.0012521903598129
2046,ATG,0.0012521903598129
2047,ATG,0.0012521903598129
2048,ATG,0.0012521903598129
2049,ATG,0.0012521903598129
2050,ATG,0.0012521903598129
2019,AUS,0.0099997436921811
2020,AUS,0.0088768025653228
2021,AUS,0.0088768025653228
2022,AUS,0.0088768025653228
2023,AUS,0.0088768025653228
2024,AUS,0.0088768025653228
2025,AUS,0.0088768025653228
2026,AUS,0.0088768025653228
2027,AUS,0.0088768025653228
2028,AUS,0.0088768025653228
2029,AUS,0.0088768025653228
2030,AUS,0.0088768025653228
2031,AUS,0.0088768025653228
2032,AUS,0.0088768025653228
2033,AUS,0.0088768025653228
2034,AUS,0.0088768025653228
2035,AUS,0.0088768025653228
2036,AUS,0.0088768025653228
2037,AUS,0.0088768025653228
2038,AUS,0.0088768025653228
2039,AUS,0.0088768025653228
2040,AUS,0.0088768025653228
2041,AUS,0.0088768025653228
2042,AUS,0.0088768025653228
2043,AUS,0.0088768025653228
2044,AUS,0.0088768025653228
2045,AUS,0.0088768025653228
2046,AUS,0.0088768025653228
2047,AUS,0.0088768025653228
2048,AUS,0.0088768025653228
2049,AUS,0.0088768025653228
2050,AUS,0.0088768025653228
2019,AUT,0.0
2020,AUT,8.795762483173423e-06
2021,AUT,8.795762483173423e-06
2022,AUT,8.795762483173423e-06
2023,AUT,8.795762483173423e-06
2024,AUT,8.795762483173423e-06
2025,AUT,8.795762483173423e-06
2026,AUT,8.795762483173423e-06
2027,AUT,8.795762483173423e-06
2028,AUT,8.795762483173423e-06
2029,AUT,8.795762483173423e-06
2030,AUT,8.795762483173423e-06
2031,AUT,8.795762483173423e-06
2032,AUT,8.795762483173423e-06
2033,AUT,8.795762483173423e-06
2034,AUT,8.795762483173423e-06
2035,AUT,8.795762483173423e-06
2036,AUT,8.795762483173423e-06
2037,AUT,8.795762483173423e-06
2038,AUT,8.795762483173423e-06
2039,AUT,8.795762483173423e-06
2040,AUT,8.795762483173423e-06
2041,AUT,8.795762483173423e-06
2042,AUT,8.795762483173423e-06
2043,AUT,8.795762483173423e-06
2044,AUT,8.795762483173423e-06
2045,AUT,8.795762483173423e-06
2046,AUT,8.795762483173423e-06
2047,AUT,8.795762483173423e-06
2048,AUT,8.795762483173423e-06
2049,AUT,8.795762483173423e-06
2050,AUT,8.795762483173423e-06
2019,AZE,0.0
2020,AZE,0.0
2021,AZE,0.0
2022,AZE,0.0
2023,AZE,0.0
2024,AZE,0.0
2025,AZE,0.0
2026,AZE,0.0
2027,AZE,0.0
2028,AZE,0.0
2029,AZE,0.0
2030,AZE,0.0
2031,AZE,0.0
2032,AZE,0.0
2033,AZE,0.0
2034,AZE,0.0
2035,AZE,0.0
2036,AZE,0.0
2037,AZE,0.0
2038,AZE,0.0
2039,AZE,0.0
2040,AZE,0.0
2041,AZE,0.0
2042,AZE,0.0
2043,AZE,0.0
