,Nation,iso_code3,Year,consumpinit_inen_energy_tj_per_tonne_production_plastic
0,Niger,NER,2017,0.7746358588159626
1,Niger,NER,2018,0.7116338098308949
2,Niger,NER,2019,0.6250955660123587
3,Niger,NER,2020,0.7303488262381469
4,Niger,NER,2021,0.7303489445554626
5,Niger,NER,2022,0.617411239052906
6,Niger,NER,2023,0.5219376860205674
7,Niger,NER,2024,0.44122771154342816
8,Niger,NER,2025,0.3729983456802515
9,Niger,NER,2026,0.3153196461607805
10,Niger,NER,2027,0.26656010785686335
11,Niger,NER,2028,0.22534051387471254
12,Niger,NER,2029,0.19049492289591352
13,Niger,NER,2030,0.16103768925145864
14,Niger,NER,2031,0.1361355828555033
15,Niger,NER,2032,0.11508422038066317
16,Niger,NER,2033,0.09728814100486029
17,Niger,NER,2034,0.0822439631504157
18,Niger,NER,2035,0.06952614578532265
19,Niger,NER,2036,0.05877495152952739
20,Niger,NER,2037,0.04968627108950971
21,Niger,NER,2038,0.042003021194156116
22,Niger,NER,2039,0.03550787271313698
23,Niger,NER,2040,0.03001710326465179
24,Niger,NER,2041,0.025375400426830102
25,Niger,NER,2042,0.02145146855593629
26,Niger,NER,2043,0.018134314945421674
27,Niger,NER,2044,0.015330110275771254
28,Niger,NER,2045,0.012959534549533145
29,Niger,NER,2046,0.010955533438398167
30,Niger,NER,2047,0.0092614215781526
31,Niger,NER,2048,0.007829279161126043
32,Niger,NER,2049,0.006618596471997552
33,Niger,NER,2050,0.0055951280261717
34,Zambia,ZMB,2017,0.1585540521017683
35,Zambia,ZMB,2018,0.12128229906177802
36,Zambia,ZMB,2019,0.10741258058415465
37,Zambia,ZMB,2020,0.12933571670524302
38,Zambia,ZMB,2021,0.1293357099079422
39,Zambia,ZMB,2022,0.12241270637862582
40,Zambia,ZMB,2023,0.11586027318832134
41,Zambia,ZMB,2024,0.10965857467241102
42,Zambia,ZMB,2025,0.10378883691771626
43,Zambia,ZMB,2026,0.09823329092971017
44,Zambia,ZMB,2027,0.09297511884184056
45,Zambia,ZMB,2028,0.08799840300412792
46,Zambia,ZMB,2029,0.0832880777969179
47,Zambia,ZMB,2030,0.07882988402391862
48,Zambia,ZMB,2031,0.07461032574645893
49,Zambia,ZMB,2032,0.07061662942829741
50,Zambia,ZMB,2033,0.06683670526730195
51,Zambia,ZMB,2034,0.06325911059694526
52,Zambia,ZMB,2035,0.05987301524682291
53,Zambia,ZMB,2036,0.05666816875733015
54,Zambia,ZMB,2037,0.053634869349253746
55,Zambia,ZMB,2038,0.05076393455434224
56,Zambia,ZMB,2039,0.048046673417941096
57,Zambia,ZMB,2040,0.045474860189552206
58,Zambia,ZMB,2041,0.043040709421666656
59,Zambia,ZMB,2042,0.04073685240149361
60,Zambia,ZMB,2043,0.038556314844236425
61,Zambia,ZMB,2044,0.03649249578039038
62,Zambia,ZMB,2045,0.034539147573147154
63,Zambia,ZMB,2046,0.03269035700541717
64,Zambia,ZMB,2047,0.030940527379212573
65,Zambia,ZMB,2048,0.02928436157320546
66,Zambia,ZMB,2049,0.027716846007168956
67,Zambia,ZMB,2050,0.02623323546476169
68,Jamaica,JAM,2017,0.23928976445946043
69,Jamaica,JAM,2018,0.21964659680323656
70,Jamaica,JAM,2019,0.2181275048366103
71,Jamaica,JAM,2020,0.20114039406461692
72,Jamaica,JAM,2021,0.2011403916999638
73,Jamaica,JAM,2022,0.19089225377985397
74,Jamaica,JAM,2023,0.18116626026814445
75,Jamaica,JAM,2024,0.1719358078164662
76,Jamaica,JAM,2025,0.16317564852167346
77,Jamaica,JAM,2026,0.15486182086567532
78,Jamaica,JAM,2027,0.14697158417389158
