Year,iso_code3,ef_ippu_tonne_c2f6_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c2f6_per_tonne_production_chemicals,ef_ippu_tonne_c2f6_per_tonne_production_electronics,ef_ippu_tonne_c2f6_per_tonne_production_metals,ef_ippu_tonne_c2h3f3_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_c2h3f3_per_tonne_production_chemicals,ef_ippu_tonne_c2hf5_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c2hf5_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_c2hf5_per_tonne_production_chemicals,ef_ippu_tonne_c3f8_per_tonne_production_chemicals,ef_ippu_tonne_c3f8_per_tonne_production_electronics,ef_ippu_tonne_c3h2f6_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c3h2f6_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_c3h3f5_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c3h3f5_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_c3hf7_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c3hf7_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_c3hf7_per_tonne_production_chemicals,ef_ippu_tonne_c4f10_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c4f10_per_tonne_production_chemicals,ef_ippu_tonne_c4h5f5_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c4h5f5_per_tonne_production_chemicals,ef_ippu_tonne_c5f12_per_tonne_production_chemicals,ef_ippu_tonne_c5h2f10_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c6f14_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c6f14_per_tonne_production_chemicals,ef_ippu_tonne_cc4f8_per_tonne_production_chemicals,ef_ippu_tonne_cc4f8_per_tonne_production_electronics,ef_ippu_tonne_cf4_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_cf4_per_tonne_production_chemicals,ef_ippu_tonne_cf4_per_tonne_production_electronics,ef_ippu_tonne_cf4_per_tonne_production_metals,ef_ippu_tonne_ch2f2_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_ch2f2_per_tonne_production_chemicals,ef_ippu_tonne_ch2f2_per_tonne_production_electronics,ef_ippu_tonne_ch3chf2_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_ch3chf2_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_ch3chf2_per_tonne_production_chemicals,ef_ippu_tonne_ch3f_per_tonne_production_electronics,ef_ippu_tonne_chf2cf3_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_chf2cf3_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_chf2cf3_per_tonne_production_chemicals,ef_ippu_tonne_chf3_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_chf3_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_chf3_per_tonne_production_chemicals,ef_ippu_tonne_chf3_per_tonne_production_electronics,ef_ippu_tonne_nf3_per_tonne_production_chemicals,ef_ippu_tonne_nf3_per_tonne_production_electronics,ef_ippu_tonne_sf6_per_mmm_gdp_other_product_manufacturing,ef_ippu_tonne_sf6_per_tonne_production_chemicals,ef_ippu_tonne_sf6_per_tonne_production_electronics,ef_ippu_tonne_sf6_per_tonne_production_metals,frac_ippu_cement_clinker,net_imports_cement_clinker_tonne,prodinit_ippu_cement_tonne,prodinit_ippu_chemicals_tonne,prodinit_ippu_electronics_tonne,prodinit_ippu_glass_tonne,prodinit_ippu_lime_and_carbonite_tonne,prodinit_ippu_metals_tonne,prodinit_ippu_mining_tonne,prodinit_ippu_paper_tonne,prodinit_ippu_plastic_tonne,prodinit_ippu_rubber_and_leather_tonne,prodinit_ippu_textiles_tonne
2021,IRN,0.0,0.0,0.0,1.467304662852301e-07,0.5064987481578762,0.0,0.2921647498518027,0.2921647498518027,0.0,0.0,0.0,0.0,0.0,0.191151657321104,0.191151657321104,0.0,0.0,0.0,0.0,0.0,0.1367459672883011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1958804207634469e-06,0.1278551709611395,0.0,0.0001964406559271,0.0,0.0,0.0,0.0,1.814342830264472,1.814342830264472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036278535410111,0.0,5.556526452051273e-06,0.0,0.72,-3616475.859714286,16286280.0,2109422.0,506008.3,54654.69,365848.0,3767864.0,20750820.0,628250.5,1928628.0,18459.66,84029.95
2022,IRN,0.0,0.0,0.0,1.467304662852301e-07,0.5064987481578762,0.0,0.2921647498518027,0.2921647498518027,0.0,0.0,0.0,0.0,0.0,0.191151657321104,0.191151657321104,0.0,0.0,0.0,0.0,0.0,0.1367459672883011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1958804207634469e-06,0.1278551709611395,0.0,0.0001964406559271,0.0,0.0,0.0,0.0,1.814342830264472,1.814342830264472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036278535410111,0.0,5.556526452051273e-06,0.0,0.72,-3616475.859714286,21065092.01,2069163.75875673,504782.631009483,49618.7612267338,775534.934386352,3452836.88527263,19367824.5301198,586959.332725475,1950920.6870425,16823.2513424475,78533.7801369796
2023,IRN,0.0,0.0,0.0,1.467304662852301e-07,0.5064987481578762,0.0,0.2921647498518027,0.2921647498518027,0.0,0.0,0.0,0.0,0.0,0.191151657321104,0.191151657321104,0.0,0.0,0.0,0.0,0.0,0.1367459672883011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1958804207634469e-06,0.1278551709611395,0.0,0.0001964406559271,0.0,0.0,0.0,0.0,1.814342830264472,1.814342830264472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036278535410111,0.0,5.556526452051273e-06,0.0,0.72,-3616475.859714286,27246129.97,2029673.84456608,503559.93087239,45046.847135637,1644000.88138692,3164148.85364736,18077002.5969821,548381.988193459,1973471.05150934,15331.9067486163,73397.099755545
2024,IRN,0.0,0.0,0.0,1.467304662852301e-07,0.5064987481578762,0.0,0.2921647498518027,0.2921647498518027,0.0,0.0,0.0,0.0,0.0,0.191151657321104,0.191151657321104,0.0,0.0,0.0,0.0,0.0,0.1367459672883011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1958804207634469e-06,0.1278551709611395,0.0,0.0001964406559271,0.0,0.0,0.0,0.0,1.814342830264472,1.814342830264472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036278535410111,0.0,5.556526452051273e-06,0.0,0.72,-3616475.859714286,35240842.9,1990937.59393454,502340.192397473,40896.193026442,3484999.55084492,2899597.72230811,16872211.041726,512340.102982333,1996282.0718506,13972.766605178,68596.3956291052
2025,IRN,0.0,0.0,0.0,1.467304662852301e-07,0.5064987481578762,0.0,0.2921647498518027,0.2921647498518027,0.0,0.0,0.0,0.0,0.0,0.191151657321104,0.191151657321104,0.0,0.0,0.0,0.0,0.0,0.1367459672883011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1958804207634469e-06,0.1278551709611395,0.0,0.0001964406559271,0.0,0.0,0.0,0.0,1.814342830264472,1.814342830264472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036278535410111,0.0,5.556526452051273e-06,0.0,0.72,-3616475.859714286,45581409.52,1952940.6232208,501123.408410902,37127.9836526645,7387600.58275837,2657165.43060947,15747716.1332081,478667.036436917,2019356.76094374,12734.1112755201,64109.6924670956
2026,IRN,0.0,0.0,0.0,1.467304662852301e-07,0.5064987481578762,0.0,0.2921647498518027,0.2921647498518027,0.0,0.0,0.0,0.0,0.0,0.191151657321104,0.191151657321104,0.0,0.0,0.0,0.0,0.0,0.1367459672883011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1958804207634469e-06,0.1278551709611395,0.0,0.0001964406559271,0.0,0.0,0.0,0.0,1.814342830264472,1.814342830264472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036278535410111,0.0,5.556526452051273e-06,0.0,0.72,-3616475.859714286,58956163.46,1915668.82329485,499909.571756223,33706.9802370416,15660444.5923501,2435002.64581729,14698166.2805668,447207.100200785,2042698.16649155,11605.2600432928,59916.4523227762
2027,IRN,0.0,0.0,0.0,1.467304662852301e-07,0.5064987481578762,0.0,0.2921647498518027,0.2921647498518027,0.0,0.0,0.0,0.0,0.0,0.191151657321104,0.191151657321104,0.0,0.0,0.0,0.0,0.0,0.1367459672883011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1958804207634469e-06,0.1278551709611395,0.0,0.0001964406559271,0.0,0.0,0.0,0.0,1.814342830264472,1.814342830264472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036278535410111,0.0,5.556526452051273e-06,0.0,0.72,-3616475.859714286,76255413.03,1879108.35429888,498698.675294319,30601.1909326721,33197453.2302741,2231414.65594681,13718566.5644317,417814.838386834,2066309.37142473,10576.4790143902,55997.4805804922
2028,IRN,0.0,0.0,0.0,1.467304662852301e-07,0.5064987481578762,0.0,0.2921647498518027,0.2921647498518027,0.0,0.0,0.0,0.0,0.0,0.191151657321104,0.191151657321104,0.0,0.0,0.0,0.0,0.0,0.1367459672883011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1958804207634469e-06,0.1278551709611395,0.0,0.0001964406559271,0.0,0.0,0.0,0.0,1.814342830264472,1.814342830264472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036278535410111,0.0,5.556526452051273e-06,0.0,0.72,-3616475.859714286,98630705.85,1843245.64050827,497490.711903362,27781.5716481413,70372899.9823276,2044848.44208577,12804254.9655715,390354.355057955,2090193.49430906,9638.89718322051,52334.8380920512
2029,IRN,0.0,0.0,0.0,1.467304662852301e-07,0.5064987481578762,0.0,0.2921647498518027,0.2921647498518027,0.0,0.0,0.0,0.0,0.0,0.191151657321104,0.191151657321104,0.0,0.0,0.0,0.0,0.0,0.1367459672883011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1958804207634469e-06,0.1278551709611395,0.0,0.0001964406559271,0.0,0.0,0.0,0.0,1.814342830264472,1.814342830264472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036278535410111,0.0,5.556526452051273e-06,0.0,0.72,-3616475.859714286,127571483.1,1808067.36529061,496285.674478777,25221.7544388692,149178463.105912,1873880.83158682,11950880.1778486,364698.685908409,2114353.68975727,8784.4299395183,48911.7590600206
2030,IRN,0.0,0.0,0.0,1.467304662852301e-07,0.5064987481578762,0.0,0.2921647498518027,0.2921647498518027,0.0,0.0,0.0,0.0,0.0,0.191151657321104,0.191151657321104,0.0,0.0,0.0,0.0,0.0,0.1367459672883011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1958804207634469e-06,0.1278551709611395,0.0,0.0001964406559271,0.0,0.0,0.0,0.0,1.814342830264472,1.814342830264472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036278535410111,0.0,5.556526452051273e-06,0.0,0.72,-3616475.859714286,165004226.3,1773560.46616092,495083.555933199,22897.8009247068,316232723.963778,1717207.64175891,11154380.8998901,340729.21124083,2138793.14884575,8005.70935611152,45712.574292054
