Year,iso_code3,area_gnrl_country_ha,gdp_mmm_usd,occrateinit_gnrl_occupancy,population_gnrl_rural,population_gnrl_urban
1961,IRN,174515000.0,,,,
1962,IRN,174515000.0,,,,
1963,IRN,174515000.0,,,,
1964,IRN,174515000.0,,,,
1965,IRN,174515000.0,,,,
1966,IRN,174515000.0,,,,
1967,IRN,174515000.0,,,,
1968,IRN,174515000.0,,,,
1969,IRN,174515000.0,,,,
1970,IRN,174515000.0,,,,
1971,IRN,174515000.0,,,,
1972,IRN,174515000.0,,,,
1973,IRN,174515000.0,,,,
1974,IRN,174515000.0,,,,
1975,IRN,174515000.0,,,,
1976,IRN,174515000.0,,,,
1977,IRN,174515000.0,,,,
1978,IRN,174515000.0,,,,
1979,IRN,174515000.0,,,,
1980,IRN,174515000.0,,,,
1981,IRN,174515000.0,,,,
1982,IRN,174515000.0,,,,
1983,IRN,174515000.0,,,,
1984,IRN,174515000.0,,,,
1985,IRN,174515000.0,,,,
1986,IRN,174515000.0,,,,
1987,IRN,174515000.0,,,,
1988,IRN,174515000.0,,,,
1989,IRN,174515000.0,,,,
1990,IRN,174515000.0,,,,
1991,IRN,174515000.0,,,,
1992,IRN,174515000.0,,,,
1993,IRN,174515000.0,,,,
1994,IRN,174515000.0,,,,
1995,IRN,174515000.0,,,,
1996,IRN,174515000.0,,,,
1997,IRN,174515000.0,,,,
1998,IRN,174515000.0,,,,
1999,IRN,174515000.0,,,,
2000,IRN,174515000.0,,,,
2001,IRN,174515000.0,,,,
2002,IRN,174515000.0,,,,
2003,IRN,174515000.0,,,,
2004,IRN,174515000.0,,,,
2005,IRN,174515000.0,,,,
2006,IRN,174515000.0,,,,
2007,IRN,174515000.0,,,,
2008,IRN,174515000.0,,,,
2009,IRN,174515000.0,,,,
2010,IRN,174515000.0,,,,
2011,IRN,174515000.0,,,,
2012,IRN,174515000.0,,,,
2013,IRN,174515000.0,,,,
2014,IRN,174515000.0,,,,
2015,IRN,,883.8464734,,,
2016,IRN,,879.24037684,,,
2017,IRN,,874.63428028,,,
2018,IRN,,870.02818372,,,
2019,IRN,,865.42208716,,,
2020,IRN,,860.8159906,,,
2021,IRN,174515000.0,866.7999088,4.181218872870249,19577947.3197656,63394274.3882344
2022,IRN,174515000.0,872.783827,4.181218872870249,19290870.8041966,64314917.9018034
2023,IRN,174515000.0,878.7677452,4.181218872870249,19003794.2886276,65235561.4153725
2024,IRN,174515000.0,884.7516634,4.181218872870249,18716717.7730585,66156204.9289415
2025,IRN,174515000.0,890.7355816,4.181218872870249,18429641.2574895,67076848.4425105
2026,IRN,174515000.0,918.61671848,4.181218872870249,18082470.102715697,67912717.4252843
2027,IRN,174515000.0,946.49785536,4.181218872870249,17735298.9479419,68748586.4080581
2028,IRN,174515000.0,974.37899224,4.181218872870249,17388127.793168,69584455.39083199
2029,IRN,174515000.0,1002.26012912,4.181218872870249,17040956.6383942,70420324.3736058
2030,IRN,174515000.0,1030.141266,4.181218872870249,16693785.4836204,71256193.35637958
2031,IRN,174515000.0,1062.1763514,4.181218872870249,16307054.872103302,72043765.1758967
2032,IRN,174515000.0,1094.2114368,4.181218872870249,15920324.2605862,72831336.9954138
2033,IRN,174515000.0,1126.2465222,4.181218872870249,15533593.649069,73618908.8149309
2034,IRN,174515000.0,1158.2816076,4.181218872870249,15146863.0375519,74406480.6344481
2035,IRN,174515000.0,1190.316693,4.181218872870249,14760132.426034804,75194052.4539652
2036,IRN,174515000.0,1225.5035084,4.181218872870249,14344474.0285294,75950531.05747059
2037,IRN,174515000.0,1260.6903238,4.181218872870249,13928815.6310239,76707009.6609761
2038,IRN,174515000.0,1295.8771392,4.181218872870249,13513157.2335185,77463488.2644815
2039,IRN,174515000.0,1331.0639546,4.181218872870249,13097498.8360131,78219966.8679869
2040,IRN,174515000.0,1366.25077,4.181218872870249,12681840.4385076,78976445.47149241
2041,IRN,174515000.0,1400.5088102,4.181218872870249,12238070.9897925,79667140.23020749
2042,IRN,174515000.0,1434.7668504,4.181218872870249,11794301.5410774,80357834.9889226
2043,IRN,174515000.0,1469.0248906,4.181218872870249,11350532.0923623,81048529.7476377
2044,IRN,174515000.0,1503.2829308,4.181218872870249,10906762.643647198,81739224.5063528
2045,IRN,174515000.0,1537.540971,4.181218872870249,10462993.1949321,82429919.2650679
2046,IRN,174515000.0,1569.7864134,4.181218872870249,9995007.27610412,83012369.75389591
2047,IRN,174515000.0,1602.0318558,4.181218872870249,9527021.35727612,83594820.2427239
2048,IRN,174515000.0,1634.2772982,4.181218872870249,9059035.43844812,84177270.7315519
2049,IRN,174515000.0,1666.5227406,4.181218872870249,8591049.51962012,84759721.2203799
2050,IRN,174515000.0,1698.768183,4.181218872870249,8123063.60079211,85342171.7092079
