Year,iso_code3,frac_waso_non_recycled_incinerated
2021,ABW,0.3067798927090948
2022,ABW,0.3067798927090948
2023,ABW,0.3067798927090948
2024,ABW,0.3067798927090948
2025,ABW,0.3067798927090948
2026,ABW,0.3067798927090948
2027,ABW,0.3067798927090948
2028,ABW,0.3067798927090948
2029,ABW,0.3067798927090948
2030,ABW,0.3067798927090948
2031,ABW,0.3067798927090948
2032,ABW,0.3067798927090948
2033,ABW,0.3067798927090948
2034,ABW,0.3067798927090948
2035,ABW,0.3067798927090948
2036,ABW,0.3067798927090948
2037,ABW,0.3067798927090948
2038,ABW,0.3067798927090948
2039,ABW,0.3067798927090948
2040,ABW,0.3067798927090948
2041,ABW,0.3067798927090948
2042,ABW,0.3067798927090948
2043,ABW,0.3067798927090948
2044,ABW,0.3067798927090948
2045,ABW,0.3067798927090948
2046,ABW,0.3067798927090948
2047,ABW,0.3067798927090948
2048,ABW,0.3067798927090948
2049,ABW,0.3067798927090948
2050,ABW,0.3067798927090948
2021,AFG,0.20981280666365218
2022,AFG,0.20981280666365218
2023,AFG,0.20981280666365218
2024,AFG,0.20981280666365218
2025,AFG,0.20981280666365218
2026,AFG,0.20981280666365218
2027,AFG,0.20981280666365218
2028,AFG,0.20981280666365218
2029,AFG,0.20981280666365218
2030,AFG,0.20981280666365218
2031,AFG,0.20981280666365218
2032,AFG,0.20981280666365218
2033,AFG,0.20981280666365218
2034,AFG,0.20981280666365218
2035,AFG,0.20981280666365218
2036,AFG,0.20981280666365218
2037,AFG,0.20981280666365218
2038,AFG,0.20981280666365218
2039,AFG,0.20981280666365218
2040,AFG,0.20981280666365218
2041,AFG,0.20981280666365218
2042,AFG,0.20981280666365218
2043,AFG,0.20981280666365218
2044,AFG,0.20981280666365218
2045,AFG,0.20981280666365218
2046,AFG,0.20981280666365218
2047,AFG,0.20981280666365218
2048,AFG,0.20981280666365218
2049,AFG,0.20981280666365218
2050,AFG,0.20981280666365218
2021,AGO,0.22893262682571539
2022,AGO,0.22893262682571539
2023,AGO,0.22893262682571539
2024,AGO,0.22893262682571539
2025,AGO,0.22893262682571539
2026,AGO,0.22893262682571539
2027,AGO,0.22893262682571539
2028,AGO,0.22893262682571539
2029,AGO,0.22893262682571539
2030,AGO,0.22893262682571539
2031,AGO,0.22893262682571539
2032,AGO,0.22893262682571539
2033,AGO,0.22893262682571539
2034,AGO,0.22893262682571539
2035,AGO,0.22893262682571539
2036,AGO,0.22893262682571539
2037,AGO,0.22893262682571539
2038,AGO,0.22893262682571539
2039,AGO,0.22893262682571539
2040,AGO,0.22893262682571539
2041,AGO,0.22893262682571539
2042,AGO,0.22893262682571539
