Year,iso_code3,pij_lndu_forests_secondary_to_forests_secondary
2019,AFG,0.9916581675450308
2020,AFG,0.8938688318674769
2021,AFG,0.8938688318674769
2022,AFG,0.8938688318674769
2023,AFG,0.8938688318674769
2024,AFG,0.8938688318674769
2025,AFG,0.8938688318674769
2026,AFG,0.8938688318674769
2027,AFG,0.8938688318674769
2028,AFG,0.8938688318674769
2029,AFG,0.8938688318674769
2030,AFG,0.8938688318674769
2031,AFG,0.8938688318674769
2032,AFG,0.8938688318674769
2033,AFG,0.8938688318674769
2034,AFG,0.8938688318674769
2035,AFG,0.8938688318674769
2036,AFG,0.8938688318674769
2037,AFG,0.8938688318674769
2038,AFG,0.8938688318674769
2039,AFG,0.8938688318674769
2040,AFG,0.8938688318674769
2041,AFG,0.8938688318674769
2042,AFG,0.8938688318674769
2043,AFG,0.8938688318674769
2044,AFG,0.8938688318674769
2045,AFG,0.8938688318674769
2046,AFG,0.8938688318674769
2047,AFG,0.8938688318674769
2048,AFG,0.8938688318674769
2049,AFG,0.8938688318674769
2050,AFG,0.8938688318674769
2019,AGO,0.9911961960018468
2020,AGO,0.9908160822085458
2021,AGO,0.9908160822085458
2022,AGO,0.9908160822085458
2023,AGO,0.9908160822085458
2024,AGO,0.9908160822085458
2025,AGO,0.9908160822085458
2026,AGO,0.9908160822085458
2027,AGO,0.9908160822085458
2028,AGO,0.9908160822085458
2029,AGO,0.9908160822085458
2030,AGO,0.9908160822085458
2031,AGO,0.9908160822085458
2032,AGO,0.9908160822085458
2033,AGO,0.9908160822085458
2034,AGO,0.9908160822085458
2035,AGO,0.9908160822085458
2036,AGO,0.9908160822085458
2037,AGO,0.9908160822085458
2038,AGO,0.9908160822085458
2039,AGO,0.9908160822085458
2040,AGO,0.9908160822085458
2041,AGO,0.9908160822085458
2042,AGO,0.9908160822085458
2043,AGO,0.9908160822085458
2044,AGO,0.9908160822085458
2045,AGO,0.9908160822085458
2046,AGO,0.9908160822085458
2047,AGO,0.9908160822085458
2048,AGO,0.9908160822085458
2049,AGO,0.9908160822085458
2050,AGO,0.9908160822085458
2019,ALB,0.9906872319061372
2020,ALB,0.990708364138418
2021,ALB,0.990708364138418
2022,ALB,0.990708364138418
2023,ALB,0.990708364138418
2024,ALB,0.990708364138418
2025,ALB,0.990708364138418
2026,ALB,0.990708364138418
2027,ALB,0.990708364138418
2028,ALB,0.990708364138418
2029,ALB,0.990708364138418
2030,ALB,0.990708364138418
2031,ALB,0.990708364138418
2032,ALB,0.990708364138418
2033,ALB,0.990708364138418
2034,ALB,0.990708364138418
2035,ALB,0.990708364138418
2036,ALB,0.990708364138418
2037,ALB,0.990708364138418
2038,ALB,0.990708364138418
2039,ALB,0.990708364138418
2040,ALB,0.990708364138418
2041,ALB,0.990708364138418
2042,ALB,0.990708364138418
2043,ALB,0.990708364138418
2044,ALB,0.990708364138418
2045,ALB,0.990708364138418
2046,ALB,0.990708364138418
2047,ALB,0.990708364138418
2048,ALB,0.990708364138418
2049,ALB,0.990708364138418
2050,ALB,0.990708364138418
2019,ARG,0.9912264202978625
2020,ARG,0.9912346813979622
2021,ARG,0.9912346813979622
2022,ARG,0.9912346813979622
2023,ARG,0.9912346813979622
2024,ARG,0.9912346813979622
2025,ARG,0.9912346813979622
2026,ARG,0.9912346813979622
2027,ARG,0.9912346813979622
2028,ARG,0.9912346813979622
2029,ARG,0.9912346813979622
2030,ARG,0.9912346813979622
2031,ARG,0.9912346813979622
2032,ARG,0.9912346813979622
2033,ARG,0.9912346813979622
2034,ARG,0.9912346813979622
2035,ARG,0.9912346813979622
2036,ARG,0.9912346813979622
2037,ARG,0.9912346813979622
2038,ARG,0.9912346813979622
2039,ARG,0.9912346813979622
2040,ARG,0.9912346813979622
2041,ARG,0.9912346813979622
2042,ARG,0.9912346813979622
2043,ARG,0.9912346813979622
2044,ARG,0.9912346813979622
