Year,prodinit_ippu_paper_tonne,iso_code3
2021,7193.438,"ABW"
2022,7377.09668682196,"ABW"
2023,7565.44444071382,"ABW"
2024,7758.60098021635,"ABW"
2025,7956.68908045467,"ABW"
2026,8159.83465117717,"ABW"
2027,8368.16681678693,"ABW"
2028,8581.81799841638,"ABW"
2029,8800.92399809751,"ABW"
2030,9025.62408508102,"ABW"
2031,9256.06108435933,"ABW"
2032,9492.38146744977,"ABW"
2033,9734.73544549545,"ABW"
2034,9983.27706474328,"ABW"
2035,10238.1643044596,"ABW"
2036,10499.5591773458,"ABW"
2037,10767.6278325174,"ABW"
2038,11042.5406611131,"ABW"
2039,11324.4724045991,"ABW"
2040,11613.6022658393,"ABW"
2041,11910.1140230014,"ABW"
2042,12214.1961463706,"ABW"
2043,12526.0419181459,"ABW"
2044,12845.8495552957,"ABW"
2045,13173.8223355488,"ABW"
2046,13510.1687266031,"ABW"
2047,13855.1025186328,"ABW"
2048,14208.8429601791,"ABW"
2049,14571.6148975095,"ABW"
2050,14943.6489175361,"ABW"
2021,183771.1,"AGO"
2022,197218.395874776,"AGO"
2023,211649.68632946,"AGO"
2024,227136.974340882,"AGO"
2025,243757.531643217,"AGO"
2026,261594.284264883,"AGO"
2027,280736.226276767,"AGO"
2028,301278.86381614,"AGO"
2029,323324.69160164,"AGO"
2030,346983.704316849,"AGO"
2031,372373.945413923,"AGO"
2032,399622.096075473,"AGO"
2033,428864.107273235,"AGO"
2034,460245.878077104,"AGO"
2035,493923.983598858,"AGO"
2036,530066.456202558,"AGO"
2037,568853.623879357,"AGO"
2038,610479.009969685,"AGO"
2039,655150.298721849,"AGO"
2040,703090.371504569,"AGO"
2041,754538.418843504,"AGO"
2042,809751.133830105,"AGO"
2043,869003.992857171,"AGO"
2044,932592.63007114,"AGO"
2045,1000834.31239879,"AGO"
2046,1074069.52250775,"AGO"
2047,1152663.65759885,"AGO"
2048,1237008.85250617,"AGO"
2049,1327525.93620088,"AGO"
2050,1424666.53146059,"AGO"
2021,160541,"ALB"
2022,170415.88654246,"ALB"
2023,180898.17794864,"ALB"
2024,192025.235728151,"ALB"
2025,203836.719499304,"ALB"
2026,216374.72834591,"ALB"
2027,229683.95086895,"ALB"
2028,243811.824467936,"ALB"
2029,258808.704419669,"ALB"
2030,274728.043357045,"ALB"
2031,291626.581787619,"ALB"
2032,309564.55033097,"ALB"
2033,328605.884395702,"ALB"
2034,348818.452061234,"ALB"
2035,370274.295976628,"ALB"
2036,393049.890138608,"ALB"
2037,417226.412464027,"ALB"
2038,442890.034128274,"ALB"
2039,470132.226700906,"ALB"
2040,499050.088173213,"ALB"
2041,529746.689039752,"ALB"
2042,562331.439667389,"ALB"
2043,596920.480261217,"ALB"
2044,633637.094817313,"ALB"
2045,672612.150537751,"ALB"
2046,713984.564274058,"ALB"
2047,757901.797661629,"ALB"
2048,804520.382709903,"ALB"
2049,854006.479721613,"ALB"
2050,906536.469529678,"ALB"
2021,1020521,"ARE"
2022,1038238.5712373,"ARE"
2023,1056263.74254412,"ARE"
2024,1074601.85425755,"ARE"
2025,1093258.33942987,"ARE"
2026,1112238.72543822,"ARE"
2027,1131548.63562217,"ARE"
2028,1151193.7909498,"ARE"
2029,1171180.01171261,"ARE"
2030,1191513.21924996,"ARE"
2031,1212199.43770332,"ARE"
2032,1233244.79580112,"ARE"
2033,1254655.52867446,"ARE"
2034,1276437.97970444,"ARE"
2035,1298598.60240148,"ARE"
2036,1321143.96231735,"ARE"
2037,1344080.73899033,"ARE"
2038,1367415.72792417,"ARE"
2039,1391155.84260138,"ARE"
2040,1415308.11653153,"ARE"
2041,1439879.70533507,"ARE"
2042,1464877.8888633,"ARE"
2043,1490310.07335523,"ARE"
2044,1516183.79363177,"ARE"
2045,1542506.71532815,"ARE"
2046,1569286.63716497,"ARE"
2047,1596531.49325879,"ARE"
2048,1624249.3554727,"ARE"
2049,1652448.43580787,"ARE"
2050,1681137.08883646,"ARE"
2021,1903257,"ARG"
2022,1865268.29480112,"ARG"
2023,1828037.83807982,"ARG"
2024,1791550.4953178,"ARG"
2025,1755791.43407933,"ARG"
2026,1720746.11798174,"ARG"
2027,1686400.3007862,"ARG"
2028,1652740.02060656,"ARG"
2029,1619751.59423366,"ARG"
2030,1587421.61157301,"ARG"
2031,1555736.93019347,"ARG"
2032,1524684.66998472,"ARG"
2033,1494252.20792137,"ARG"
2034,1464427.17293161,"ARG"
2035,1435197.44086824,"ARG"
2036,1406551.1295801,"ARG"
2037,1378476.59408187,"ARG"
2038,1350962.42182025,"ARG"
2039,1323997.4280347,"ARG"
2040,1297570.65121072,"ARG"
2041,1271671.34862386,"ARG"
2042,1246288.99197274,"ARG"
2043,1221413.2630992,"ARG"
2044,1197034.04979386,"ARG"
2045,1173141.44168543,"ARG"
2046,1149725.72621202,"ARG"
2047,1126777.38467294,"ARG"
2048,1104287.08835925,"ARG"
2049,1082245.69476153,"ARG"
2050,1060644.24385341,"ARG"
2021,55019.53,"ARM"
2022,59872.3444286151,"ARM"
2023,65153.1851940341,"ARM"
2024,70899.8049339672,"ARM"
2025,77153.2861318174,"ARM"
2026,83958.3348146315,"ARM"
2027,91363.6001557011,"ARM"
2028,99422.0222666462,"ARM"
2029,108191.210665342,"ARM"
2030,117733.856125346,"ARM"
2031,128118.178851142,"ARM"
2032,139418.416183171,"ARM"
2033,151715.353319282,"ARM"
2034,165096.900846683,"ARM"
2035,179658.723213184,"ARM"
2036,195504.922630655,"ARM"
2037,212748.783299899,"ARM"
2038,231513.581277419,"ARM"
2039,251933.465773768,"ARM"
2040,274154.418183902,"ARM"
2041,298335.2957056,"ARM"
2042,324648.967006778,"ARM"
2043,353283.548060551,"ARM"
2044,384443.746983017,"ARM"
2045,418352.327487976,"ARM"
2046,455251.701420802,"ARM"
2047,495405.661756459,"ARM"
2048,539101.268450833,"ARM"
2049,586650.900627315,"ARM"
2050,638394.489769648,"ARM"
2021,1532.954,"ASM"
2022,1612.8304843625,"ASM"
2023,1696.86903278831,"ASM"
2024,1785.28651482804,"ASM"
2025,1878.3111002913,"ASM"
2026,1976.18284806085,"ASM"
2027,2079.15432558762,"ASM"
2028,2187.49126066527,"ASM"
2029,2301.47322716631,"ASM"
2030,2421.39436650935,"ASM"
2031,2547.56414671927,"ASM"
2032,2680.30816103927,"ASM"
2033,2819.96896815542,"ASM"
2034,2966.90697620237,"ASM"
2035,3121.50137283111,"ASM"
2036,3284.15110373919,"ASM"
2037,3455.2759021884,"ASM"
2038,3635.31737216681,"ASM"
2039,3824.74012799027,"ASM"
2040,4024.03299328437,"ASM"
2041,4233.71026244069,"ASM"
2042,4454.31302780299,"ASM"
2043,4686.41057600795,"ASM"
2044,4930.60185708407,"ASM"
2045,5187.51703009975,"ASM"
2046,5457.81908934939,"ASM"
2047,5742.2055752738,"ASM"
2048,6041.41037453041,"ASM"
2049,6356.20561385829,"ASM"
2050,6687.40365262539,"ASM"
2021,4452.487,"ATG"
2022,4798.06842592519,"ATG"
2023,5170.47228208869,"ATG"
2024,5571.78040133775,"ATG"
2025,6004.23619874633,"ATG"
2026,6470.25721287942,"ATG"
2027,6972.44862045222,"ATG"
2028,7513.61779993461,"ATG"
2029,8096.79002551512,"ATG"
2030,8725.22537915778,"ATG"
2031,9402.43697529451,"ATG"
2032,10132.2106000337,"ATG"
2033,10918.6258746732,"ATG"
2034,11766.0790618275,"ATG"
2035,12679.3076416605,"ATG"
2036,13663.4167956118,"ATG"
2037,14723.9079456675,"ATG"
2038,15866.7095087164,"ATG"
2039,17098.2100379179,"ATG"
2040,18425.2939363486,"ATG"
2041,19855.3799425771,"ATG"
2042,21396.4626033108,"ATG"
2043,23057.1569649579,"ATG"
2044,24846.7467339412,"ATG"
2045,26775.2361749924,"ATG"
2046,28853.4060375518,"ATG"
2047,31092.8738229166,"ATG"
2048,33506.1587290456,"ATG"
2049,36106.7516360792,"ATG"
2050,38909.1905238116,"ATG"
2021,4646433,"AUS"
2022,4513799.31547809,"AUS"
2023,4384951.69529195,"AUS"
2024,4259782.06521289,"AUS"
2025,4138185.43602023,"AUS"
2026,4020059.81543896,"AUS"
2027,3905306.12259111,"AUS"
2028,3793828.10488909,"AUS"
2029,3685532.25730144,"AUS"
2030,3580327.74392307,"AUS"
2031,3478126.32178429,"AUS"
2032,3378842.26683485,"AUS"
2033,3282392.30204064,"AUS"
2034,3188695.52753297,"AUS"
2035,3097673.35275175,"AUS"
2036,3009249.43052564,"AUS"
2037,2923349.59303394,"AUS"
2038,2839901.7895964,"AUS"
2039,2758836.02623889,"AUS"
2040,2680084.30698417,"AUS"
2041,2603580.57681854,"AUS"
