Year,iso_code3,frac_lndu_initial_forests_secondary
1992,ABW,0.010308692601754993
1993,ABW,0.01046840451683857
1994,ABW,0.010628639318209674
1995,ABW,0.010791984069799776
1996,ABW,0.010955380098332267
1997,ABW,0.011117888433543922
1998,ABW,0.011289719395852653
1999,ABW,0.01144935596807844
2000,ABW,0.011608424530197071
2001,ABW,0.011864777692642726
2002,ABW,0.012123194701884823
2003,ABW,0.012380041323535455
2004,ABW,0.012639268159674578
2005,ABW,0.012892719958955993
2006,ABW,0.01314529844099356
2007,ABW,0.013402460559559667
2008,ABW,0.0136603130624588
2009,ABW,0.013914632564603492
2010,ABW,0.014171468386361427
2011,ABW,0.014394267363382812
2012,ABW,0.01461113095543357
2013,ABW,0.014826621783142884
2014,ABW,0.015047694769157693
2019,ABW,0.015286236038199466
2020,ABW,0.015418623338150488
2021,ABW,0.015418623338150488
2022,ABW,0.015418623338150488
2023,ABW,0.015418623338150488
2024,ABW,0.015418623338150488
2025,ABW,0.015418623338150488
2026,ABW,0.015418623338150488
2027,ABW,0.015418623338150488
2028,ABW,0.015418623338150488
2029,ABW,0.015418623338150488
2030,ABW,0.015418623338150488
2031,ABW,0.015418623338150488
2032,ABW,0.015418623338150488
2033,ABW,0.015418623338150488
2034,ABW,0.015418623338150488
2035,ABW,0.015418623338150488
2036,ABW,0.015418623338150488
2037,ABW,0.015418623338150488
2038,ABW,0.015418623338150488
2039,ABW,0.015418623338150488
2040,ABW,0.015418623338150488
2041,ABW,0.015418623338150488
2042,ABW,0.015418623338150488
2043,ABW,0.015418623338150488
2044,ABW,0.015418623338150488
2045,ABW,0.015418623338150488
2046,ABW,0.015418623338150488
2047,ABW,0.015418623338150488
2048,ABW,0.015418623338150488
2049,ABW,0.015418623338150488
2050,ABW,0.015418623338150488
1992,AFG,0.0
1993,AFG,0.0
1994,AFG,0.0
1995,AFG,0.0
1996,AFG,0.0
1997,AFG,0.0
1998,AFG,0.0
1999,AFG,0.0
2000,AFG,0.0
2001,AFG,0.0
2002,AFG,0.0
2003,AFG,0.0
2004,AFG,0.0
2005,AFG,0.0
2006,AFG,0.0
2007,AFG,0.0
2008,AFG,0.0
2009,AFG,0.0
2010,AFG,0.0
2011,AFG,0.0
2012,AFG,0.0
2013,AFG,0.0
2014,AFG,0.0
2019,AFG,0.0
2020,AFG,0.0
2021,AFG,0.0
2022,AFG,0.0
2023,AFG,0.0
2024,AFG,0.0
2025,AFG,0.0
2026,AFG,0.0
2027,AFG,0.0
2028,AFG,0.0
2029,AFG,0.0
2030,AFG,0.0
2031,AFG,0.0
2032,AFG,0.0
2033,AFG,0.0
2034,AFG,0.0
2035,AFG,0.0
2036,AFG,0.0
2037,AFG,0.0
2038,AFG,0.0
2039,AFG,0.0
2040,AFG,0.0
2041,AFG,0.0
2042,AFG,0.0
2043,AFG,0.0
2044,AFG,0.0
2045,AFG,0.0
2046,AFG,0.0
2047,AFG,0.0
2048,AFG,0.0
2049,AFG,0.0
2050,AFG,0.0
1992,AGO,0.0076607537482279425
1993,AGO,0.0076456766115485285
1994,AGO,0.007630596403405406
1995,AGO,0.00761551893529529
1996,AGO,0.00760043761857628
1997,AGO,0.0075853566186800956
1998,AGO,0.007570251888461787
1999,AGO,0.0075551321138673634
2000,AGO,0.007540040163990632
2001,AGO,0.007486185252967967
2002,AGO,0.007432318712956843
2003,AGO,0.007378458936039268
2004,AGO,0.0073245226559436015
2005,AGO,0.007270669581256046
2006,AGO,0.00721680909163663
2007,AGO,0.007162942402666177
2008,AGO,0.007109077059028344
2009,AGO,0.007055216592885122
2010,AGO,0.007001356078876843
2011,AGO,0.006947497796101527
2012,AGO,0.006893634878690369
2013,AGO,0.00683977761313024
2014,AGO,0.006785917861981329
2019,AGO,0.006516564222639073
2020,AGO,0.006462707419581635
2021,AGO,0.006462707419581635
2022,AGO,0.006462707419581635
2023,AGO,0.006462707419581635
2024,AGO,0.006462707419581635
2025,AGO,0.006462707419581635
2026,AGO,0.006462707419581635
2027,AGO,0.006462707419581635
2028,AGO,0.006462707419581635
2029,AGO,0.006462707419581635
2030,AGO,0.006462707419581635
2031,AGO,0.006462707419581635
2032,AGO,0.006462707419581635
2033,AGO,0.006462707419581635
2034,AGO,0.006462707419581635
2035,AGO,0.006462707419581635
2036,AGO,0.006462707419581635
2037,AGO,0.006462707419581635
2038,AGO,0.006462707419581635
2039,AGO,0.006462707419581635
2040,AGO,0.006462707419581635
2041,AGO,0.006462707419581635
2042,AGO,0.006462707419581635
2043,AGO,0.006462707419581635
2044,AGO,0.006462707419581635
2045,AGO,0.006462707419581635
2046,AGO,0.006462707419581635
2047,AGO,0.006462707419581635
2048,AGO,0.006462707419581635
2049,AGO,0.006462707419581635
2050,AGO,0.006462707419581635
1992,ALB,0.024577358490566036
1993,ALB,0.024509466500106634
1994,ALB,0.024444083560935997
1995,ALB,0.02440087831370698
1996,ALB,0.02433305453791387
1997,ALB,0.02426529797842678
1998,ALB,0.024197608136805635
1999,ALB,0.024151678721333555
2000,ALB,0.02408401406221933
2001,ALB,0.024111582670385167
2002,ALB,0.024165565766662653
2003,ALB,0.02419305671731609
2004,ALB,0.024244737860399445
2005,ALB,0.024272143898294855
2006,ALB,0.024323899549927006
2007,ALB,0.024351220099771986
2008,ALB,0.024403050732582466
2009,ALB,0.02445495825791806
2010,ALB,0.02448219130434783
2011,ALB,0.024518834934201057
2012,ALB,0.024577890806904864
2013,ALB,0.02461202659579119
2014,ALB,0.024673685877448056
2019,ALB,0.02469309391707858
2020,ALB,0.024691294260062547
2021,ALB,0.024691294260062547
2022,ALB,0.024691294260062547
2023,ALB,0.024691294260062547
2024,ALB,0.024691294260062547
2025,ALB,0.024691294260062547
2026,ALB,0.024691294260062547
2027,ALB,0.024691294260062547
2028,ALB,0.024691294260062547
2029,ALB,0.024691294260062547
2030,ALB,0.024691294260062547
2031,ALB,0.024691294260062547
2032,ALB,0.024691294260062547
2033,ALB,0.024691294260062547
2034,ALB,0.024691294260062547
2035,ALB,0.024691294260062547
2036,ALB,0.024691294260062547
2037,ALB,0.024691294260062547
2038,ALB,0.024691294260062547
2039,ALB,0.024691294260062547
2040,ALB,0.024691294260062547
2041,ALB,0.024691294260062547
2042,ALB,0.024691294260062547
2043,ALB,0.024691294260062547
2044,ALB,0.024691294260062547
2045,ALB,0.024691294260062547
2046,ALB,0.024691294260062547
2047,ALB,0.024691294260062547
2048,ALB,0.024691294260062547
2049,ALB,0.024691294260062547
2050,ALB,0.024691294260062547
1992,AND,0.04830043310161162
1993,AND,0.0488415441258177
1994,AND,0.04939962985433407
1995,AND,0.049981567597687765
1996,AND,0.05058808445982089
1997,AND,0.051203013447284104
1998,AND,0.05183702378741062
1999,AND,0.0524526621757547
2000,AND,0.05308164557097327
2001,AND,0.05329301159783802
2002,AND,0.05349320719669401
2003,AND,0.06083042716339996
2004,AND,0.053838000564265916
2005,AND,0.05402676067905842
2006,AND,0.046138137169425254
2007,AND,0.046420320174255236
2008,AND,0.05301867941428054
2009,AND,0.046772612474581025
2010,AND,0.04696854177875802
2011,AND,0.0468672160871189
2012,AND,0.054196211262014626
2013,AND,0.053580835750015064
2014,AND,0.05343426884622291
2019,AND,0.04496713858885004
2020,AND,0.044901686515107245
2021,AND,0.044901686515107245
