Year,iso_code3,pij_lndu_forests_mangroves_to_wetlands
2015,AFG,0.0017449924036716
2016,AFG,0.0022619161100405
2017,AFG,0.0015367552220844
2018,AFG,0.0015003124304537
2015,AGO,0.0014113897291718
2016,AGO,0.0021471419222396
2017,AGO,0.0020523607817469
2018,AGO,0.0019884037630512
2015,ALB,0.0019136610887594
2016,ALB,0.0023933144136462
2017,ALB,0.0016410915157327
2018,ALB,0.0016372368366652
2015,ARG,0.0019152601166627
2016,ARG,0.0024304521362631
2017,ARG,0.0016280920341816
2018,ARG,0.0016082229521363
2015,ATG,1.5882337871175646e-05
2016,ATG,0.0
2017,ATG,0.0
2018,ATG,0.0
2015,AUS,0.046384404372962
2016,AUS,0.001030208357753
2017,AUS,0.0021283860979294
2018,AUS,8.105964257752633e-05
2015,AUT,0.0019721418805053
2016,AUT,0.0022837663580281
2017,AUT,0.0015676217834219
2018,AUT,0.0015569979849099
2015,AZE,0.0018792200608221
2016,AZE,0.0023359450328937
2017,AZE,0.0014815608016133
2018,AZE,0.001589095483168
2015,BDI,0.0018708345963009
2016,BDI,0.0021910265899058
2017,BDI,0.0016100742652091
2018,BDI,0.0015563132894226
2015,BEL,0.001790308139356
2016,BEL,0.00225724125642
2017,BEL,0.0015482027799067
2018,BEL,0.0015617050316516
2015,BEN,0.0080209359767349
2016,BEN,0.0099972411136097
2017,BEN,1.3261641591117532e-05
2018,BEN,0.010778580562221
2015,BFA,0.0016365067449051
2016,BFA,0.0020769333571668
2017,BFA,0.001522310257684
2018,BFA,0.0014451503939142
2015,BGD,0.0
2016,BGD,5.198741744185833e-05
2017,BGD,0.0
2018,BGD,0.000125384368219
2015,BGR,0.0019209464622366
2016,BGR,0.0024833809276387
2017,BGR,0.0015755806604111
2018,BGR,0.0014959449838699
2015,BHS,0.0017412520099012
2016,BHS,0.0091648156682635
2017,BHS,0.0079253593063081
2018,BHS,0.0130241278578144
2015,BIH,0.001913959789431
2016,BIH,0.0023420016792116
2017,BIH,0.0015383233939447
2018,BIH,0.0015353263375035
2015,BLR,0.0018398795960405
2016,BLR,0.0022167593685916
2017,BLR,0.0015701037507482
2018,BLR,0.0015735915551649
2015,BLZ,6.528794428411936e-06
2016,BLZ,0.0001502602958936
2017,BLZ,0.0053075292576224
2018,BLZ,0.0014291594486194
2015,BOL,0.0019544683600848
2016,BOL,0.0024579455736785
2017,BOL,0.0015911115916054
2018,BOL,0.0016368533475675
2015,BRA,0.0037139056913503
2016,BRA,0.0033033183329801
2017,BRA,0.0031075930267191
2018,BRA,0.0021716246015042
2015,BRN,0.0007807115809245
2016,BRN,0.1667726791713754
2017,BRN,0.0
2018,BRN,0.0
2015,BWA,0.0016643206133242
2016,BWA,0.0021831510682438
2017,BWA,0.0015165229287594
2018,BWA,0.0014762174594803
2015,CAF,0.0017460395743491
2016,CAF,0.0021586586592887
2017,CAF,0.0015678138562161
2018,CAF,0.0015347553658043
2015,CAN,0.0019119243745514
2016,CAN,0.0024120405331077
2017,CAN,0.001641969892705
2018,CAN,0.0016311578566191
2015,CHE,0.0017662899641551
2016,CHE,0.0023682900863087
2017,CHE,0.0015494393153144
2018,CHE,0.0016977258841073
2015,CHL,0.0018822410422761
2016,CHL,0.0023225313576952
2017,CHL,0.0016162253061962
2018,CHL,0.0016047672269713
2015,CHN,0.0097520758073101
2016,CHN,0.0035785617820604
2017,CHN,0.0055334251355176
2018,CHN,0.0058140802627617
2015,CIV,0.0050411982113389
2016,CIV,0.0036834055764743
2017,CIV,0.0036906039817215
2018,CIV,0.0018787442396297
2015,CMR,0.011232802423684
2016,CMR,0.0017911425916277
2017,CMR,0.0005708951312445
2018,CMR,0.0004851322320298
2015,COD,0.0
2016,COD,0.0
2017,COD,0.0
2018,COD,0.0
2015,COG,0.0152944037276154
2016,COG,0.0460906746479548
2017,COG,0.0166697518711384
2018,COG,0.0098233575497344
2015,COL,0.0051351602396765
2016,COL,0.0345053907221916
2017,COL,0.0108715396004926
2018,COL,0.0009974315980097
2015,COM,0.0
2016,COM,0.0189578546159293
2017,COM,0.0
2018,COM,0.0
2015,CPV,0.0017302074368827
2016,CPV,0.0023626759904608
2017,CPV,0.0014643225206318
2018,CPV,0.0014696854420272
2015,CRI,4.106725071533041e-05
2016,CRI,0.0063841450273998
2017,CRI,9.03447318661478e-05
2018,CRI,0.0115784391795146
2015,CUB,5.2782163704908655e-05
2016,CUB,1.2250995643604968e-05
2017,CUB,0.0109647929336832
2018,CUB,0.0001287005950349
2015,CYM,0.0
2016,CYM,0.0
2017,CYM,0.0
2018,CYM,0.0
