,Nation,iso_code3,Year,nemomod_entc_variable_cost_st_compressed_air_usd_per_mwh
0,Aruba,ABW,2020,0.5125
1,Aruba,ABW,2021,0.5125
2,Aruba,ABW,2022,0.5125
3,Aruba,ABW,2023,0.5125
4,Aruba,ABW,2024,0.5125
5,Aruba,ABW,2025,0.5125
6,Aruba,ABW,2026,0.5125
7,Aruba,ABW,2027,0.5125
8,Aruba,ABW,2028,0.5125
9,Aruba,ABW,2029,0.5125
10,Aruba,ABW,2030,0.5125
11,Aruba,ABW,2031,0.5125
12,Aruba,ABW,2032,0.5125
13,Aruba,ABW,2033,0.5125
14,Aruba,ABW,2034,0.5125
15,Aruba,ABW,2035,0.5125
16,Aruba,ABW,2036,0.5125
17,Aruba,ABW,2037,0.5125
18,Aruba,ABW,2038,0.5125
19,Aruba,ABW,2039,0.5125
20,Aruba,ABW,2040,0.5125
21,Aruba,ABW,2041,0.5125
22,Aruba,ABW,2042,0.5125
23,Aruba,ABW,2043,0.5125
24,Aruba,ABW,2044,0.5125
25,Aruba,ABW,2045,0.5125
26,Aruba,ABW,2046,0.5125
27,Aruba,ABW,2047,0.5125
28,Aruba,ABW,2048,0.5125
29,Aruba,ABW,2049,0.5125
30,Aruba,ABW,2050,0.5125
31,Africa Eastern and Southern,AFE,2020,0.5125
32,Africa Eastern and Southern,AFE,2021,0.5125
33,Africa Eastern and Southern,AFE,2022,0.5125
34,Africa Eastern and Southern,AFE,2023,0.5125
35,Africa Eastern and Southern,AFE,2024,0.5125
36,Africa Eastern and Southern,AFE,2025,0.5125
37,Africa Eastern and Southern,AFE,2026,0.5125
38,Africa Eastern and Southern,AFE,2027,0.5125
39,Africa Eastern and Southern,AFE,2028,0.5125
40,Africa Eastern and Southern,AFE,2029,0.5125
41,Africa Eastern and Southern,AFE,2030,0.5125
42,Africa Eastern and Southern,AFE,2031,0.5125
43,Africa Eastern and Southern,AFE,2032,0.5125
44,Africa Eastern and Southern,AFE,2033,0.5125
45,Africa Eastern and Southern,AFE,2034,0.5125
46,Africa Eastern and Southern,AFE,2035,0.5125
47,Africa Eastern and Southern,AFE,2036,0.5125
48,Africa Eastern and Southern,AFE,2037,0.5125
49,Africa Eastern and Southern,AFE,2038,0.5125
50,Africa Eastern and Southern,AFE,2039,0.5125
51,Africa Eastern and Southern,AFE,2040,0.5125
52,Africa Eastern and Southern,AFE,2041,0.5125
53,Africa Eastern and Southern,AFE,2042,0.5125
54,Africa Eastern and Southern,AFE,2043,0.5125
55,Africa Eastern and Southern,AFE,2044,0.5125
56,Africa Eastern and Southern,AFE,2045,0.5125
57,Africa Eastern and Southern,AFE,2046,0.5125
58,Africa Eastern and Southern,AFE,2047,0.5125
59,Africa Eastern and Southern,AFE,2048,0.5125
60,Africa Eastern and Southern,AFE,2049,0.5125
61,Africa Eastern and Southern,AFE,2050,0.5125
62,Afghanistan,AFG,2020,0.5125
63,Afghanistan,AFG,2021,0.5125
64,Afghanistan,AFG,2022,0.5125
65,Afghanistan,AFG,2023,0.5125
66,Afghanistan,AFG,2024,0.5125
67,Afghanistan,AFG,2025,0.5125
68,Afghanistan,AFG,2026,0.5125
69,Afghanistan,AFG,2027,0.5125
70,Afghanistan,AFG,2028,0.5125
71,Afghanistan,AFG,2029,0.5125
72,Afghanistan,AFG,2030,0.5125
73,Afghanistan,AFG,2031,0.5125
74,Afghanistan,AFG,2032,0.5125
75,Afghanistan,AFG,2033,0.5125
76,Afghanistan,AFG,2034,0.5125
77,Afghanistan,AFG,2035,0.5125
78,Afghanistan,AFG,2036,0.5125
79,Afghanistan,AFG,2037,0.5125
80,Afghanistan,AFG,2038,0.5125
81,Afghanistan,AFG,2039,0.5125
82,Afghanistan,AFG,2040,0.5125
