Year,iso_code3,frac_lndu_initial_forests_mangroves
2015,ABW,0.0247553447952195
2016,ABW,0.024705136470097356
2017,ABW,0.02465277732982774
2018,ABW,0.024600071452103005
2015,AFG,0.0
2016,AFG,0.0
2017,AFG,0.0
2018,AFG,0.0
2015,AGO,0.00016205661506764877
2016,AGO,0.00016390113747572713
2017,AGO,0.00016429137969067162
2018,AGO,0.0001635050195261429
2015,ALB,0.0
2016,ALB,0.0
2017,ALB,0.0
2018,ALB,0.0
2015,AND,0.0
2016,AND,0.0
2017,AND,0.0
2018,AND,0.0
2015,ARE,0.032164901635006946
2016,ARE,0.03216490163500693
2017,ARE,0.03216490163500693
2018,ARE,0.03216490163500693
2015,ARG,0.0
2016,ARG,0.0
2017,ARG,0.0
2018,ARG,0.0
2015,ARM,0.0
2016,ARM,0.0
2017,ARM,0.0
2018,ARM,0.0
2015,ASM,0.003296703117672723
2016,ASM,0.0032945077731751475
2017,ASM,0.003292312428677573
2018,ASM,0.0032901170841799976
2015,ATG,0.1920454545454545
2016,ATG,0.19054545454545455
2017,ATG,0.18904545454545454
2018,ATG,0.18754545454545454
2015,AUS,0.006193921927444494
2016,AUS,0.006225673930303623
2017,AUS,0.006261458568907305
2018,AUS,0.006272481485662398
2015,AUT,0.0
2016,AUT,0.0
2017,AUT,0.0
2018,AUT,0.0
2015,AZE,0.0
2016,AZE,0.0
2017,AZE,0.0
2018,AZE,0.0
2015,BDI,0.0
2016,BDI,0.0
2017,BDI,0.0
2018,BDI,0.0
2015,BEL,0.0
2016,BEL,0.0
2017,BEL,0.0
2018,BEL,0.0
2015,BEN,0.0004887756524275228
2016,BEN,0.00047493109784362366
2017,BEN,0.0004556483704679397
2018,BEN,0.00043842770252929984
2015,BFA,0.0
2016,BFA,0.0
2017,BFA,0.0
2018,BFA,0.0
2015,BGD,0.0430695813611987
2016,BGD,0.04298771914911301
2017,BGD,0.0427722673819584
2018,BGD,0.042681382914443095
2015,BGR,0.0
2016,BGR,0.0
2017,BGR,0.0
2018,BGR,0.0
2015,BHR,2.365669405586135e-05
2016,BHR,2.2739776269943152e-05
2017,BHR,2.3178328263074025e-05
2018,BHR,2.363558229480017e-05
2015,BHS,0.05817616712530005
2016,BHS,0.058210409755617136
2017,BHS,0.05823672553187263
2018,BHS,0.058314337430878764
2015,BIH,0.0
2016,BIH,0.0
2017,BIH,0.0
2018,BIH,0.0
2015,BLR,0.0
2016,BLR,0.0
2017,BLR,0.0
2018,BLR,0.0
2015,BLZ,0.01613226788051107
2016,BLZ,0.0159539741567799
2017,BLZ,0.015848093225909788
2018,BLZ,0.015740336214148016
2015,BMU,9.170455270462796e-05
2016,BMU,9.182783233176163e-05
2017,BMU,9.17834674258515e-05
2018,BMU,9.225107787721316e-05
2015,BOL,0.0
2016,BOL,0.0
2017,BOL,0.0
2018,BOL,0.0
2015,BRA,0.0008348064328907757
2016,BRA,0.0008330809131839865
2017,BRA,0.0008307366187571009
2018,BRA,0.0008290748277650099
2015,BRB,0.0
2016,BRB,0.0
2017,BRB,0.0
2018,BRB,0.0
2015,BRN,0.024720856013907635
2016,BRN,0.02469845583778808
2017,BRN,0.024699409796029047
2018,BRN,0.024717719077113995
2015,BTN,0.0
2016,BTN,0.0
2017,BTN,0.0
2018,BTN,0.0
2015,BWA,0.0
2016,BWA,0.0
2017,BWA,0.0
2018,BWA,0.0
2015,CAF,0.0
2016,CAF,0.0
2017,CAF,0.0
2018,CAF,0.0
2015,CAN,0.0
2016,CAN,0.0
2017,CAN,0.0
