TIMESERIES,UNIT,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Algeria.Coal (tonne).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30000.00,30000.00,30000.00,30000.00,30000.00,40000.00,40000.00,40000.00,56000.00,56000.00,56000.00,56000.00,56000.00,56000.00,56000.00,56000.00,56000.00,56000.00
Algeria.Coal (tonne).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,398.62,388.50,376.51,387.65,416.32,545.85,550.59,577.28,867.14,770.82,752.79,767.75,722.21,705.56,694.96,556.16,511.70,504.64
Algeria.Coal (tonne).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1835.98,1886.79,1891.55,1780.42,1630.43,1932.37,1800.99,1737.62,2149.71,2439.02,2126.85,1836.07,1739.67,1768.79,1802.38,1953.94,1961.47,..
Algeria.Coal (tonne).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100000.00,100000.00,100000.00,100000.00,100000.00,100000.00,100000.00,100000.00,100000.00,100000.00,100000.00,100000.00,100000.00,100000.00,100000.00,100000.00,100000.00,100000.00
Algeria.Coal (tonne).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1328.73,1295.00,1255.02,1292.16,1387.73,1364.63,1376.46,1443.21,1548.47,1376.46,1344.27,1370.99,1289.66,1259.92,1241.00,993.15,913.74,901.14
Algeria.Coal (tonne).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6119.95,6289.31,6305.17,5934.72,5434.78,4830.92,4502.48,4344.05,3838.77,4355.40,3797.95,3278.69,3106.55,3158.56,3218.54,3489.18,3502.63,..
Algeria.Fuel oil (tonnes).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9479.17,9479.17,9479.17,9479.17,9479.17,9479.17,9479.17,9895.83,10281.25,10281.25,10281.25,10281.25,10281.25,10281.25,10281.25,10416.67,10416.67,10416.67,10416.67,10416.67,10416.67,10416.67,10416.67,10416.67,10416.67,10416.67,15625.00,15625.00
Algeria.Fuel oil (tonnes).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1057.94,513.22,434.03,405.96,270.37,198.89,173.13,171.47,175.03,154.44,136.61,133.14,129.03,132.85,142.68,142.15,143.38,150.33,161.30,143.38,140.03,142.81,134.34,131.24,129.27,103.45,142.77,140.80
Algeria.Fuel oil (tonnes).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2925.67,1966.63,1648.55,1485.76,1174.62,932.99,765.68,760.05,823.82,754.86,629.21,646.62,648.25,610.16,558.76,503.22,469.01,452.51,399.87,453.69,395.62,341.53,323.60,329.02,335.26,363.46,547.28,..
Algeria.Liquified Petroleum Gas (litre).Commercial,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.82,6.76,6.76,6.76,6.76,6.76,6.76,6.76,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62
Algeria.Liquified Petroleum Gas (litre).Commercial,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.60,0.29,0.25,0.23,0.15,0.11,0.10,0.10,0.12,0.10,0.09,0.09,0.09,0.09,0.09,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.09,0.08,0.08
Algeria.Liquified Petroleum Gas (litre).Commercial,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.66,1.12,0.94,0.84,0.67,0.53,0.44,0.45,0.54,0.50,0.41,0.42,0.43,0.40,0.37,0.42,0.39,0.37,0.33,0.38,0.33,0.28,0.27,0.27,0.28,0.30,0.30,..
Algeria.Liquified Petroleum Gas (litre).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,6.40,6.40,6.40,6.40,6.40,6.40,6.40,6.40,6.40,6.40,6.40,6.40,6.40
Algeria.Liquified Petroleum Gas (litre).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.45,0.22,0.18,0.17,0.11,0.08,0.07,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.09,0.09,0.09,0.10,0.09,0.09,0.09,0.08,0.08,0.08,0.06,0.06,0.06
Algeria.Liquified Petroleum Gas (litre).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.24,0.83,0.70,0.63,0.50,0.39,0.32,0.34,0.36,0.33,0.27,0.28,0.28,0.26,0.24,0.31,0.29,0.28,0.25,0.28,0.24,0.21,0.20,0.20,0.21,0.22,0.22,..
Algeria.Liquified Petroleum Gas (litre).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.82,6.76,6.76,6.76,6.76,6.76,6.76,6.76,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62
Algeria.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.60,0.29,0.25,0.23,0.15,0.11,0.10,0.10,0.12,0.10,0.09,0.09,0.09,0.09,0.09,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.09,0.08,0.08
Algeria.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.66,1.12,0.94,0.84,0.67,0.53,0.44,0.45,0.54,0.50,0.41,0.42,0.43,0.40,0.37,0.42,0.39,0.37,0.33,0.38,0.33,0.28,0.27,0.27,0.28,0.30,0.30,..
Algeria.Liquified Petroleum Gas (litre).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.30,6.30,6.30,6.30,6.30,6.30,6.30,7.00,7.20,7.20,7.20,7.20,7.20,7.20,7.20,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
Algeria.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.70,0.34,0.29,0.27,0.18,0.13,0.12,0.12,0.12,0.11,0.10,0.09,0.09,0.09,0.10,0.12,0.12,0.13,0.14,0.12,0.12,0.12,0.12,0.11,0.11,0.09,0.08,0.08
Algeria.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.94,1.31,1.10,0.99,0.78,0.62,0.51,0.54,0.58,0.53,0.44,0.45,0.45,0.43,0.39,0.44,0.41,0.39,0.34,0.39,0.34,0.29,0.28,0.28,0.29,0.31,0.32,..
Algeria.Natural gas (MWh).Commercial,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.64,22.10,221.02,40.51,49.45,93.05,130.81,187.31,217.67,216.72,242.52,237.36,238.22,245.10,258.86,259.72,285.52,298.42,284.66,283.80,282.34,283.89,284.40,284.66,277.78,278.12,322.50,..
Algeria.Natural gas (MWh).Commercial,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.20,1.20,10.12,1.74,1.41,1.95,2.39,3.25,3.71,3.26,3.22,3.07,2.99,3.17,3.59,3.54,3.93,4.31,4.41,3.91,3.79,3.89,3.67,3.59,3.45,2.76,2.95,..
Algeria.Natural gas (MWh).Commercial,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.84,4.59,38.44,6.35,6.13,9.16,10.57,14.39,17.44,15.91,14.84,14.93,15.02,14.55,14.07,12.55,12.86,12.96,10.93,12.36,10.72,9.31,8.84,8.99,8.94,9.70,11.30,..
Algeria.Natural gas (MWh).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.15,15.39,153.94,52.98,56.59,69.66,85.83,104.15,112.06,120.40,129.00,136.74,135.88,135.88,132.44,133.30,141.04,140.18,141.04,142.76,140.87,141.13,141.38,141.04,139.32,139.41,186.62,..
Algeria.Natural gas (MWh).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.13,0.83,7.05,2.27,1.61,1.46,1.57,1.80,1.91,1.81,1.71,1.77,1.71,1.76,1.84,1.82,1.94,2.02,2.18,1.97,1.89,1.94,1.82,1.78,1.73,1.39,1.71,..
Algeria.Natural gas (MWh).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.13,3.19,26.77,8.30,7.01,6.86,6.93,8.00,8.98,8.84,7.89,8.60,8.57,8.06,7.20,6.44,6.35,6.09,5.41,6.22,5.35,4.63,4.39,4.46,4.48,4.86,6.54,..
Algeria.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.00,31.30,31.30,58.65,67.08,114.64,144.82,189.20,217.49,215.86,228.76,239.08,237.36,245.96,259.72,254.56,264.88,272.62,273.48,274.34,274.94,275.37,275.63,275.20,276.06,276.06,301.00,..
Algeria.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.01,1.70,1.43,2.51,1.91,2.40,2.65,3.28,3.70,3.24,3.04,3.10,2.98,3.18,3.60,3.47,3.65,3.93,4.24,3.78,3.70,3.77,3.56,3.47,3.43,2.74,2.75,..
Algeria.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.34,6.50,5.44,9.19,8.31,11.28,11.70,14.53,17.43,15.85,14.00,15.04,14.97,14.60,14.12,12.30,11.93,11.84,10.50,11.95,10.44,9.03,8.56,8.69,8.88,9.63,10.54,..
Argentina.Fuel oil (tonnes).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,923.51,1078.52,1392.68,1281.19,1648.71,1979.81,2332.93,2857.07,4598.73,5341.78,8338.71,6946.40
Argentina.Fuel oil (tonnes).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,302.79,347.91,443.53,345.33,422.75,481.71,513.86,523.27,569.15,578.74,564.95,419.47
Argentina.Fuel oil (tonnes).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,776.06,810.92,865.02,696.30,749.41,744.29,729.04,732.58,853.20,805.70,905.40,..
Argentina.Kerosene (1000 litres).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1360.92,1452.02,1969.36,2435.89,3243.01,3712.28,4383.73,5678.19,8646.81,10334.55,14160.10,17681.30
Argentina.Kerosene (1000 litres).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,446.20,468.39,627.18,656.57,831.54,903.23,965.58,1039.96,1070.15,1119.67,959.36,1067.71
Argentina.Kerosene (1000 litres).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1143.63,1091.74,1223.20,1323.85,1474.10,1395.59,1369.92,1455.95,1604.23,1558.76,1537.47,..
Argentina.Natural gas (MWh).Electricity Generation,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.25,57.36,76.76,97.37,226.90,293.74
Argentina.Natural gas (MWh).Electricity Generation,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.63,10.51,9.50,10.55,15.37,17.74
Argentina.Natural gas (MWh).Electricity Generation,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.08,14.71,14.24,14.69,24.64,..
Argentina.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.14,19.14,19.16,19.13,19.10,19.11,19.11,19.16,29.37,33.11,185.83,233.86
Argentina.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.28,6.17,6.10,5.16,4.90,4.65,4.21,3.51,3.63,3.59,12.59,14.12
Argentina.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.08,14.39,11.90,10.40,8.68,7.18,5.97,4.91,5.45,4.99,20.18,..
Argentina.Natural gas (MWh).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.56,73.41,82.10,93.01,107.71,124.26,154.68,189.81,257.58,320.82,675.12,..
Argentina.Natural gas (MWh).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.46,23.68,26.15,25.07,27.62,30.23,34.07,34.76,31.88,34.76,45.74,..
Argentina.Natural gas (MWh).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.13,55.20,50.99,50.55,48.96,46.72,48.34,48.67,47.79,48.39,73.30,..
Armenia.Natural gas (MWh).Electricity Generation,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9006.63,9729.97,10369.80,7013.61,8004.53,7156.67,..
