Year,iso_code3,cost_enfu_fuel_coke_usd_per_tonne
2021,ABW,187.7075
2022,ABW,187.7075
2023,ABW,187.7075
2024,ABW,187.7075
2025,ABW,187.7075
2026,ABW,187.7075
2027,ABW,187.7075
2028,ABW,187.7075
2029,ABW,187.7075
2030,ABW,187.7075
2031,ABW,187.7075
2032,ABW,187.7075
2033,ABW,187.7075
2034,ABW,187.7075
2035,ABW,187.7075
2036,ABW,187.7075
2037,ABW,187.7075
2038,ABW,187.7075
2039,ABW,187.7075
2040,ABW,187.7075
2041,ABW,187.7075
2042,ABW,187.7075
2043,ABW,187.7075
2044,ABW,187.7075
2045,ABW,187.7075
2046,ABW,187.7075
2047,ABW,187.7075
2048,ABW,187.7075
2049,ABW,187.7075
2050,ABW,187.7075
2021,AFG,187.7075
2022,AFG,187.7075
2023,AFG,187.7075
2024,AFG,187.7075
2025,AFG,187.7075
2026,AFG,187.7075
2027,AFG,187.7075
2028,AFG,187.7075
2029,AFG,187.7075
2030,AFG,187.7075
2031,AFG,187.7075
2032,AFG,187.7075
2033,AFG,187.7075
2034,AFG,187.7075
2035,AFG,187.7075
2036,AFG,187.7075
2037,AFG,187.7075
2038,AFG,187.7075
2039,AFG,187.7075
2040,AFG,187.7075
2041,AFG,187.7075
2042,AFG,187.7075
2043,AFG,187.7075
2044,AFG,187.7075
2045,AFG,187.7075
2046,AFG,187.7075
2047,AFG,187.7075
2048,AFG,187.7075
2049,AFG,187.7075
2050,AFG,187.7075
2021,AGO,187.7075
2022,AGO,187.7075
2023,AGO,187.7075
2024,AGO,187.7075
2025,AGO,187.7075
2026,AGO,187.7075
2027,AGO,187.7075
2028,AGO,187.7075
2029,AGO,187.7075
2030,AGO,187.7075
2031,AGO,187.7075
2032,AGO,187.7075
2033,AGO,187.7075
2034,AGO,187.7075
2035,AGO,187.7075
2036,AGO,187.7075
2037,AGO,187.7075
2038,AGO,187.7075
2039,AGO,187.7075
2040,AGO,187.7075
2041,AGO,187.7075
2042,AGO,187.7075
2043,AGO,187.7075
2044,AGO,187.7075
2045,AGO,187.7075
2046,AGO,187.7075
2047,AGO,187.7075
2048,AGO,187.7075
2049,AGO,187.7075
2050,AGO,187.7075
2021,ALB,187.7075
2022,ALB,187.7075
2023,ALB,187.7075
2024,ALB,187.7075
2025,ALB,187.7075
2026,ALB,187.7075
2027,ALB,187.7075
2028,ALB,187.7075
2029,ALB,187.7075
2030,ALB,187.7075
2031,ALB,187.7075
2032,ALB,187.7075
2033,ALB,187.7075
2034,ALB,187.7075
2035,ALB,187.7075
2036,ALB,187.7075
2037,ALB,187.7075
2038,ALB,187.7075
2039,ALB,187.7075
2040,ALB,187.7075
2041,ALB,187.7075
2042,ALB,187.7075
2043,ALB,187.7075
2044,ALB,187.7075
2045,ALB,187.7075
2046,ALB,187.7075
2047,ALB,187.7075
2048,ALB,187.7075
2049,ALB,187.7075
2050,ALB,187.7075
2021,AND,187.7075
2022,AND,187.7075
2023,AND,187.7075
2024,AND,187.7075
2025,AND,187.7075
2026,AND,187.7075
2027,AND,187.7075
2028,AND,187.7075
2029,AND,187.7075
2030,AND,187.7075
2031,AND,187.7075
2032,AND,187.7075
2033,AND,187.7075
2034,AND,187.7075
2035,AND,187.7075
2036,AND,187.7075
2037,AND,187.7075
2038,AND,187.7075
2039,AND,187.7075
2040,AND,187.7075
2041,AND,187.7075
2042,AND,187.7075
2043,AND,187.7075
2044,AND,187.7075
2045,AND,187.7075
2046,AND,187.7075
2047,AND,187.7075
2048,AND,187.7075
2049,AND,187.7075
2050,AND,187.7075
2021,ARE,187.7075
2022,ARE,187.7075
2023,ARE,187.7075
2024,ARE,187.7075
2025,ARE,187.7075
2026,ARE,187.7075
2027,ARE,187.7075
2028,ARE,187.7075
2029,ARE,187.7075
2030,ARE,187.7075
2031,ARE,187.7075
2032,ARE,187.7075
2033,ARE,187.7075
2034,ARE,187.7075
2035,ARE,187.7075
2036,ARE,187.7075
2037,ARE,187.7075
2038,ARE,187.7075
2039,ARE,187.7075
2040,ARE,187.7075
2041,ARE,187.7075
2042,ARE,187.7075
2043,ARE,187.7075
2044,ARE,187.7075
2045,ARE,187.7075
2046,ARE,187.7075
2047,ARE,187.7075
2048,ARE,187.7075
2049,ARE,187.7075
2050,ARE,187.7075
2021,ARG,187.7075
2022,ARG,187.7075
2023,ARG,187.7075
2024,ARG,187.7075
2025,ARG,187.7075
2026,ARG,187.7075
2027,ARG,187.7075
2028,ARG,187.7075
2029,ARG,187.7075
2030,ARG,187.7075
2031,ARG,187.7075
2032,ARG,187.7075
2033,ARG,187.7075
2034,ARG,187.7075
2035,ARG,187.7075
2036,ARG,187.7075
2037,ARG,187.7075
2038,ARG,187.7075
2039,ARG,187.7075
2040,ARG,187.7075
2041,ARG,187.7075
2042,ARG,187.7075
2043,ARG,187.7075
2044,ARG,187.7075
2045,ARG,187.7075
2046,ARG,187.7075
2047,ARG,187.7075
2048,ARG,187.7075
2049,ARG,187.7075
2050,ARG,187.7075
2021,ARM,187.7075
2022,ARM,187.7075
2023,ARM,187.7075
2024,ARM,187.7075
2025,ARM,187.7075
2026,ARM,187.7075
2027,ARM,187.7075
2028,ARM,187.7075
2029,ARM,187.7075
2030,ARM,187.7075
2031,ARM,187.7075
2032,ARM,187.7075
2033,ARM,187.7075
2034,ARM,187.7075
2035,ARM,187.7075
2036,ARM,187.7075
2037,ARM,187.7075
2038,ARM,187.7075
2039,ARM,187.7075
2040,ARM,187.7075
2041,ARM,187.7075
2042,ARM,187.7075
2043,ARM,187.7075
2044,ARM,187.7075
2045,ARM,187.7075
2046,ARM,187.7075
2047,ARM,187.7075
2048,ARM,187.7075
2049,ARM,187.7075
2050,ARM,187.7075
2021,ASM,187.7075
2022,ASM,187.7075
2023,ASM,187.7075
2024,ASM,187.7075
2025,ASM,187.7075
2026,ASM,187.7075
2027,ASM,187.7075
2028,ASM,187.7075
2029,ASM,187.7075
2030,ASM,187.7075
2031,ASM,187.7075
2032,ASM,187.7075
2033,ASM,187.7075
2034,ASM,187.7075
2035,ASM,187.7075
2036,ASM,187.7075
2037,ASM,187.7075
2038,ASM,187.7075
2039,ASM,187.7075
2040,ASM,187.7075
2041,ASM,187.7075
2042,ASM,187.7075
2043,ASM,187.7075
2044,ASM,187.7075
2045,ASM,187.7075
2046,ASM,187.7075
2047,ASM,187.7075
2048,ASM,187.7075
2049,ASM,187.7075
2050,ASM,187.7075
2021,ATG,187.7075
2022,ATG,187.7075
2023,ATG,187.7075
2024,ATG,187.7075
2025,ATG,187.7075
2026,ATG,187.7075
2027,ATG,187.7075
2028,ATG,187.7075
2029,ATG,187.7075
2030,ATG,187.7075
2031,ATG,187.7075
2032,ATG,187.7075
2033,ATG,187.7075
2034,ATG,187.7075
2035,ATG,187.7075
2036,ATG,187.7075
2037,ATG,187.7075
2038,ATG,187.7075
2039,ATG,187.7075
2040,ATG,187.7075
2041,ATG,187.7075
2042,ATG,187.7075
2043,ATG,187.7075
2044,ATG,187.7075
2045,ATG,187.7075
2046,ATG,187.7075
2047,ATG,187.7075
2048,ATG,187.7075
2049,ATG,187.7075
2050,ATG,187.7075
2021,AUS,187.7075
2022,AUS,187.7075
2023,AUS,187.7075
2024,AUS,187.7075
2025,AUS,187.7075
2026,AUS,187.7075
2027,AUS,187.7075
2028,AUS,187.7075
2029,AUS,187.7075
2030,AUS,187.7075
2031,AUS,187.7075
2032,AUS,187.7075
2033,AUS,187.7075
2034,AUS,187.7075
2035,AUS,187.7075
2036,AUS,187.7075
2037,AUS,187.7075
2038,AUS,187.7075
2039,AUS,187.7075
2040,AUS,187.7075
2041,AUS,187.7075
2042,AUS,187.7075
2043,AUS,187.7075
2044,AUS,187.7075
2045,AUS,187.7075
2046,AUS,187.7075
2047,AUS,187.7075
2048,AUS,187.7075
