,Nation,iso_code3,Year,frac_scoe_heat_energy_commercial_municipal_hydrocarbon_gas_liquids
9,Afghanistan,AFG,2020,0.00924313093639366
10,Afghanistan,AFG,2021,0.00924313093639366
11,Afghanistan,AFG,2022,0.00924313093639366
12,Afghanistan,AFG,2023,0.00924313093639366
13,Afghanistan,AFG,2024,0.00924313093639366
14,Afghanistan,AFG,2025,0.00924313093639366
15,Afghanistan,AFG,2026,0.00924313093639366
16,Afghanistan,AFG,2027,0.00924313093639366
17,Afghanistan,AFG,2028,0.00924313093639366
18,Afghanistan,AFG,2029,0.00924313093639366
19,Afghanistan,AFG,2030,0.00924313093639366
20,Afghanistan,AFG,2031,0.00924313093639366
21,Afghanistan,AFG,2032,0.00924313093639366
22,Afghanistan,AFG,2033,0.00924313093639366
23,Afghanistan,AFG,2034,0.00924313093639366
24,Afghanistan,AFG,2035,0.00924313093639366
25,Afghanistan,AFG,2036,0.00924313093639366
26,Afghanistan,AFG,2037,0.00924313093639366
27,Afghanistan,AFG,2038,0.00924313093639366
28,Afghanistan,AFG,2039,0.00924313093639366
29,Afghanistan,AFG,2040,0.00924313093639366
30,Afghanistan,AFG,2041,0.00924313093639366
31,Afghanistan,AFG,2042,0.00924313093639366
32,Afghanistan,AFG,2043,0.00924313093639366
33,Afghanistan,AFG,2044,0.00924313093639366
34,Afghanistan,AFG,2045,0.00924313093639366
35,Afghanistan,AFG,2046,0.00924313093639366
36,Afghanistan,AFG,2047,0.00924313093639366
37,Afghanistan,AFG,2048,0.00924313093639366
38,Afghanistan,AFG,2049,0.00924313093639366
39,Afghanistan,AFG,2050,0.00924313093639366
49,Albania,ALB,2020,0.049706281066425655
50,Albania,ALB,2021,0.049706281066425655
51,Albania,ALB,2022,0.049706281066425655
52,Albania,ALB,2023,0.049706281066425655
53,Albania,ALB,2024,0.049706281066425655
54,Albania,ALB,2025,0.049706281066425655
55,Albania,ALB,2026,0.049706281066425655
56,Albania,ALB,2027,0.049706281066425655
57,Albania,ALB,2028,0.049706281066425655
58,Albania,ALB,2029,0.049706281066425655
59,Albania,ALB,2030,0.049706281066425655
60,Albania,ALB,2031,0.049706281066425655
61,Albania,ALB,2032,0.049706281066425655
62,Albania,ALB,2033,0.049706281066425655
63,Albania,ALB,2034,0.049706281066425655
64,Albania,ALB,2035,0.049706281066425655
65,Albania,ALB,2036,0.049706281066425655
66,Albania,ALB,2037,0.049706281066425655
67,Albania,ALB,2038,0.049706281066425655
68,Albania,ALB,2039,0.049706281066425655
69,Albania,ALB,2040,0.049706281066425655
70,Albania,ALB,2041,0.049706281066425655
71,Albania,ALB,2042,0.049706281066425655
72,Albania,ALB,2043,0.049706281066425655
73,Albania,ALB,2044,0.049706281066425655
74,Albania,ALB,2045,0.049706281066425655
75,Albania,ALB,2046,0.049706281066425655
76,Albania,ALB,2047,0.049706281066425655
77,Albania,ALB,2048,0.049706281066425655
78,Albania,ALB,2049,0.049706281066425655
79,Albania,ALB,2050,0.049706281066425655
89,Algeria,DZA,2020,0.00924313093639366
90,Algeria,DZA,2021,0.00924313093639366
91,Algeria,DZA,2022,0.00924313093639366
92,Algeria,DZA,2023,0.00924313093639366
93,Algeria,DZA,2024,0.00924313093639366
94,Algeria,DZA,2025,0.00924313093639366
95,Algeria,DZA,2026,0.00924313093639366
96,Algeria,DZA,2027,0.00924313093639366
97,Algeria,DZA,2028,0.00924313093639366
98,Algeria,DZA,2029,0.00924313093639366
99,Algeria,DZA,2030,0.00924313093639366
100,Algeria,DZA,2031,0.00924313093639366
101,Algeria,DZA,2032,0.00924313093639366
102,Algeria,DZA,2033,0.00924313093639366
103,Algeria,DZA,2034,0.00924313093639366
104,Algeria,DZA,2035,0.00924313093639366
105,Algeria,DZA,2036,0.00924313093639366
106,Algeria,DZA,2037,0.00924313093639366
107,Algeria,DZA,2038,0.00924313093639366
108,Algeria,DZA,2039,0.00924313093639366
109,Algeria,DZA,2040,0.00924313093639366
110,Algeria,DZA,2041,0.00924313093639366
