"year","location_code","prodinit_ippu_mining_tonne"
2010,"ABW",56946.85645216
2011,"ABW",1052.08761080316
2012,"ABW",749.746553393492
2013,"ABW",401.177622321458
2014,"ABW",1537.6551177799
2015,"ABW",192.992705852846
2016,"ABW",4590.76027697739
2017,"ABW",1236.48019276422
2018,"ABW",253.068401537661
2019,"ABW",844.854845378019
2020,"ABW",523.620945100255
2010,"AGO",108543.37306155
2011,"AGO",88579.3175996547
2012,"AGO",136676.032277945
2013,"AGO",248397.350688081
2014,"AGO",167995.897420274
2015,"AGO",119138.267901251
2016,"AGO",150540.440373683
2017,"AGO",217857.027370229
2018,"AGO",289672.397479896
2019,"AGO",119257.017401437
2020,"AGO",176023.282824967
2010,"ALB",4371776.93336477
2011,"ALB",3932372.50629497
2012,"ALB",4425009.39264607
2013,"ALB",6020565.35989931
2014,"ALB",4675214.99359438
2015,"ALB",5511528.32848967
2016,"ALB",4809849.17542485
2017,"ALB",5104769.34551156
2018,"ALB",2671530.24885117
2019,"ALB",2322695.42669109
2020,"ALB",2468907.3162119
2010,"ARE",5957332.42479509
2011,"ARE",9589973.3333427
2012,"ARE",10693748.1663864
2013,"ARE",12814436.5083372
2014,"ARE",12945173.101613
2015,"ARE",12638981.5454622
2016,"ARE",9642418.21972308
2017,"ARE",12212535.0330292
2018,"ARE",15736060.1359716
2019,"ARE",17234998.6099161
2020,"ARE",9968922.52677032
2010,"ARG",131757482.966583
2011,"ARG",145113131.352573
2012,"ARG",164228815.362361
2013,"ARG",140998521.885158
2014,"ARG",154218507.726689
2015,"ARG",136611059.512769
2016,"ARG",124933183.811049
2017,"ARG",101152075.79222
2018,"ARG",64994541.466807
2019,"ARG",36709011.9973505
2020,"ARG",24675964.3618938
2010,"ARM",3717869.51626428
2011,"ARM",4766855.96996554
2012,"ARM",3695343.27690268
2013,"ARM",6633394.49261608
2014,"ARM",11024546.8004195
2015,"ARM",14542811.0593252
2016,"ARM",18619397.8088228
2017,"ARM",17621215.9584465
2018,"ARM",16590862.8068393
2019,"ARM",17730552.8571486
2020,"ARM",27199637.5614322
2010,"ASM",0
2011,"ASM",52.3803390150108
2012,"ASM",0
2013,"ASM",0
2014,"ASM",0
2015,"ASM",0
2016,"ASM",46690.8052322943
2017,"ASM",0
2018,"ASM",0
2019,"ASM",0
2020,"ASM",0
2010,"ATG",12035.8783145835
2011,"ATG",4373.5925432478
2012,"ATG",3737.9230323184
2013,"ATG",309.862715191131
2014,"ATG",5532.79352965292
2015,"ATG",162.628731281214
2016,"ATG",57.2805306654148
2017,"ATG",256.312101760323
2018,"ATG",278.527472702597
2019,"ATG",99.1129374679048
2020,"ATG",0
2010,"AUS",2366201575.49358
2011,"AUS",2636107642.61241
2012,"AUS",2681231396.64536
2013,"AUS",2970379570.93179
2014,"AUS",2924562858.64772
2015,"AUS",2788648333.70174
2016,"AUS",2696617393.50365
2017,"AUS",2459129658.29417
2018,"AUS",2439657462.24849
2019,"AUS",2468374282.90971
2020,"AUS",2457094615.84197
2010,"AUT",21075075.0576735
2011,"AUT",23888129.2558472
2012,"AUT",32845229.4416923
2013,"AUT",26198348.7345709
