Year,iso_code3,frac_scoe_heat_energy_other_se_hydrocarbon_gas_liquids
2011,ABW,0.02696012052215282
2012,ABW,0.02696012052215282
2013,ABW,0.02696012052215282
2014,ABW,0.02696012052215282
2015,ABW,0.02696012052215282
2016,ABW,0.02696012052215282
2017,ABW,0.02696012052215282
2018,ABW,0.02696012052215282
2019,ABW,0.02696012052215282
2011,AFG,0.02696012052215282
2012,AFG,0.02696012052215282
2013,AFG,0.02696012052215282
2014,AFG,0.02696012052215282
2015,AFG,0.02696012052215282
2016,AFG,0.02696012052215282
2017,AFG,0.02696012052215282
2018,AFG,0.02696012052215282
2019,AFG,0.02696012052215282
2011,AGO,0.02696012052215282
2012,AGO,0.02696012052215282
2013,AGO,0.02696012052215282
2014,AGO,0.02696012052215282
2015,AGO,0.02696012052215282
2016,AGO,0.02696012052215282
2017,AGO,0.02696012052215282
2018,AGO,0.02696012052215282
2019,AGO,0.02696012052215282
2011,ALB,0.020432803937958502
2012,ALB,0.02047356239985751
2013,ALB,0.019171079057878303
2014,ALB,0.0195412064570943
2015,ALB,0.021613209993948303
2016,ALB,0.02354582715618731
2017,ALB,0.0279379956741167
2018,ALB,0.02892524631655061
2019,ALB,0.030518819938962303
2011,ARE,0.02696012052215281
2012,ARE,0.02696012052215281
2013,ARE,0.02696012052215281
2014,ARE,0.02696012052215281
2015,ARE,0.02696012052215281
2016,ARE,0.02696012052215281
2017,ARE,0.02696012052215281
2018,ARE,0.02696012052215281
2019,ARE,0.02696012052215281
2011,ARG,0.0
2012,ARG,0.0
2013,ARG,0.0
2014,ARG,0.0
2015,ARG,0.0
2016,ARG,0.0
2017,ARG,0.0
2018,ARG,0.0
2019,ARG,0.0
2011,ARM,0.02696012052215282
2012,ARM,0.02696012052215282
2013,ARM,0.02696012052215282
2014,ARM,0.02696012052215282
2015,ARM,0.02696012052215282
2016,ARM,0.02696012052215282
2017,ARM,0.02696012052215282
2018,ARM,0.02696012052215282
2019,ARM,0.02696012052215282
2011,AUS,0.05704010619213823
2012,AUS,0.05967668832149871
2013,AUS,0.06253323495100804
2014,AUS,0.0632502005993417
2015,AUS,0.06927760874761472
2016,AUS,0.06915260178697331
2017,AUS,0.07320891029500301
2018,AUS,0.07685057056334352
2019,AUS,0.07996075157567382
2011,AUT,0.02007024586051171
2012,AUT,0.020608309890620912
2013,AUT,0.021804866112004412
2014,AUT,0.02415375590904381
2015,AUT,0.024643954847105905
2016,AUT,0.024306554800433807
2017,AUT,0.022414218276615203
2018,AUT,0.02225366298170301
2019,AUT,0.022173676611224605
2011,AZE,0.0
2012,AZE,0.0
2013,AZE,0.0
2014,AZE,0.0
2015,AZE,0.0
2016,AZE,0.0
2017,AZE,0.0
2018,AZE,0.0
2019,AZE,0.0
2011,BDI,0.02696012052215282
2012,BDI,0.02696012052215282
2013,BDI,0.02696012052215282
2014,BDI,0.02696012052215282
2015,BDI,0.02696012052215282
2016,BDI,0.02696012052215282
2017,BDI,0.02696012052215282
2018,BDI,0.02696012052215282
2019,BDI,0.02696012052215282
2011,BEL,0.002027851620253401
2012,BEL,0.0020345523107954005
2013,BEL,0.002351580325534901
2014,BEL,0.0035540292308921017
2015,BEL,0.003418996225005101
2016,BEL,0.0031852882154953014
2017,BEL,0.003382840362323701
2018,BEL,0.003720943806452501
2019,BEL,0.0038473579589388004
2011,BEN,0.02696012052215282
2012,BEN,0.02696012052215282
2013,BEN,0.02696012052215282
2014,BEN,0.02696012052215282
2015,BEN,0.02696012052215282
2016,BEN,0.02696012052215282
2017,BEN,0.02696012052215282
2018,BEN,0.02696012052215282
2019,BEN,0.02696012052215282
2011,BFA,0.02696012052215282
2012,BFA,0.02696012052215282
2013,BFA,0.02696012052215282
2014,BFA,0.02696012052215282
2015,BFA,0.02696012052215282
2016,BFA,0.02696012052215282
2017,BFA,0.02696012052215282
2018,BFA,0.02696012052215282
2019,BFA,0.02696012052215282
2011,BGD,0.02696012052215282
