,Nation,iso_code3,Year,frac_scoe_heat_energy_residential_kerosene
9,Afghanistan,AFG,2020,0.0005417830232898556
10,Afghanistan,AFG,2021,0.0005417830232898556
11,Afghanistan,AFG,2022,0.0005417830232898556
12,Afghanistan,AFG,2023,0.0005417830232898556
13,Afghanistan,AFG,2024,0.0005417830232898556
14,Afghanistan,AFG,2025,0.0005417830232898556
15,Afghanistan,AFG,2026,0.0005417830232898556
16,Afghanistan,AFG,2027,0.0005417830232898556
17,Afghanistan,AFG,2028,0.0005417830232898556
18,Afghanistan,AFG,2029,0.0005417830232898556
19,Afghanistan,AFG,2030,0.0005417830232898556
20,Afghanistan,AFG,2031,0.0005417830232898556
21,Afghanistan,AFG,2032,0.0005417830232898556
22,Afghanistan,AFG,2033,0.0005417830232898556
23,Afghanistan,AFG,2034,0.0005417830232898556
24,Afghanistan,AFG,2035,0.0005417830232898556
25,Afghanistan,AFG,2036,0.0005417830232898556
26,Afghanistan,AFG,2037,0.0005417830232898556
27,Afghanistan,AFG,2038,0.0005417830232898556
28,Afghanistan,AFG,2039,0.0005417830232898556
29,Afghanistan,AFG,2040,0.0005417830232898556
30,Afghanistan,AFG,2041,0.0005417830232898556
31,Afghanistan,AFG,2042,0.0005417830232898556
32,Afghanistan,AFG,2043,0.0005417830232898556
33,Afghanistan,AFG,2044,0.0005417830232898556
34,Afghanistan,AFG,2045,0.0005417830232898556
35,Afghanistan,AFG,2046,0.0005417830232898556
36,Afghanistan,AFG,2047,0.0005417830232898556
37,Afghanistan,AFG,2048,0.0005417830232898556
38,Afghanistan,AFG,2049,0.0005417830232898556
39,Afghanistan,AFG,2050,0.0005417830232898556
49,Albania,ALB,2020,0.0
50,Albania,ALB,2021,0.0
51,Albania,ALB,2022,0.0
52,Albania,ALB,2023,0.0
53,Albania,ALB,2024,0.0
54,Albania,ALB,2025,0.0
55,Albania,ALB,2026,0.0
56,Albania,ALB,2027,0.0
57,Albania,ALB,2028,0.0
58,Albania,ALB,2029,0.0
59,Albania,ALB,2030,0.0
60,Albania,ALB,2031,0.0
61,Albania,ALB,2032,0.0
62,Albania,ALB,2033,0.0
