,Nation,iso_code3,Year,frac_scoe_heat_energy_commercial_municipal_kerosene
9,Afghanistan,AFG,2020,0.0013757647642424799
10,Afghanistan,AFG,2021,0.0013757647642424799
11,Afghanistan,AFG,2022,0.0013757647642424799
12,Afghanistan,AFG,2023,0.0013757647642424799
13,Afghanistan,AFG,2024,0.0013757647642424799
14,Afghanistan,AFG,2025,0.0013757647642424799
15,Afghanistan,AFG,2026,0.0013757647642424799
16,Afghanistan,AFG,2027,0.0013757647642424799
17,Afghanistan,AFG,2028,0.0013757647642424799
18,Afghanistan,AFG,2029,0.0013757647642424799
19,Afghanistan,AFG,2030,0.0013757647642424799
20,Afghanistan,AFG,2031,0.0013757647642424799
21,Afghanistan,AFG,2032,0.0013757647642424799
22,Afghanistan,AFG,2033,0.0013757647642424799
23,Afghanistan,AFG,2034,0.0013757647642424799
24,Afghanistan,AFG,2035,0.0013757647642424799
25,Afghanistan,AFG,2036,0.0013757647642424799
26,Afghanistan,AFG,2037,0.0013757647642424799
27,Afghanistan,AFG,2038,0.0013757647642424799
28,Afghanistan,AFG,2039,0.0013757647642424799
29,Afghanistan,AFG,2040,0.0013757647642424799
30,Afghanistan,AFG,2041,0.0013757647642424799
31,Afghanistan,AFG,2042,0.0013757647642424799
32,Afghanistan,AFG,2043,0.0013757647642424799
33,Afghanistan,AFG,2044,0.0013757647642424799
34,Afghanistan,AFG,2045,0.0013757647642424799
35,Afghanistan,AFG,2046,0.0013757647642424799
36,Afghanistan,AFG,2047,0.0013757647642424799
37,Afghanistan,AFG,2048,0.0013757647642424799
38,Afghanistan,AFG,2049,0.0013757647642424799
39,Afghanistan,AFG,2050,0.0013757647642424799
49,Albania,ALB,2020,0.009373668512995315
50,Albania,ALB,2021,0.009373668512995315
51,Albania,ALB,2022,0.009373668512995315
52,Albania,ALB,2023,0.009373668512995315
53,Albania,ALB,2024,0.009373668512995315
54,Albania,ALB,2025,0.009373668512995315
55,Albania,ALB,2026,0.009373668512995315
56,Albania,ALB,2027,0.009373668512995315
57,Albania,ALB,2028,0.009373668512995315
58,Albania,ALB,2029,0.009373668512995315
59,Albania,ALB,2030,0.009373668512995315
60,Albania,ALB,2031,0.009373668512995315
61,Albania,ALB,2032,0.009373668512995315
62,Albania,ALB,2033,0.009373668512995315
63,Albania,ALB,2034,0.009373668512995315
64,Albania,ALB,2035,0.009373668512995315
65,Albania,ALB,2036,0.009373668512995315
66,Albania,ALB,2037,0.009373668512995315
67,Albania,ALB,2038,0.009373668512995315
68,Albania,ALB,2039,0.009373668512995315
69,Albania,ALB,2040,0.009373668512995315
70,Albania,ALB,2041,0.009373668512995315
71,Albania,ALB,2042,0.009373668512995315
72,Albania,ALB,2043,0.009373668512995315
73,Albania,ALB,2044,0.009373668512995315
74,Albania,ALB,2045,0.009373668512995315
