"iso_code3","frac_waso_initial_composition_mun_rubber_leather","Year"
"ABW",0.0273124563397225,2010
"ABW",0.0273124563397225,2011
"ABW",0.0273124563397225,2012
"ABW",0.0273124563397225,2013
"ABW",0.0273124563397225,2014
"ABW",0.0273124563397225,2015
"ABW",0.0273124563397225,2016
"ABW",0.0273124563397225,2017
"ABW",0.0273124563397225,2018
"ABW",0.0273124563397225,2019
"ABW",0.0273124563397225,2020
"AFG",0.026248650181423,2010
"AFG",0.026248650181423,2011
"AFG",0.026248650181423,2012
"AFG",0.026248650181423,2013
"AFG",0.026248650181423,2014
"AFG",0.026248650181423,2015
"AFG",0.026248650181423,2016
"AFG",0.026248650181423,2017
"AFG",0.026248650181423,2018
"AFG",0.026248650181423,2019
"AFG",0.026248650181423,2020
"AGO",0.0264509317345383,2010
"AGO",0.0264509317345383,2011
"AGO",0.0264509317345383,2012
"AGO",0.0264509317345383,2013
"AGO",0.0264509317345383,2014
"AGO",0.0264509317345383,2015
"AGO",0.0264509317345383,2016
"AGO",0.0264509317345383,2017
"AGO",0.0264509317345383,2018
"AGO",0.0264509317345383,2019
"AGO",0.0264509317345383,2020
"ALB",0.0266914969944437,2010
"ALB",0.0266914969944437,2011
"ALB",0.0266914969944437,2012
"ALB",0.0266914969944437,2013
"ALB",0.0266914969944437,2014
"ALB",0.0266914969944437,2015
"ALB",0.0266914969944437,2016
"ALB",0.0266914969944437,2017
"ALB",0.0266914969944437,2018
"ALB",0.0266914969944437,2019
"ALB",0.0266914969944437,2020
"AND",0.0275404596068064,2010
"AND",0.0275404596068064,2011
"AND",0.0275404596068064,2012
"AND",0.0275404596068064,2013
"AND",0.0275404596068064,2014
"AND",0.0275404596068064,2015
"AND",0.0275404596068064,2016
"AND",0.0275404596068064,2017
"AND",0.0275404596068064,2018
"AND",0.0275404596068064,2019
"AND",0.0275404596068064,2020
"ARE",0.0281597121714161,2010
"ARE",0.0281597121714161,2011
"ARE",0.0281597121714161,2012
"ARE",0.0281597121714161,2013
"ARE",0.0281597121714161,2014
"ARE",0.0281597121714161,2015
"ARE",0.0281597121714161,2016
"ARE",0.0281597121714161,2017
"ARE",0.0281597121714161,2018
"ARE",0.0281597121714161,2019
"ARE",0.0281597121714161,2020
"ARG",0.0126,2010
"ARG",0.0126,2011
"ARG",0.0126,2012
"ARG",0.0126,2013
"ARG",0.0126,2014
"ARG",0.0126,2015
"ARG",0.0126,2016
"ARG",0.0126,2017
"ARG",0.0126,2018
"ARG",0.0126,2019
"ARG",0.0126,2020
"ARM",0.003,2010
"ARM",0.003,2011
"ARM",0.003,2012
"ARM",0.003,2013
"ARM",0.003,2014
"ARM",0.003,2015
"ARM",0.003,2016
"ARM",0.003,2017
"ARM",0.003,2018
"ARM",0.003,2019
"ARM",0.003,2020
"ASM",0.042,2010
"ASM",0.042,2011
"ASM",0.042,2012
"ASM",0.042,2013
"ASM",0.042,2014
"ASM",0.042,2015
"ASM",0.042,2016
"ASM",0.042,2017
"ASM",0.042,2018
"ASM",0.042,2019
"ASM",0.042,2020
"ATG",0.0268202387962945,2010
"ATG",0.0268202387962945,2011
"ATG",0.0268202387962945,2012
"ATG",0.0268202387962945,2013
"ATG",0.0268202387962945,2014
"ATG",0.0268202387962945,2015
"ATG",0.0268202387962945,2016
"ATG",0.0268202387962945,2017
"ATG",0.0268202387962945,2018
"ATG",0.0268202387962945,2019
"ATG",0.0268202387962945,2020
"AUS",0.0275675246588997,2010
"AUS",0.0275675246588997,2011
"AUS",0.0275675246588997,2012
"AUS",0.0275675246588997,2013
"AUS",0.0275675246588997,2014
"AUS",0.0275675246588997,2015
