Year,prodinit_ippu_plastic_tonne,iso_code3
2021,2543.465,"ABW"
2022,2685.32472127911,"ABW"
2023,2835.09655478362,"ABW"
2024,2993.22179222977,"ABW"
2025,3160.16633802548,"ABW"
2026,3336.42208202349,"ABW"
2027,3522.50834883877,"ABW"
2028,3718.97342800031,"ABW"
2029,3926.39618944603,"ABW"
2030,4145.38778912056,"ABW"
2031,4376.59346970136,"ABW"
2032,4620.69446175897,"ABW"
2033,4878.40999095283,"ABW"
2034,5150.49939717694,"ABW"
2035,5437.76437189911,"ABW"
2036,5741.05132028609,"ABW"
2037,6061.2538550742,"ABW"
2038,6399.31542953375,"ABW"
2039,6756.23211728481,"ABW"
2040,7133.05554715508,"ABW"
2041,7530.89600172703,"ABW"
2042,7950.92568870403,"ABW"
2043,8394.38219473437,"ABW"
2044,8862.57213186947,"ABW"
2045,9356.87498740041,"ABW"
2046,9878.74718841599,"ABW"
2047,10429.7263930583,"ABW"
2048,11011.4360211194,"ABW"
2049,11625.5900373291,"ABW"
2050,12273.9980014256,"ABW"
2021,158921.6,"AGO"
2022,181857.920841179,"AGO"
2023,208104.520547719,"AGO"
2024,238139.154302867,"AGO"
2025,272508.52918921,"AGO"
2026,311838.255654595,"AGO"
2027,356844.235220918,"AGO"
2028,408345.691721179,"AGO"
2029,467280.083266633,"AGO"
2030,534720.166379917,"AGO"
2031,611893.52290501,"AGO"
2032,700204.905133658,"AGO"
2033,801261.805886687,"AGO"
2034,916903.718991005,"AGO"
2035,1049235.62276776,"AGO"
2036,1200666.29601667,"AGO"
2037,1373952.16394544,"AGO"
2038,1572247.47215203,"AGO"
2039,1799161.70195471,"AGO"
2040,2058825.27217546,"AGO"
2041,2355964.72331705,"AGO"
2042,2695988.75267806,"AGO"
2043,3085086.66646469,"AGO"
2044,3530341.04097939,"AGO"
2045,4039856.64360788,"AGO"
2046,4622907.96029584,"AGO"
2047,5290108.01489247,"AGO"
2048,6053601.55330426,"AGO"
2049,6927286.10890428,"AGO"
2050,7927064.97315223,"AGO"
2021,52312,"ALB"
2022,56347.8115252728,"ALB"
2023,60694.9813367424,"ALB"
2024,65377.5303733887,"ALB"
2025,70421.332762416,"ALB"
2026,75854.2587906242,"ALB"
2027,81706.3289058602,"ALB"
2028,88009.879599506,"ALB"
2029,94799.7420866134,"ALB"
2030,102113.434771008,"ALB"
2031,109991.370558858,"ALB"
2032,118477.080166252,"ALB"
2033,127617.452654699,"ALB"
2034,137462.994523673,"ALB"
2035,148068.108791856,"ALB"
2036,159491.395609173,"ALB"
2037,171795.976060721,"ALB"
2038,185049.840951785,"ALB"
2039,199326.22650124,"ALB"
2040,214704.019019263,"ALB"
2041,231268.190805476,"ALB"
2042,249110.269676131,"ALB"
2043,268328.844714798,"ALB"
2044,289030.111041131,"ALB"
2045,311328.456607935,"ALB"
2046,335347.094268963,"ALB"
2047,361218.742610021,"ALB"
2048,389086.359305427,"ALB"
2049,419103.931052087,"ALB"
2050,451437.324446091,"ALB"
2021,943491.1,"ARE"
2022,970837.408322869,"ARE"
2023,998976.326749733,"ARE"
2024,1027930.82842818,"ARE"
2025,1057724.55236344,"ARE"
2026,1088381.82271777,"ARE"
2027,1119927.66866909,"ARE"
2028,1152387.84484535,"ARE"
2029,1185788.85235106,"ARE"
2030,1220157.96040329,"ARE"
2031,1255523.22859478,"ARE"
2032,1291913.52980237,"ARE"
2033,1329358.57375929,"ARE"
2034,1367888.9313108,"ARE"
2035,1407536.05937281,"ARE"
2036,1448332.32661388,"ARE"
2037,1490311.03988161,"ARE"
2038,1533506.47139504,"ARE"
2039,1577953.88672507,"ARE"
2040,1623689.57358597,"ARE"
2041,1670750.8714614,"ARE"
2042,1719176.20208898,"ARE"
2043,1769005.10082864,"ARE"
2044,1820278.24893993,"ARE"
2045,1873037.50679507,"ARE"
2046,1927325.94805446,"ARE"
2047,1983187.89483294,"ARE"
2048,2040668.95388509,"ARE"
2049,2099816.05383956,"ARE"
2050,2160677.48351241,"ARE"
2021,1468061,"ARG"
2022,1450179.12091557,"ARG"
2023,1432515.05403348,"ARG"
2024,1415066.14626816,"ARG"
2025,1397829.77685024,"ARG"
2026,1380803.35693291,"ARG"
2027,1363984.3292031,"ARG"
2028,1347370.16749737,"ARG"
2029,1330958.3764225,"ARG"
2030,1314746.49098068,"ARG"
2031,1298732.07619928,"ARG"
2032,1282912.72676511,"ARG"
2033,1267286.06666318,"ARG"
2034,1251849.74881981,"ARG"
2035,1236601.4547501,"ARG"
2036,1221538.89420972,"ARG"
2037,1206659.8048509,"ARG"
2038,1191961.95188267,"ARG"
2039,1177443.12773517,"ARG"
2040,1163101.15172807,"ARG"
2041,1148933.86974308,"ARG"
2042,1134939.15390037,"ARG"
2043,1121114.902239,"ARG"
2044,1107459.0384012,"ARG"
2045,1093969.51132047,"ARG"
2046,1080644.2949136,"ARG"
2047,1067481.38777628,"ARG"
2048,1054478.81288252,"ARG"
2049,1041634.61728774,"ARG"
2050,1028946.87183541,"ARG"
2021,22096.33,"ARM"
2022,23754.3708889967,"ARM"
2023,25536.8260852374,"ARM"
2024,27453.0312570701,"ARM"
2025,29513.0225927864,"ARM"
2026,31727.5893654913,"ARM"
2027,34108.3304422802,"ARM"
2028,36667.7150336903,"ARM"
2029,39419.1480016057,"ARM"
2030,42377.0400676671,"ARM"
2031,45556.8832899055,"ARM"
2032,48975.3322029112,"ARM"
2033,52650.2910465121,"ARM"
2034,56601.0075398255,"ARM"
2035,60848.1736918264,"ARM"
2036,65414.0341764328,"ARM"
2037,70322.5028397245,"ARM"
2038,75599.2879495075,"ARM"
2039,81272.0268432207,"ARM"
2040,87370.4306794097,"ARM"
2041,93926.4400509078,"ARM"
2042,100974.392274752,"ARM"
2043,108551.201235025,"ARM"
2044,116696.550720545,"ARM"
2045,125453.102270035,"ARM"
2046,134866.718613346,"ARM"
2047,144986.703879032,"ARM"
2048,155866.061826361,"ARM"
2049,167561.773454265,"ARM"
2050,180135.095441218,"ARM"
2021,177.3008,"ASM"
2022,215.349381825834,"ASM"
2023,261.56315286095,"ASM"
2024,317.694354887409,"ASM"
2025,385.871259095055,"ASM"
2026,468.678861632187,"ASM"
2027,569.256896344105,"ASM"
2028,691.418880951444,"ASM"
2029,839.796710424336,"ASM"
2030,1020.01627995615,"ASM"
2031,1238.91079645914,"ASM"
2032,1504.77986650273,"ASM"
2033,1827.70418427511,"ASM"
2034,2219.92775127993,"ASM"
2035,2696.32212001382,"ASM"
2036,3274.9502638922,"ASM"
2037,3977.75145312111,"ASM"
2038,4831.37310427501,"ASM"
2039,5868.18114399699,"ASM"
2040,7127.48719578121,"ASM"
2041,8657.03911986312,"ASM"
2042,10514.8314215423,"ASM"
2043,12771.3041713967,"ASM"
2044,15512.0138116691,"ASM"
