population_gnrl_urban,Nation,Year
38471261.51,argentina,2015
38793803.69,argentina,2016
39116345.86,argentina,2017
39438888.04,argentina,2018
39761430.21,argentina,2019
40083972.38,argentina,2020
40386364.08,argentina,2021
40688755.79,argentina,2022
40991147.49,argentina,2023
41293539.19,argentina,2024
41595930.89,argentina,2025
41872920.24,argentina,2026
42149909.6,argentina,2027
42426898.96,argentina,2028
42703888.31,argentina,2029
42980877.67,argentina,2030
43231907.75,argentina,2031
43482937.83,argentina,2032
43733967.91,argentina,2033
43984998,argentina,2034
44236028.08,argentina,2035
44462965.36,argentina,2036
44689902.63,argentina,2037
44916839.91,argentina,2038
45143777.19,argentina,2039
45370714.47,argentina,2040
45559917.51,argentina,2041
45749120.56,argentina,2042
45938323.6,argentina,2043
46127526.65,argentina,2044
46316729.69,argentina,2045
46471226.04,argentina,2046
46625722.39,argentina,2047
46780218.74,argentina,2048
46934715.09,argentina,2049
47089211.45,argentina,2050
302666.6822,bahamas,2015
306427.1799,bahamas,2016
310187.6776,bahamas,2017
313948.1754,bahamas,2018
317708.6731,bahamas,2019
321469.1708,bahamas,2020
325036.8465,bahamas,2021
328604.5223,bahamas,2022
332172.198,bahamas,2023
335739.8737,bahamas,2024
339307.5494,bahamas,2025
342622.5075,bahamas,2026
345937.4656,bahamas,2027
349252.4238,bahamas,2028
352567.3819,bahamas,2029
355882.34,bahamas,2030
358881.327,bahamas,2031
361880.314,bahamas,2032
364879.301,bahamas,2033
367878.288,bahamas,2034
370877.275,bahamas,2035
373524.5413,bahamas,2036
376171.8076,bahamas,2037
378819.0739,bahamas,2038
381466.3402,bahamas,2039
384113.6065,bahamas,2040
386384.4402,bahamas,2041
388655.2739,bahamas,2042
390926.1076,bahamas,2043
393196.9413,bahamas,2044
395467.775,bahamas,2045
397446.1648,bahamas,2046
399424.5547,bahamas,2047
401402.9445,bahamas,2048
403381.3343,bahamas,2049
405359.7241,bahamas,2050
154283.9648,belize,2015
156988.8122,belize,2016
159693.6596,belize,2017
162398.5071,belize,2018
165103.3545,belize,2019
167808.2019,belize,2020
170048.1204,belize,2021
172288.0389,belize,2022
174527.9573,belize,2023
176767.8758,belize,2024
179007.7943,belize,2025
180992.076,belize,2026
182976.3577,belize,2027
184960.6394,belize,2028
186944.9211,belize,2029
188929.2028,belize,2030
190683.6989,belize,2031
192438.195,belize,2032
194192.6911,belize,2033
195947.1872,belize,2034
197701.6833,belize,2035
199241.4347,belize,2036
200781.1861,belize,2037
202320.9375,belize,2038
203860.6889,belize,2039
205400.4403,belize,2040
206710.6964,belize,2041
208020.9526,belize,2042
209331.2087,belize,2043
210641.4648,belize,2044
211951.721,belize,2045
213030.0303,belize,2046
214108.3397,belize,2047
215186.6491,belize,2048
216264.9585,belize,2049
217343.2679,belize,2050
7281369.896,bolivia,2015
7412665.997,bolivia,2016
7543962.099,bolivia,2017
7675258.2,bolivia,2018
7806554.302,bolivia,2019
7937850.403,bolivia,2020
8072215.022,bolivia,2021
8206579.642,bolivia,2022
8340944.261,bolivia,2023
8475308.881,bolivia,2024
8609673.5,bolivia,2025
8739808.687,bolivia,2026
8869943.873,bolivia,2027
9000079.059,bolivia,2028
9130214.245,bolivia,2029
9260349.431,bolivia,2030
9383474.383,bolivia,2031
9506599.336,bolivia,2032
9629724.288,bolivia,2033
9752849.24,bolivia,2034
9875974.193,bolivia,2035
9991649.771,bolivia,2036
10107325.35,bolivia,2037
10223000.93,bolivia,2038
10338676.5,bolivia,2039
10454352.08,bolivia,2040
10561111.15,bolivia,2041
10667870.21,bolivia,2042
10774629.28,bolivia,2043
10881388.34,bolivia,2044
10988147.41,bolivia,2045
11086188.29,bolivia,2046
11184229.16,bolivia,2047
11282270.04,bolivia,2048
11380310.91,bolivia,2049
11478351.79,bolivia,2050
174241853.7,brazil,2015
176062703.5,brazil,2016
177883553.2,brazil,2017
179704403,brazil,2018
181525252.7,brazil,2019
183346102.5,brazil,2020
185080556.6,brazil,2021
186815010.8,brazil,2022
188549464.9,brazil,2023
190283919.1,brazil,2024
192018373.3,brazil,2025
193558733.9,brazil,2026
195099094.6,brazil,2027
196639455.2,brazil,2028
198179815.9,brazil,2029
199720176.5,brazil,2030
201056726.3,brazil,2031
202393276.2,brazil,2032
203729826,brazil,2033
205066375.8,brazil,2034
206402925.6,brazil,2035
207535591.4,brazil,2036
208668257.1,brazil,2037
209800922.9,brazil,2038
210933588.6,brazil,2039
212066254.4,brazil,2040
212987969.6,brazil,2041
