population_gnrl_rural,Nation,Year
3573833.037,argentina,2015
3556178.993,argentina,2016
3538524.948,argentina,2017
3520870.904,argentina,2018
3503216.86,argentina,2019
3485562.816,argentina,2020
3457040.991,argentina,2021
3428519.166,argentina,2022
3399997.341,argentina,2023
3371475.517,argentina,2024
3342953.692,argentina,2025
3309255.288,argentina,2026
3275556.884,argentina,2027
3241858.48,argentina,2028
3208160.076,argentina,2029
3174461.672,argentina,2030
3136098.59,argentina,2031
3097735.508,argentina,2032
3059372.426,argentina,2033
3021009.344,argentina,2034
2982646.262,argentina,2035
2940279.474,argentina,2036
2897912.685,argentina,2037
2855545.897,argentina,2038
2813179.108,argentina,2039
2770812.32,argentina,2040
2724193.275,argentina,2041
2677574.231,argentina,2042
2630955.186,argentina,2043
2584336.142,argentina,2044
2537717.097,argentina,2045
2487733.999,argentina,2046
2437750.9,argentina,2047
2387767.802,argentina,2048
2337784.703,argentina,2049
2287801.605,argentina,2050
63093.65882,bahamas,2015
63643.54369,bahamas,2016
64193.42857,bahamas,2017
64743.31344,bahamas,2018
65293.19831,bahamas,2019
65843.08318,bahamas,2020
66290.22306,bahamas,2021
66737.36294,bahamas,2022
67184.50283,bahamas,2023
67631.64271,bahamas,2024
68078.78259,bahamas,2025
68448.51128,bahamas,2026
68818.23996,bahamas,2027
69187.96865,bahamas,2028
69557.69733,bahamas,2029
69927.42602,bahamas,2030
70210.98701,bahamas,2031
70494.548,bahamas,2032
70778.10899,bahamas,2033
71061.66998,bahamas,2034
71345.23097,bahamas,2035
71540.03487,bahamas,2036
71734.83876,bahamas,2037
71929.64266,bahamas,2038
72124.44656,bahamas,2039
72319.25045,bahamas,2040
72425.26576,bahamas,2041
72531.28106,bahamas,2042
72637.29637,bahamas,2043
72743.31167,bahamas,2044
72849.32698,bahamas,2045
72886.44456,bahamas,2046
72923.56214,bahamas,2047
72960.67972,bahamas,2048
72997.79731,bahamas,2049
73034.91489,bahamas,2050
185473.7202,belize,2015
187777.4236,belize,2016
190081.127,belize,2017
192384.8303,belize,2018
194688.5337,belize,2019
196992.2371,belize,2020
198904.5988,belize,2021
200816.9605,belize,2022
202729.3223,belize,2023
204641.684,belize,2024
206554.0457,belize,2025
208100.6412,belize,2026
209647.2367,belize,2027
211193.8322,belize,2028
212740.4277,belize,2029
214287.0232,belize,2030
215513.5399,belize,2031
216740.0566,belize,2032
217966.5733,belize,2033
219193.09,belize,2034
220419.6067,belize,2035
221357.3189,belize,2036
222295.0311,belize,2037
223232.7433,belize,2038
224170.4555,belize,2039
225108.1677,belize,2040
225754.6084,belize,2041
226401.049,belize,2042
227047.4897,belize,2043
227693.9304,belize,2044
228340.371,belize,2045
228706.7049,belize,2046
229073.0387,belize,2047
229439.3725,belize,2048
229805.7063,belize,2049
230172.0401,belize,2050
3365464.284,bolivia,2015
3372758.605,bolivia,2016
3380052.925,bolivia,2017
3387347.246,bolivia,2018
3394641.566,bolivia,2019
3401935.887,bolivia,2020
3399894.704,bolivia,2021
3397853.52,bolivia,2022
3395812.337,bolivia,2023
3393771.153,bolivia,2024
3391729.97,bolivia,2025
3381899.145,bolivia,2026
3372068.321,bolivia,2027
3362237.497,bolivia,2028
3352406.673,bolivia,2029
3342575.849,bolivia,2030
3324872.717,bolivia,2031
3307169.584,bolivia,2032
3289466.452,bolivia,2033
3271763.32,bolivia,2034
3254060.187,bolivia,2035
3229362.103,bolivia,2036
3204664.02,bolivia,2037
3179965.936,bolivia,2038
3155267.852,bolivia,2039
3130569.769,bolivia,2040
3099437.041,bolivia,2041
3068304.313,bolivia,2042
3037171.585,bolivia,2043
3006038.857,bolivia,2044
2974906.129,bolivia,2045
2938382.632,bolivia,2046
2901859.135,bolivia,2047
2865335.638,bolivia,2048
2828812.141,bolivia,2049
2792288.644,bolivia,2050
28908261.38,brazil,2015
28605917.91,brazil,2016
28303574.45,brazil,2017
28001230.98,brazil,2018
27698887.51,brazil,2019
27396544.05,brazil,2020
26997623.22,brazil,2021
26598702.4,brazil,2022
26199781.57,brazil,2023
25800860.75,brazil,2024
25401939.93,brazil,2025
24941334.38,brazil,2026
24480728.83,brazil,2027
24020123.29,brazil,2028
23559517.74,brazil,2029
23098912.2,brazil,2030
22586763.57,brazil,2031
22074614.95,brazil,2032
21562466.32,brazil,2033
21050317.7,brazil,2034
20538169.07,brazil,2035
19985403.1,brazil,2036
19432637.14,brazil,2037
