Nation,iso_code3,Year,nemomod_entc_variable_cost_pp_geothermal_mm_usd_per_mwh
Afghanistan,ABW,2021,11.36802586
Afghanistan,ABW,2022,11.10837979
Afghanistan,ABW,2023,10.85466404
Afghanistan,ABW,2024,10.60674317
Afghanistan,ABW,2025,10.36448482
Afghanistan,ABW,2026,10.12775966
Afghanistan,ABW,2027,9.896441312
Afghanistan,ABW,2028,9.67040628
Afghanistan,ABW,2029,9.449533896
Afghanistan,ABW,2030,9.233706243
Afghanistan,ABW,2031,9.022808101
Afghanistan,ABW,2032,8.816726879
Afghanistan,ABW,2033,8.615352559
Afghanistan,ABW,2034,8.418577635
Afghanistan,ABW,2035,8.226297056
Afghanistan,ABW,2036,8.038408171
Afghanistan,ABW,2037,7.854810675
Afghanistan,ABW,2038,7.675406551
Afghanistan,ABW,2039,7.500100023
Afghanistan,ABW,2040,7.328797502
Afghanistan,ABW,2041,7.161407536
Afghanistan,ABW,2042,6.997840761
Afghanistan,ABW,2043,6.838009858
Afghanistan,ABW,2044,6.681829497
Afghanistan,ABW,2045,6.5292163
Afghanistan,ABW,2046,6.380088794
Afghanistan,ABW,2047,6.234367364
Afghanistan,ABW,2048,6.091974217
Afghanistan,ABW,2049,5.952833333
Afghanistan,ABW,2050,5.816870432
Afghanistan,AFG,2021,11.36802586
Afghanistan,AFG,2022,11.10837979
Afghanistan,AFG,2023,10.85466404
Afghanistan,AFG,2024,10.60674317
Afghanistan,AFG,2025,10.36448482
Afghanistan,AFG,2026,10.12775966
Afghanistan,AFG,2027,9.896441312
Afghanistan,AFG,2028,9.67040628
Afghanistan,AFG,2029,9.449533896
Afghanistan,AFG,2030,9.233706243
Afghanistan,AFG,2031,9.022808101
Afghanistan,AFG,2032,8.816726879
Afghanistan,AFG,2033,8.615352559
Afghanistan,AFG,2034,8.418577635
Afghanistan,AFG,2035,8.226297056
Afghanistan,AFG,2036,8.038408171
Afghanistan,AFG,2037,7.854810675
Afghanistan,AFG,2038,7.675406551
Afghanistan,AFG,2039,7.500100023
Afghanistan,AFG,2040,7.328797502
Afghanistan,AFG,2041,7.161407536
Afghanistan,AFG,2042,6.997840761
Afghanistan,AFG,2043,6.838009858
Afghanistan,AFG,2044,6.681829497
Afghanistan,AFG,2045,6.5292163
Afghanistan,AFG,2046,6.380088794
Afghanistan,AFG,2047,6.234367364
Afghanistan,AFG,2048,6.091974217
Afghanistan,AFG,2049,5.952833333
Afghanistan,AFG,2050,5.816870432
Afghanistan,AGO,2021,11.36802586
Afghanistan,AGO,2022,11.10837979
Afghanistan,AGO,2023,10.85466404
Afghanistan,AGO,2024,10.60674317
Afghanistan,AGO,2025,10.36448482
Afghanistan,AGO,2026,10.12775966
Afghanistan,AGO,2027,9.896441312
Afghanistan,AGO,2028,9.67040628
Afghanistan,AGO,2029,9.449533896
Afghanistan,AGO,2030,9.233706243
Afghanistan,AGO,2031,9.022808101
Afghanistan,AGO,2032,8.816726879
Afghanistan,AGO,2033,8.615352559
Afghanistan,AGO,2034,8.418577635
Afghanistan,AGO,2035,8.226297056
Afghanistan,AGO,2036,8.038408171
Afghanistan,AGO,2037,7.854810675
Afghanistan,AGO,2038,7.675406551
Afghanistan,AGO,2039,7.500100023
Afghanistan,AGO,2040,7.328797502
Afghanistan,AGO,2041,7.161407536
Afghanistan,AGO,2042,6.997840761
Afghanistan,AGO,2043,6.838009858
Afghanistan,AGO,2044,6.681829497
Afghanistan,AGO,2045,6.5292163
Afghanistan,AGO,2046,6.380088794
Afghanistan,AGO,2047,6.234367364
Afghanistan,AGO,2048,6.091974217
Afghanistan,AGO,2049,5.952833333
Afghanistan,AGO,2050,5.816870432
Afghanistan,AIA,2021,11.36802586
Afghanistan,AIA,2022,11.10837979
Afghanistan,AIA,2023,10.85466404
Afghanistan,AIA,2024,10.60674317
Afghanistan,AIA,2025,10.36448482
Afghanistan,AIA,2026,10.12775966
Afghanistan,AIA,2027,9.896441312
Afghanistan,AIA,2028,9.67040628
Afghanistan,AIA,2029,9.449533896
Afghanistan,AIA,2030,9.233706243
Afghanistan,AIA,2031,9.022808101
Afghanistan,AIA,2032,8.816726879
Afghanistan,AIA,2033,8.615352559
Afghanistan,AIA,2034,8.418577635
Afghanistan,AIA,2035,8.226297056
Afghanistan,AIA,2036,8.038408171
Afghanistan,AIA,2037,7.854810675
Afghanistan,AIA,2038,7.675406551
Afghanistan,AIA,2039,7.500100023
Afghanistan,AIA,2040,7.328797502
Afghanistan,AIA,2041,7.161407536
Afghanistan,AIA,2042,6.997840761
Afghanistan,AIA,2043,6.838009858
Afghanistan,AIA,2044,6.681829497
Afghanistan,AIA,2045,6.5292163
Afghanistan,AIA,2046,6.380088794
Afghanistan,AIA,2047,6.234367364
Afghanistan,AIA,2048,6.091974217
Afghanistan,AIA,2049,5.952833333
Afghanistan,AIA,2050,5.816870432
Afghanistan,ALA,2021,11.36802586
Afghanistan,ALA,2022,11.10837979
Afghanistan,ALA,2023,10.85466404
Afghanistan,ALA,2024,10.60674317
Afghanistan,ALA,2025,10.36448482
Afghanistan,ALA,2026,10.12775966
Afghanistan,ALA,2027,9.896441312
Afghanistan,ALA,2028,9.67040628
Afghanistan,ALA,2029,9.449533896
Afghanistan,ALA,2030,9.233706243
Afghanistan,ALA,2031,9.022808101
Afghanistan,ALA,2032,8.816726879
Afghanistan,ALA,2033,8.615352559
Afghanistan,ALA,2034,8.418577635
Afghanistan,ALA,2035,8.226297056
Afghanistan,ALA,2036,8.038408171
Afghanistan,ALA,2037,7.854810675
Afghanistan,ALA,2038,7.675406551
Afghanistan,ALA,2039,7.500100023
Afghanistan,ALA,2040,7.328797502
Afghanistan,ALA,2041,7.161407536
Afghanistan,ALA,2042,6.997840761
Afghanistan,ALA,2043,6.838009858
Afghanistan,ALA,2044,6.681829497
Afghanistan,ALA,2045,6.5292163
Afghanistan,ALA,2046,6.380088794
Afghanistan,ALA,2047,6.234367364
Afghanistan,ALA,2048,6.091974217
Afghanistan,ALA,2049,5.952833333
Afghanistan,ALA,2050,5.816870432
Afghanistan,ALB,2021,11.36802586
