iso_code3,Nation,Year,yf_agrc_vegetables_and_vines_tonne_ha
AFG,Afghanistan,2023,11.6743888404
AFG,Afghanistan,2024,11.6743888404
AFG,Afghanistan,2025,11.6743888404
AFG,Afghanistan,2026,11.6743888404
AFG,Afghanistan,2027,11.6743888404
AFG,Afghanistan,2028,11.6743888404
AFG,Afghanistan,2029,11.6743888404
AFG,Afghanistan,2030,11.6743888404
AFG,Afghanistan,2031,11.6743888404
AFG,Afghanistan,2032,11.6743888404
AFG,Afghanistan,2033,11.6743888404
AFG,Afghanistan,2034,11.6743888404
AFG,Afghanistan,2035,11.6743888404
AFG,Afghanistan,2036,11.6743888404
AFG,Afghanistan,2037,11.6743888404
AFG,Afghanistan,2038,11.6743888404
AFG,Afghanistan,2039,11.6743888404
AFG,Afghanistan,2040,11.6743888404
AFG,Afghanistan,2041,11.6743888404
AFG,Afghanistan,2042,11.6743888404
AFG,Afghanistan,2043,11.6743888404
AFG,Afghanistan,2044,11.6743888404
AFG,Afghanistan,2045,11.6743888404
AFG,Afghanistan,2046,11.6743888404
AFG,Afghanistan,2047,11.6743888404
AFG,Afghanistan,2048,11.6743888404
AFG,Afghanistan,2049,11.6743888404
AFG,Afghanistan,2050,11.6743888404
AGO,Angola,2023,29.550709075105264
AGO,Angola,2024,29.550709075105264
AGO,Angola,2025,29.550709075105264
AGO,Angola,2026,29.550709075105264
AGO,Angola,2027,29.550709075105264
AGO,Angola,2028,29.550709075105264
AGO,Angola,2029,29.550709075105264
AGO,Angola,2030,29.550709075105264
AGO,Angola,2031,29.550709075105264
AGO,Angola,2032,29.550709075105264
AGO,Angola,2033,29.550709075105264
AGO,Angola,2034,29.550709075105264
AGO,Angola,2035,29.550709075105264
AGO,Angola,2036,29.550709075105264
AGO,Angola,2037,29.550709075105264
AGO,Angola,2038,29.550709075105264
AGO,Angola,2039,29.550709075105264
AGO,Angola,2040,29.550709075105264
AGO,Angola,2041,29.550709075105264
AGO,Angola,2042,29.550709075105264
AGO,Angola,2043,29.550709075105264
AGO,Angola,2044,29.550709075105264
AGO,Angola,2045,29.550709075105264
AGO,Angola,2046,29.550709075105264
AGO,Angola,2047,29.550709075105264
AGO,Angola,2048,29.550709075105264
AGO,Angola,2049,29.550709075105264
AGO,Angola,2050,29.550709075105264
ALB,Albania,2023,30.205388389
ALB,Albania,2024,30.205388389
ALB,Albania,2025,30.205388389
ALB,Albania,2026,30.205388389
ALB,Albania,2027,30.205388389
ALB,Albania,2028,30.205388389
ALB,Albania,2029,30.205388389
ALB,Albania,2030,30.205388389
ALB,Albania,2031,30.205388389
ALB,Albania,2032,30.205388389
ALB,Albania,2033,30.205388389
ALB,Albania,2034,30.205388389
ALB,Albania,2035,30.205388389
ALB,Albania,2036,30.205388389
ALB,Albania,2037,30.205388389
ALB,Albania,2038,30.205388389
ALB,Albania,2039,30.205388389
ALB,Albania,2040,30.205388389
ALB,Albania,2041,30.205388389
ALB,Albania,2042,30.205388389
ALB,Albania,2043,30.205388389
ALB,Albania,2044,30.205388389
ALB,Albania,2045,30.205388389
ALB,Albania,2046,30.205388389
ALB,Albania,2047,30.205388389
ALB,Albania,2048,30.205388389
ALB,Albania,2049,30.205388389
ALB,Albania,2050,30.205388389
ARE,United Arab Emirates,2023,15.883641461285714
ARE,United Arab Emirates,2024,15.883641461285714
ARE,United Arab Emirates,2025,15.883641461285714
ARE,United Arab Emirates,2026,15.883641461285714
ARE,United Arab Emirates,2027,15.883641461285714
ARE,United Arab Emirates,2028,15.883641461285714
ARE,United Arab Emirates,2029,15.883641461285714
ARE,United Arab Emirates,2030,15.883641461285714
ARE,United Arab Emirates,2031,15.883641461285714
ARE,United Arab Emirates,2032,15.883641461285714
ARE,United Arab Emirates,2033,15.883641461285714
ARE,United Arab Emirates,2034,15.883641461285714
ARE,United Arab Emirates,2035,15.883641461285714
ARE,United Arab Emirates,2036,15.883641461285714
ARE,United Arab Emirates,2037,15.883641461285714
ARE,United Arab Emirates,2038,15.883641461285714
ARE,United Arab Emirates,2039,15.883641461285714
ARE,United Arab Emirates,2040,15.883641461285714
ARE,United Arab Emirates,2041,15.883641461285714
ARE,United Arab Emirates,2042,15.883641461285714
ARE,United Arab Emirates,2043,15.883641461285714
ARE,United Arab Emirates,2044,15.883641461285714
ARE,United Arab Emirates,2045,15.883641461285714
ARE,United Arab Emirates,2046,15.883641461285714
ARE,United Arab Emirates,2047,15.883641461285714
ARE,United Arab Emirates,2048,15.883641461285714
ARE,United Arab Emirates,2049,15.883641461285714
ARE,United Arab Emirates,2050,15.883641461285714
ARG,Argentina,2023,4.6437564525
ARG,Argentina,2024,4.6437564525
ARG,Argentina,2025,4.6437564525
ARG,Argentina,2026,4.6437564525
ARG,Argentina,2027,4.6437564525
ARG,Argentina,2028,4.6437564525
ARG,Argentina,2029,4.6437564525
ARG,Argentina,2030,4.6437564525
ARG,Argentina,2031,4.6437564525
ARG,Argentina,2032,4.6437564525
ARG,Argentina,2033,4.6437564525
ARG,Argentina,2034,4.6437564525
ARG,Argentina,2035,4.6437564525
ARG,Argentina,2036,4.6437564525
ARG,Argentina,2037,4.6437564525
ARG,Argentina,2038,4.6437564525
ARG,Argentina,2039,4.6437564525
ARG,Argentina,2040,4.6437564525
ARG,Argentina,2041,4.6437564525
ARG,Argentina,2042,4.6437564525
ARG,Argentina,2043,4.6437564525
ARG,Argentina,2044,4.6437564525
ARG,Argentina,2045,4.6437564525
ARG,Argentina,2046,4.6437564525
ARG,Argentina,2047,4.6437564525
ARG,Argentina,2048,4.6437564525
ARG,Argentina,2049,4.6437564525
ARG,Argentina,2050,4.6437564525
ARM,Armenia,2023,21.270984745214285
ARM,Armenia,2024,21.270984745214285
ARM,Armenia,2025,21.270984745214285
ARM,Armenia,2026,21.270984745214285
ARM,Armenia,2027,21.270984745214285
ARM,Armenia,2028,21.270984745214285
ARM,Armenia,2029,21.270984745214285
ARM,Armenia,2030,21.270984745214285
ARM,Armenia,2031,21.270984745214285
ARM,Armenia,2032,21.270984745214285
ARM,Armenia,2033,21.270984745214285
ARM,Armenia,2034,21.270984745214285
ARM,Armenia,2035,21.270984745214285
ARM,Armenia,2036,21.270984745214285
ARM,Armenia,2037,21.270984745214285
ARM,Armenia,2038,21.270984745214285
ARM,Armenia,2039,21.270984745214285
ARM,Armenia,2040,21.270984745214285
ARM,Armenia,2041,21.270984745214285
ARM,Armenia,2042,21.270984745214285
ARM,Armenia,2043,21.270984745214285
ARM,Armenia,2044,21.270984745214285
ARM,Armenia,2045,21.270984745214285
ARM,Armenia,2046,21.270984745214285
ARM,Armenia,2047,21.270984745214285
ARM,Armenia,2048,21.270984745214285
ARM,Armenia,2049,21.270984745214285
ARM,Armenia,2050,21.270984745214285
ATG,Antigua and Barbuda,2023,33.040408454899996
ATG,Antigua and Barbuda,2024,33.040408454899996
ATG,Antigua and Barbuda,2025,33.040408454899996
ATG,Antigua and Barbuda,2026,33.040408454899996
ATG,Antigua and Barbuda,2027,33.040408454899996
ATG,Antigua and Barbuda,2028,33.040408454899996
ATG,Antigua and Barbuda,2029,33.040408454899996
ATG,Antigua and Barbuda,2030,33.040408454899996
ATG,Antigua and Barbuda,2031,33.040408454899996
ATG,Antigua and Barbuda,2032,33.040408454899996
ATG,Antigua and Barbuda,2033,33.040408454899996
ATG,Antigua and Barbuda,2034,33.040408454899996
ATG,Antigua and Barbuda,2035,33.040408454899996
ATG,Antigua and Barbuda,2036,33.040408454899996
ATG,Antigua and Barbuda,2037,33.040408454899996
ATG,Antigua and Barbuda,2038,33.040408454899996
ATG,Antigua and Barbuda,2039,33.040408454899996
ATG,Antigua and Barbuda,2040,33.040408454899996
ATG,Antigua and Barbuda,2041,33.040408454899996
ATG,Antigua and Barbuda,2042,33.040408454899996
ATG,Antigua and Barbuda,2043,33.040408454899996
ATG,Antigua and Barbuda,2044,33.040408454899996
ATG,Antigua and Barbuda,2045,33.040408454899996
ATG,Antigua and Barbuda,2046,33.040408454899996
ATG,Antigua and Barbuda,2047,33.040408454899996
ATG,Antigua and Barbuda,2048,33.040408454899996
ATG,Antigua and Barbuda,2049,33.040408454899996
ATG,Antigua and Barbuda,2050,33.040408454899996
AUS,Australia,2023,33.1668103426
AUS,Australia,2024,33.1668103426
AUS,Australia,2025,33.1668103426
AUS,Australia,2026,33.1668103426
AUS,Australia,2027,33.1668103426
AUS,Australia,2028,33.1668103426
AUS,Australia,2029,33.1668103426
AUS,Australia,2030,33.1668103426
AUS,Australia,2031,33.1668103426
AUS,Australia,2032,33.1668103426
AUS,Australia,2033,33.1668103426
AUS,Australia,2034,33.1668103426
AUS,Australia,2035,33.1668103426
AUS,Australia,2036,33.1668103426
AUS,Australia,2037,33.1668103426
AUS,Australia,2038,33.1668103426
AUS,Australia,2039,33.1668103426
AUS,Australia,2040,33.1668103426
AUS,Australia,2041,33.1668103426
AUS,Australia,2042,33.1668103426
AUS,Australia,2043,33.1668103426
AUS,Australia,2044,33.1668103426
AUS,Australia,2045,33.1668103426
AUS,Australia,2046,33.1668103426
AUS,Australia,2047,33.1668103426
AUS,Australia,2048,33.1668103426
AUS,Australia,2049,33.1668103426
AUS,Australia,2050,33.1668103426
AUT,Austria,2023,69.50882853070588
AUT,Austria,2024,69.50882853070588
AUT,Austria,2025,69.50882853070588
AUT,Austria,2026,69.50882853070588
AUT,Austria,2027,69.50882853070588
AUT,Austria,2028,69.50882853070588
AUT,Austria,2029,69.50882853070588
AUT,Austria,2030,69.50882853070588
AUT,Austria,2031,69.50882853070588
AUT,Austria,2032,69.50882853070588
AUT,Austria,2033,69.50882853070588
AUT,Austria,2034,69.50882853070588
AUT,Austria,2035,69.50882853070588
AUT,Austria,2036,69.50882853070588
AUT,Austria,2037,69.50882853070588
AUT,Austria,2038,69.50882853070588
AUT,Austria,2039,69.50882853070588
AUT,Austria,2040,69.50882853070588
AUT,Austria,2041,69.50882853070588
AUT,Austria,2042,69.50882853070588
AUT,Austria,2043,69.50882853070588
AUT,Austria,2044,69.50882853070588
AUT,Austria,2045,69.50882853070588
AUT,Austria,2046,69.50882853070588
AUT,Austria,2047,69.50882853070588
AUT,Austria,2048,69.50882853070588
AUT,Austria,2049,69.50882853070588
AUT,Austria,2050,69.50882853070588
AZE,Azerbaijan,2023,24.48651931592308
AZE,Azerbaijan,2024,24.48651931592308
AZE,Azerbaijan,2025,24.48651931592308
AZE,Azerbaijan,2026,24.48651931592308
AZE,Azerbaijan,2027,24.48651931592308
AZE,Azerbaijan,2028,24.48651931592308
AZE,Azerbaijan,2029,24.48651931592308
AZE,Azerbaijan,2030,24.48651931592308
AZE,Azerbaijan,2031,24.48651931592308
AZE,Azerbaijan,2032,24.48651931592308
AZE,Azerbaijan,2033,24.48651931592308
AZE,Azerbaijan,2034,24.48651931592308
AZE,Azerbaijan,2035,24.48651931592308
AZE,Azerbaijan,2036,24.48651931592308
AZE,Azerbaijan,2037,24.48651931592308
AZE,Azerbaijan,2038,24.48651931592308
