Year,iso_code3,pij_lndu_settlements_to_settlements
2050,BEL,1.0
2019,BEN,1.0
2020,BEN,1.0
2021,BEN,1.0
2022,BEN,1.0
2023,BEN,1.0
2024,BEN,1.0
2025,BEN,1.0
2026,BEN,1.0
2027,BEN,1.0
2028,BEN,1.0
2029,BEN,1.0
2030,BEN,1.0
2031,BEN,1.0
2032,BEN,1.0
2033,BEN,1.0
2034,BEN,1.0
2035,BEN,1.0
2036,BEN,1.0
2037,BEN,1.0
2038,BEN,1.0
2039,BEN,1.0
2040,BEN,1.0
2041,BEN,1.0
2042,BEN,1.0
2043,BEN,1.0
2044,BEN,1.0
2045,BEN,1.0
2046,BEN,1.0
2047,BEN,1.0
2048,BEN,1.0
2049,BEN,1.0
2050,BEN,1.0
2019,BFA,1.0
2020,BFA,1.0
2021,BFA,1.0
2022,BFA,1.0
2023,BFA,1.0
2024,BFA,1.0
2025,BFA,1.0
2026,BFA,1.0
2027,BFA,1.0
2028,BFA,1.0
2029,BFA,1.0
2030,BFA,1.0
2031,BFA,1.0
2032,BFA,1.0
2033,BFA,1.0
2034,BFA,1.0
2035,BFA,1.0
2036,BFA,1.0
2037,BFA,1.0
2038,BFA,1.0
2039,BFA,1.0
2040,BFA,1.0
2041,BFA,1.0
2042,BFA,1.0
2043,BFA,1.0
2044,BFA,1.0
2045,BFA,1.0
2046,BFA,1.0
2047,BFA,1.0
2048,BFA,1.0
2049,BFA,1.0
2050,BFA,1.0
2019,BGD,1.0
2020,BGD,1.0
2021,BGD,1.0
2022,BGD,1.0
2023,BGD,1.0
2024,BGD,1.0
2025,BGD,1.0
2026,BGD,1.0
2027,BGD,1.0
2028,BGD,1.0
2029,BGD,1.0
2030,BGD,1.0
2031,BGD,1.0
2032,BGD,1.0
2033,BGD,1.0
2034,BGD,1.0
2035,BGD,1.0
2036,BGD,1.0
2037,BGD,1.0
2038,BGD,1.0
2039,BGD,1.0
2040,BGD,1.0
2041,BGD,1.0
2042,BGD,1.0
2043,BGD,1.0
2044,BGD,1.0
2045,BGD,1.0
2046,BGD,1.0
2047,BGD,1.0
2048,BGD,1.0
2049,BGD,1.0
2050,BGD,1.0
2019,BGR,1.0
2020,BGR,1.0
2021,BGR,1.0
2022,BGR,1.0
2023,BGR,1.0
2024,BGR,1.0
2025,BGR,1.0
2026,BGR,1.0
2027,BGR,1.0
2028,BGR,1.0
2029,BGR,1.0
2030,BGR,1.0
2031,BGR,1.0
2032,BGR,1.0
2033,BGR,1.0
2034,BGR,1.0
2035,BGR,1.0
2036,BGR,1.0
2037,BGR,1.0
2038,BGR,1.0
2039,BGR,1.0
2040,BGR,1.0
2041,BGR,1.0
2042,BGR,1.0
2043,BGR,1.0
2044,BGR,1.0
2045,BGR,1.0
2046,BGR,1.0
2047,BGR,1.0
2048,BGR,1.0
2049,BGR,1.0
2050,BGR,1.0
2019,BHS,1.0
2020,BHS,1.0
2021,BHS,1.0
2022,BHS,1.0
2023,BHS,1.0
2024,BHS,1.0
2025,BHS,1.0
2026,BHS,1.0
2027,BHS,1.0
2028,BHS,1.0
2029,BHS,1.0
2030,BHS,1.0
2031,BHS,1.0
2032,BHS,1.0
2033,BHS,1.0
2034,BHS,1.0
2035,BHS,1.0
2036,BHS,1.0
2037,BHS,1.0
2038,BHS,1.0
2039,BHS,1.0
2040,BHS,1.0
2041,BHS,1.0
2042,BHS,1.0
2043,BHS,1.0
2044,BHS,1.0
2045,BHS,1.0
2046,BHS,1.0
2047,BHS,1.0
2048,BHS,1.0
2049,BHS,1.0
2050,BHS,1.0
2019,BIH,1.0
2020,BIH,1.0
2021,BIH,1.0
2022,BIH,1.0
2023,BIH,1.0
2024,BIH,1.0
2025,BIH,1.0
2026,BIH,1.0
2027,BIH,1.0
2028,BIH,1.0
2029,BIH,1.0
2030,BIH,1.0
2031,BIH,1.0
2032,BIH,1.0
2033,BIH,1.0
2034,BIH,1.0
2035,BIH,1.0
2036,BIH,1.0
2037,BIH,1.0
2038,BIH,1.0
2039,BIH,1.0
2040,BIH,1.0
2041,BIH,1.0
2042,BIH,1.0
2043,BIH,1.0
2044,BIH,1.0
2045,BIH,1.0
2046,BIH,1.0
2047,BIH,1.0
2048,BIH,1.0
2049,BIH,1.0
2050,BIH,1.0
2019,BLR,1.0
2020,BLR,1.0
2021,BLR,1.0
2022,BLR,1.0
2023,BLR,1.0
2024,BLR,1.0
2025,BLR,1.0
2026,BLR,1.0
2027,BLR,1.0
2028,BLR,1.0
2029,BLR,1.0
2030,BLR,1.0
2031,BLR,1.0
2032,BLR,1.0
2033,BLR,1.0
2034,BLR,1.0
2035,BLR,1.0
2036,BLR,1.0
2037,BLR,1.0
2038,BLR,1.0
2039,BLR,1.0
2040,BLR,1.0
2041,BLR,1.0
2042,BLR,1.0
2043,BLR,1.0
2044,BLR,1.0
2045,BLR,1.0
2046,BLR,1.0
2047,BLR,1.0
2048,BLR,1.0
2049,BLR,1.0
2050,BLR,1.0
2019,BLZ,1.0
2020,BLZ,1.0
2021,BLZ,1.0
2022,BLZ,1.0
2023,BLZ,1.0
2024,BLZ,1.0
2025,BLZ,1.0
2026,BLZ,1.0
2027,BLZ,1.0
2028,BLZ,1.0
2029,BLZ,1.0
2030,BLZ,1.0
2031,BLZ,1.0
2032,BLZ,1.0
2033,BLZ,1.0
2034,BLZ,1.0
2035,BLZ,1.0
2036,BLZ,1.0
2037,BLZ,1.0
2038,BLZ,1.0
2039,BLZ,1.0
2040,BLZ,1.0
2041,BLZ,1.0
2042,BLZ,1.0
2043,BLZ,1.0
2044,BLZ,1.0
2045,BLZ,1.0
2046,BLZ,1.0
2047,BLZ,1.0
2048,BLZ,1.0
2049,BLZ,1.0
2050,BLZ,1.0
2019,BOL,1.0
2020,BOL,1.0
2021,BOL,1.0
2022,BOL,1.0
2023,BOL,1.0
2024,BOL,1.0
2025,BOL,1.0
2026,BOL,1.0
2027,BOL,1.0
2028,BOL,1.0
2029,BOL,1.0
2030,BOL,1.0
2031,BOL,1.0
2032,BOL,1.0
2033,BOL,1.0
2034,BOL,1.0
2035,BOL,1.0
2036,BOL,1.0
2037,BOL,1.0
2038,BOL,1.0
2039,BOL,1.0
2040,BOL,1.0
2041,BOL,1.0
2042,BOL,1.0
2043,BOL,1.0
2044,BOL,1.0
2045,BOL,1.0
2046,BOL,1.0
2047,BOL,1.0
2048,BOL,1.0
2049,BOL,1.0
2050,BOL,1.0
2019,BRA,1.0
2020,BRA,1.0
2021,BRA,1.0
2022,BRA,1.0
2023,BRA,1.0
2024,BRA,1.0
2025,BRA,1.0
2026,BRA,1.0
2027,BRA,1.0
2028,BRA,1.0
2029,BRA,1.0
2030,BRA,1.0
2031,BRA,1.0
2032,BRA,1.0
2033,BRA,1.0
2034,BRA,1.0
2035,BRA,1.0
2036,BRA,1.0
2037,BRA,1.0
2038,BRA,1.0
2039,BRA,1.0
2040,BRA,1.0
2041,BRA,1.0
2042,BRA,1.0
2043,BRA,1.0
2044,BRA,1.0
2045,BRA,1.0
2046,BRA,1.0
2047,BRA,1.0
2048,BRA,1.0
2049,BRA,1.0
2050,BRA,1.0
2019,BRN,1.0
2020,BRN,1.0
2021,BRN,1.0
2022,BRN,1.0
2023,BRN,1.0
2024,BRN,1.0
2025,BRN,1.0
2026,BRN,1.0
2027,BRN,1.0
2028,BRN,1.0
2029,BRN,1.0
2030,BRN,1.0
2031,BRN,1.0
2032,BRN,1.0
2033,BRN,1.0
2034,BRN,1.0
2035,BRN,1.0
2036,BRN,1.0
2037,BRN,1.0
2038,BRN,1.0
2039,BRN,1.0
2040,BRN,1.0
2041,BRN,1.0
2042,BRN,1.0
2043,BRN,1.0
2044,BRN,1.0
2045,BRN,1.0
2046,BRN,1.0
2047,BRN,1.0
2048,BRN,1.0
2049,BRN,1.0
2050,BRN,1.0
2019,BWA,1.0
2020,BWA,1.0
2021,BWA,1.0
2022,BWA,1.0
2023,BWA,1.0
2024,BWA,1.0
2025,BWA,1.0
2026,BWA,1.0
2027,BWA,1.0
2028,BWA,1.0
2029,BWA,1.0
2030,BWA,1.0
2031,BWA,1.0
2032,BWA,1.0
2033,BWA,1.0
2034,BWA,1.0
2035,BWA,1.0
2036,BWA,1.0
2037,BWA,1.0
2038,BWA,1.0
2039,BWA,1.0
2040,BWA,1.0
2041,BWA,1.0
2042,BWA,1.0
2043,BWA,1.0
2044,BWA,1.0
2045,BWA,1.0
2046,BWA,1.0
2047,BWA,1.0
2048,BWA,1.0
2049,BWA,1.0
2050,BWA,1.0
2019,CAF,1.0
2020,CAF,1.0
2021,CAF,1.0
2022,CAF,1.0
2023,CAF,1.0
2024,CAF,1.0
2025,CAF,1.0
2026,CAF,1.0
2027,CAF,1.0
2028,CAF,1.0
2029,CAF,1.0
2030,CAF,1.0
2031,CAF,1.0
2032,CAF,1.0
2033,CAF,1.0
2034,CAF,1.0
2035,CAF,1.0
2036,CAF,1.0
2037,CAF,1.0
2038,CAF,1.0
2039,CAF,1.0
2040,CAF,1.0
2041,CAF,1.0
2042,CAF,1.0
2043,CAF,1.0
2044,CAF,1.0
2045,CAF,1.0
2046,CAF,1.0
2047,CAF,1.0
2048,CAF,1.0
2049,CAF,1.0
2050,CAF,1.0
2019,CAN,1.0
2020,CAN,1.0
2021,CAN,1.0
2022,CAN,1.0
2023,CAN,1.0
2024,CAN,1.0
2025,CAN,1.0
2026,CAN,1.0
2027,CAN,1.0
2028,CAN,1.0
2029,CAN,1.0
2030,CAN,1.0
2031,CAN,1.0
2032,CAN,1.0
2033,CAN,1.0
2034,CAN,1.0
2035,CAN,1.0
2036,CAN,1.0
2037,CAN,1.0
2038,CAN,1.0
2039,CAN,1.0
2040,CAN,1.0
2041,CAN,1.0
2042,CAN,1.0
2043,CAN,1.0
2044,CAN,1.0
2045,CAN,1.0
2046,CAN,1.0
2047,CAN,1.0
2048,CAN,1.0
2049,CAN,1.0
2050,CAN,1.0
2019,CHE,1.0
2020,CHE,1.0
2021,CHE,1.0
2022,CHE,1.0
2023,CHE,1.0
2024,CHE,1.0
2025,CHE,1.0
2026,CHE,1.0
2027,CHE,1.0
2028,CHE,1.0
2029,CHE,1.0
2030,CHE,1.0
2031,CHE,1.0
2032,CHE,1.0
2033,CHE,1.0
2034,CHE,1.0
2035,CHE,1.0
2036,CHE,1.0
2037,CHE,1.0
2038,CHE,1.0
2039,CHE,1.0
2040,CHE,1.0
2041,CHE,1.0
2042,CHE,1.0
2043,CHE,1.0
2044,CHE,1.0
2045,CHE,1.0
2046,CHE,1.0
2047,CHE,1.0
2048,CHE,1.0
2049,CHE,1.0
2050,CHE,1.0
2019,CHL,1.0
2020,CHL,1.0
2021,CHL,1.0
2022,CHL,1.0
2023,CHL,1.0
2024,CHL,1.0
2025,CHL,1.0
2026,CHL,1.0
2027,CHL,1.0
2028,CHL,1.0
2029,CHL,1.0
2030,CHL,1.0
2031,CHL,1.0
2032,CHL,1.0
2033,CHL,1.0
2034,CHL,1.0
2035,CHL,1.0
2036,CHL,1.0
2037,CHL,1.0
2038,CHL,1.0
2039,CHL,1.0
2040,CHL,1.0
2041,CHL,1.0
2042,CHL,1.0
2043,CHL,1.0
2044,CHL,1.0
2045,CHL,1.0
2046,CHL,1.0
2047,CHL,1.0
2048,CHL,1.0
2049,CHL,1.0
2050,CHL,1.0
2019,CHN,1.0
2020,CHN,1.0
2021,CHN,1.0
2022,CHN,1.0
2023,CHN,1.0
2024,CHN,1.0
2025,CHN,1.0
2026,CHN,1.0
2027,CHN,1.0
2028,CHN,1.0
2029,CHN,1.0
2030,CHN,1.0
2031,CHN,1.0
2032,CHN,1.0
2033,CHN,1.0
2034,CHN,1.0
2035,CHN,1.0
2036,CHN,1.0
2037,CHN,1.0
2038,CHN,1.0
2039,CHN,1.0
2040,CHN,1.0
2041,CHN,1.0
2042,CHN,1.0
2043,CHN,1.0
2044,CHN,1.0
2045,CHN,1.0
2046,CHN,1.0
2047,CHN,1.0
2048,CHN,1.0
2049,CHN,1.0
2050,CHN,1.0
2019,CIV,1.0
2020,CIV,1.0
2021,CIV,1.0
2022,CIV,1.0
2023,CIV,1.0
2024,CIV,1.0
2025,CIV,1.0
2026,CIV,1.0
2027,CIV,1.0
2028,CIV,1.0
2029,CIV,1.0
2030,CIV,1.0
2031,CIV,1.0
2032,CIV,1.0
2033,CIV,1.0
2034,CIV,1.0
2035,CIV,1.0
2036,CIV,1.0
2037,CIV,1.0
2038,CIV,1.0
2039,CIV,1.0
2040,CIV,1.0
2041,CIV,1.0
2042,CIV,1.0
2043,CIV,1.0
2044,CIV,1.0
2045,CIV,1.0
2046,CIV,1.0
2047,CIV,1.0
2048,CIV,1.0
2049,CIV,1.0
2050,CIV,1.0
2019,CMR,1.0
2020,CMR,1.0
2021,CMR,1.0
2022,CMR,1.0
2023,CMR,1.0
2024,CMR,1.0
2025,CMR,1.0
2026,CMR,1.0
2027,CMR,1.0
2028,CMR,1.0
2029,CMR,1.0
2030,CMR,1.0
2031,CMR,1.0
2032,CMR,1.0
2033,CMR,1.0
2034,CMR,1.0
2035,CMR,1.0
2036,CMR,1.0
2037,CMR,1.0
2038,CMR,1.0
2039,CMR,1.0
2040,CMR,1.0
2041,CMR,1.0
2042,CMR,1.0
2043,CMR,1.0
2044,CMR,1.0
2045,CMR,1.0
2046,CMR,1.0
2047,CMR,1.0
2048,CMR,1.0
2049,CMR,1.0
2050,CMR,1.0
2019,COD,1.0
2020,COD,1.0
2021,COD,1.0
2022,COD,1.0
2023,COD,1.0
2024,COD,1.0
2025,COD,1.0
2026,COD,1.0
2027,COD,1.0
2028,COD,1.0
2029,COD,1.0
2030,COD,1.0
2031,COD,1.0
2032,COD,1.0
2033,COD,1.0
2034,COD,1.0
2035,COD,1.0
2036,COD,1.0
2037,COD,1.0
2038,COD,1.0
2039,COD,1.0
2040,COD,1.0
2041,COD,1.0
2042,COD,1.0
2043,COD,1.0
2044,COD,1.0
2045,COD,1.0
2046,COD,1.0
2047,COD,1.0
2048,COD,1.0
2049,COD,1.0
2050,COD,1.0
2019,COG,1.0
2020,COG,1.0
2021,COG,1.0
2022,COG,1.0
2023,COG,1.0
2024,COG,1.0
2025,COG,1.0
2026,COG,1.0
2027,COG,1.0
2028,COG,1.0
2029,COG,1.0
2030,COG,1.0
2031,COG,1.0
2032,COG,1.0
2033,COG,1.0
2034,COG,1.0
2035,COG,1.0
2036,COG,1.0
2037,COG,1.0
2038,COG,1.0
2039,COG,1.0
2040,COG,1.0
2041,COG,1.0
2042,COG,1.0
2043,COG,1.0
2044,COG,1.0
2045,COG,1.0
2046,COG,1.0
2047,COG,1.0
2048,COG,1.0
2049,COG,1.0
2050,COG,1.0
2019,COL,1.0
2020,COL,1.0
2021,COL,1.0
2022,COL,1.0
2023,COL,1.0
2024,COL,1.0
2025,COL,1.0
2026,COL,1.0
2027,COL,1.0
2028,COL,1.0
2029,COL,1.0
2030,COL,1.0
2031,COL,1.0
2032,COL,1.0
2033,COL,1.0
2034,COL,1.0
2035,COL,1.0
2036,COL,1.0
2037,COL,1.0
2038,COL,1.0
2039,COL,1.0
2040,COL,1.0
2041,COL,1.0
2042,COL,1.0
2043,COL,1.0
2044,COL,1.0
2045,COL,1.0
2046,COL,1.0
2047,COL,1.0
2048,COL,1.0
2049,COL,1.0
2050,COL,1.0
2019,COM,1.0
2020,COM,1.0
2021,COM,1.0
2022,COM,1.0
2023,COM,1.0
2024,COM,1.0
2025,COM,1.0
2026,COM,1.0
2027,COM,1.0
2028,COM,1.0
2029,COM,1.0
2030,COM,1.0
2031,COM,1.0
2032,COM,1.0
2033,COM,1.0
2034,COM,1.0
2035,COM,1.0
2036,COM,1.0
2037,COM,1.0
2038,COM,1.0
2039,COM,1.0
2040,COM,1.0
2041,COM,1.0
2042,COM,1.0
2043,COM,1.0
2044,COM,1.0
2045,COM,1.0
2046,COM,1.0
2047,COM,1.0
2048,COM,1.0
2049,COM,1.0
2050,COM,1.0
2019,CPV,1.0
2020,CPV,1.0
2021,CPV,1.0
2022,CPV,1.0
2023,CPV,1.0
2024,CPV,1.0
2025,CPV,1.0
2026,CPV,1.0
2027,CPV,1.0
2028,CPV,1.0
2029,CPV,1.0
2030,CPV,1.0
2031,CPV,1.0
2032,CPV,1.0
2033,CPV,1.0
2034,CPV,1.0
2035,CPV,1.0
2036,CPV,1.0
2037,CPV,1.0
2038,CPV,1.0
2039,CPV,1.0
2040,CPV,1.0
2041,CPV,1.0
2042,CPV,1.0
2043,CPV,1.0
2044,CPV,1.0
2045,CPV,1.0
2046,CPV,1.0
2047,CPV,1.0
2048,CPV,1.0
2049,CPV,1.0
2050,CPV,1.0
2019,CRI,1.0
2020,CRI,1.0
2021,CRI,1.0
2022,CRI,1.0
2023,CRI,1.0
2024,CRI,1.0
2025,CRI,1.0
2026,CRI,1.0
2027,CRI,1.0
2028,CRI,1.0
2029,CRI,1.0
2030,CRI,1.0
2031,CRI,1.0
2032,CRI,1.0
2033,CRI,1.0
2034,CRI,1.0
2035,CRI,1.0
2036,CRI,1.0
2037,CRI,1.0
2038,CRI,1.0
2039,CRI,1.0
2040,CRI,1.0
2041,CRI,1.0
2042,CRI,1.0
2043,CRI,1.0
2044,CRI,1.0
2045,CRI,1.0
2046,CRI,1.0
2047,CRI,1.0
2048,CRI,1.0
2049,CRI,1.0
2050,CRI,1.0
2019,CUB,1.0
2020,CUB,1.0
2021,CUB,1.0
2022,CUB,1.0
2023,CUB,1.0
2024,CUB,1.0
2025,CUB,1.0
2026,CUB,1.0
2027,CUB,1.0
2028,CUB,1.0
2029,CUB,1.0
2030,CUB,1.0
2031,CUB,1.0
2032,CUB,1.0
2033,CUB,1.0
2034,CUB,1.0
2035,CUB,1.0
2036,CUB,1.0
2037,CUB,1.0
2038,CUB,1.0
2039,CUB,1.0
2040,CUB,1.0
2041,CUB,1.0
2042,CUB,1.0
2043,CUB,1.0
2044,CUB,1.0
2045,CUB,1.0
2046,CUB,1.0
2047,CUB,1.0
2048,CUB,1.0
2049,CUB,1.0
2050,CUB,1.0
2019,CYM,1.0
2020,CYM,1.0
2021,CYM,1.0
2022,CYM,1.0
2023,CYM,1.0
2024,CYM,1.0
2025,CYM,1.0
2026,CYM,1.0
2027,CYM,1.0
2028,CYM,1.0
2029,CYM,1.0
2030,CYM,1.0
2031,CYM,1.0
2032,CYM,1.0
2033,CYM,1.0
2034,CYM,1.0
2035,CYM,1.0
2036,CYM,1.0
2037,CYM,1.0
2038,CYM,1.0
2039,CYM,1.0
2040,CYM,1.0
2041,CYM,1.0
2042,CYM,1.0
2043,CYM,1.0
2044,CYM,1.0
2045,CYM,1.0
2046,CYM,1.0
2047,CYM,1.0
2048,CYM,1.0
2049,CYM,1.0
2050,CYM,1.0
2019,CYP,1.0
2020,CYP,1.0
2021,CYP,1.0
2022,CYP,1.0
2023,CYP,1.0
2024,CYP,1.0
2025,CYP,1.0
2026,CYP,1.0
2027,CYP,1.0
2028,CYP,1.0
2029,CYP,1.0
2030,CYP,1.0
2031,CYP,1.0
2032,CYP,1.0
2033,CYP,1.0
2034,CYP,1.0
2035,CYP,1.0
2036,CYP,1.0
2037,CYP,1.0
2038,CYP,1.0
2039,CYP,1.0
2040,CYP,1.0
2041,CYP,1.0
2042,CYP,1.0
2043,CYP,1.0
2044,CYP,1.0
2045,CYP,1.0
2046,CYP,1.0
2047,CYP,1.0
2048,CYP,1.0
2049,CYP,1.0
2050,CYP,1.0
2019,CZE,1.0
2020,CZE,1.0
2021,CZE,1.0
2022,CZE,1.0
2023,CZE,1.0
2024,CZE,1.0
2025,CZE,1.0
2026,CZE,1.0
2027,CZE,1.0
2028,CZE,1.0
2029,CZE,1.0
2030,CZE,1.0
2031,CZE,1.0
2032,CZE,1.0
2033,CZE,1.0
2034,CZE,1.0
2035,CZE,1.0
2036,CZE,1.0
2037,CZE,1.0
2038,CZE,1.0
2039,CZE,1.0
2040,CZE,1.0
2041,CZE,1.0
2042,CZE,1.0
2043,CZE,1.0
2044,CZE,1.0
2045,CZE,1.0
2046,CZE,1.0
2047,CZE,1.0
2048,CZE,1.0
2049,CZE,1.0
2050,CZE,1.0
2019,DEU,1.0
2020,DEU,1.0
2021,DEU,1.0
2022,DEU,1.0
2023,DEU,1.0
2024,DEU,1.0
2025,DEU,1.0
2026,DEU,1.0
2027,DEU,1.0
2028,DEU,1.0
2029,DEU,1.0
2030,DEU,1.0
2031,DEU,1.0
2032,DEU,1.0
2033,DEU,1.0
2034,DEU,1.0
2035,DEU,1.0
2036,DEU,1.0
2037,DEU,1.0
2038,DEU,1.0
2039,DEU,1.0
2040,DEU,1.0
2041,DEU,1.0
2042,DEU,1.0
2043,DEU,1.0
2044,DEU,1.0
2045,DEU,1.0
2046,DEU,1.0
