,Nation,iso_code3,Year,frac_trns_mtkm_dem_freight_aviation
0,Aruba,ABW,2021,0.010037018582849642
1,Aruba,ABW,2022,0.010037018582849642
2,Aruba,ABW,2023,0.010037018582849642
3,Aruba,ABW,2024,0.010037018582849642
4,Aruba,ABW,2025,0.010037018582849642
5,Aruba,ABW,2026,0.010037018582849642
6,Aruba,ABW,2027,0.010037018582849642
7,Aruba,ABW,2028,0.010037018582849642
8,Aruba,ABW,2029,0.010037018582849642
9,Aruba,ABW,2030,0.010037018582849642
10,Aruba,ABW,2031,0.010037018582849642
11,Aruba,ABW,2032,0.010037018582849642
12,Aruba,ABW,2033,0.010037018582849642
13,Aruba,ABW,2034,0.010037018582849642
14,Aruba,ABW,2035,0.010037018582849642
15,Aruba,ABW,2036,0.010037018582849642
16,Aruba,ABW,2037,0.010037018582849642
17,Aruba,ABW,2038,0.010037018582849642
18,Aruba,ABW,2039,0.010037018582849642
19,Aruba,ABW,2040,0.010037018582849642
20,Aruba,ABW,2041,0.010037018582849642
21,Aruba,ABW,2042,0.010037018582849642
22,Aruba,ABW,2043,0.010037018582849642
23,Aruba,ABW,2044,0.010037018582849642
24,Aruba,ABW,2045,0.010037018582849642
25,Aruba,ABW,2046,0.010037018582849642
26,Aruba,ABW,2047,0.010037018582849642
27,Aruba,ABW,2048,0.010037018582849642
28,Aruba,ABW,2049,0.010037018582849642
29,Aruba,ABW,2050,0.010037018582849642
30,Afghanistan,AFG,2021,0.0002784990649964488
31,Afghanistan,AFG,2022,0.0002784990649964488
32,Afghanistan,AFG,2023,0.0002784990649964488
33,Afghanistan,AFG,2024,0.0002784990649964488
34,Afghanistan,AFG,2025,0.0002784990649964488
35,Afghanistan,AFG,2026,0.0002784990649964488
36,Afghanistan,AFG,2027,0.0002784990649964488
37,Afghanistan,AFG,2028,0.0002784990649964488
38,Afghanistan,AFG,2029,0.0002784990649964488
39,Afghanistan,AFG,2030,0.0002784990649964488
40,Afghanistan,AFG,2031,0.0002784990649964488
41,Afghanistan,AFG,2032,0.0002784990649964488
42,Afghanistan,AFG,2033,0.0002784990649964488
43,Afghanistan,AFG,2034,0.0002784990649964488
