Year,iso_code3,qty_soil_organic_c_stock_dry_climate_tonne_per_ha
2010,ABW,35.520325203252035
2011,ABW,35.520325203252035
2012,ABW,35.520325203252035
2013,ABW,35.520325203252035
2014,ABW,35.520325203252035
2015,ABW,35.520325203252035
2016,ABW,35.520325203252035
2017,ABW,35.520325203252035
2018,ABW,35.520325203252035
2019,ABW,35.520325203252035
2020,ABW,35.520325203252035
2010,AFG,33.06377765244093
2011,AFG,33.06377765244093
2012,AFG,33.06377765244093
2013,AFG,33.06377765244093
2014,AFG,33.06377765244093
2015,AFG,33.06377765244093
2016,AFG,33.06377765244093
2017,AFG,33.06377765244093
2018,AFG,33.06377765244093
2019,AFG,33.06377765244093
2020,AFG,33.06377765244093
2010,AGO,29.934128733503496
2011,AGO,29.934128733503496
2012,AGO,29.934128733503496
2013,AGO,29.934128733503496
2014,AGO,29.934128733503496
2015,AGO,29.934128733503496
2016,AGO,29.934128733503496
2017,AGO,29.934128733503496
2018,AGO,29.934128733503496
2019,AGO,29.934128733503496
2020,AGO,29.934128733503496
2010,ALB,62.95695096887845
2011,ALB,62.95695096887845
2012,ALB,62.95695096887845
2013,ALB,62.95695096887845
2014,ALB,62.95695096887845
2015,ALB,62.95695096887845
2016,ALB,62.95695096887845
2017,ALB,62.95695096887845
2018,ALB,62.95695096887845
2019,ALB,62.95695096887845
2020,ALB,62.95695096887845
2010,AND,72.95132743362832
2011,AND,72.95132743362832
2012,AND,72.95132743362832
2013,AND,72.95132743362832
2014,AND,72.95132743362832
2015,AND,72.95132743362832
2016,AND,72.95132743362832
2017,AND,72.95132743362832
2018,AND,72.95132743362832
2019,AND,72.95132743362832
2020,AND,72.95132743362832
2010,ARE,14.10664345979114
2011,ARE,14.10664345979114
2012,ARE,14.10664345979114
2013,ARE,14.10664345979114
2014,ARE,14.10664345979114
2015,ARE,14.10664345979114
2016,ARE,14.10664345979114
2017,ARE,14.10664345979114
2018,ARE,14.10664345979114
2019,ARE,14.10664345979114
2020,ARE,14.10664345979114
2010,ARG,42.86511000455413
2011,ARG,42.86511000455413
