"year","prodinit_ippu_cement_tonne","location_code"
2021,170508.7,"ABW"
2022,181643.723371438,"ABW"
2023,193505.916356405,"ABW"
2024,206142.766564869,"ABW"
2025,219604.862771999,"ABW"
2026,233946.097438896,"ABW"
2027,249223.88245889,"ABW"
2028,265499.378993085,"ABW"
2029,282837.742315251,"ABW"
2030,301308.382646243,"ABW"
2031,320985.243022141,"ABW"
2032,341947.095308494,"ABW"
2033,364277.855545686,"ABW"
2034,388066.919887847,"ABW"
2035,413409.522480166,"ABW"
2036,440407.116707273,"ABW"
2037,469167.781338948,"ABW"
2038,499806.653199062,"ABW"
2039,532446.388089842,"ABW"
2040,567217.651816666,"ABW"
2041,604259.643279099,"ABW"
2042,643720.651722241,"ABW"
2043,685758.650379226,"ABW"
2044,730541.928881367,"ABW"
2045,778249.766967688,"ABW"
2046,829073.152190853,"ABW"
2047,883215.544492691,"ABW"
2048,940893.690710116,"ABW"
2049,1002338.49227212,"ABW"
2050,1067795.92956149,"ABW"
2021,1308793,"AGO"
2022,1109332.24423992,"AGO"
2023,940269.414728205,"AGO"
2024,796971.851187005,"AGO"
2025,675512.913251616,"AGO"
2026,572564.382656738,"AGO"
2027,485305.26338729,"AGO"
2028,411344.480735202,"AGO"
2029,348655.36106144,"AGO"
2030,295520.096877479,"AGO"
2031,250482.675478163,"AGO"
2032,212308.981276191,"AGO"
2033,179952.978562238,"AGO"
2034,152528.048030594,"AGO"
2035,129282.691633675,"AGO"
2036,109579.940029754,"AGO"
2037,92879.898346708,"AGO"
2038,78724.9519807403,"AGO"
2039,66727.2270393212,"AGO"
2040,56557.9618193532,"AGO"
2041,47938.4980777699,"AGO"
2042,40632.645237332,"AGO"
2043,34440.2082915586,"AGO"
2044,29191.5020604213,"AGO"
2045,24742.7014764148,"AGO"
2046,20971.900489527,"AGO"
2047,17775.7715972069,"AGO"
2048,15066.7344637584,"AGO"
2049,12770.5560436585,"AGO"
2050,10824.3164473705,"AGO"
2021,4939345,"ALB"
2022,4920497.8424966,"ALB"
2023,4901722.60046903,"ALB"
2024,4883018.99950797,"ALB"
2025,4864386.76625117,"ALB"
2026,4845825.62837945,"ALB"
2027,4827335.31461273,"ALB"
2028,4808915.55470605,"ALB"
2029,4790566.07944565,"ALB"
2030,4772286.62064499,"ALB"
2031,4754076.91114086,"ALB"
2032,4735936.68478948,"ALB"
2033,4717865.6764626,"ALB"
2034,4699863.6220436,"ALB"
2035,4681930.2584237,"ALB"
2036,4664065.32349803,"ALB"
2037,4646268.55616185,"ALB"
2038,4628539.69630673,"ALB"
2039,4610878.48481674,"ALB"
2040,4593284.66356466,"ALB"
2041,4575757.9754082,"ALB"
2042,4558298.16418628,"ALB"
2043,4540904.97471523,"ALB"
2044,4523578.15278511,"ALB"
2045,4506317.44515596,"ALB"
2046,4489122.59955413,"ALB"
2047,4471993.36466856,"ALB"
2048,4454929.49014713,"ALB"
2049,4437930.72659298,"ALB"
2050,4420996.82556091,"ALB"
2021,17740670,"ARE"
2022,18624184.6576202,"ARE"
2023,19551699.803961,"ARE"
2024,20525406.7360098,"ARE"
2025,21547605.8809622,"ARE"
2026,22620712.2310861,"ARE"
2027,23747261.0492522,"ARE"
2028,24929913.8586077,"ARE"
2029,26171464.7305471,"ARE"
2030,27474846.8858338,"ARE"
2031,28843139.624468,"ARE"
2032,30279575.6006743,"ARE"
2033,31787548.4601952,"ARE"
2034,33370620.8579341,"ARE"
2035,35032532.8748914,"ARE"
2036,36777210.854276,"ARE"
2037,38608776.6776718,"ARE"
2038,40531557.503171,"ARE"
2039,42550095.9884835,"ARE"
2040,44669161.0231734,"ARE"
2041,46893758.9953792,"ARE"
2042,49229145.6196346,"ARE"
2043,51680838.3537347,"ARE"
2044,54254629.4339829,"ARE"
2045,56956599.5596139,"ARE"
2046,59793132.2587242,"ARE"
2047,62770928.9696494,"ARE"
2048,65897024.8734187,"ARE"
2049,69178805.5146927,"ARE"
2050,72624024.2504502,"ARE"
2021,6792530,"ARG"
2022,7403217.60253919,"ARG"
2023,8068809.54085533,"ARG"
2024,8794242.03123082,"ARG"
2025,9584895.08424666,"ARG"
2026,10446632.4044482,"ARG"
2027,11385844.8772205,"ARG"
2028,12409497.9653855,"ARG"
2029,13525183.3670246,"ARG"
2030,14741175.3176397,"ARG"
2031,16066491.9542006,"ARG"
2032,17510962.1961761,"ARG"
2033,19085298.6395539,"ARG"
2034,20801177.0044538,"ARG"
2035,22671322.7255391,"ARG"
2036,24709605.3274049,"ARG"
2037,26931141.2848585,"ARG"
2038,29352406.1309312,"ARG"
2039,31991356.6440471,"ARG"
2040,34867564.0205223,"ARG"
2041,38002359.02004,"ARG"
2042,41418990.1605402,"ARG"
2043,45142796.1357415,"ARG"
2044,49201393.733993,"ARG"
2045,53624882.6521132,"ARG"
2046,58446068.7231742,"ARG"
2047,63700707.2137508,"ARG"
2048,69427767.9949937,"ARG"
2049,75669724.5541122,"ARG"
