iso_code3,Nation,pop_lvst_initial_goats,Year
AFG,Afghanistan,7983335,2023
AFG,Afghanistan,7983335,2024
AFG,Afghanistan,7983335,2025
AFG,Afghanistan,7983335,2026
AFG,Afghanistan,7983335,2027
AFG,Afghanistan,7983335,2028
AFG,Afghanistan,7983335,2029
AFG,Afghanistan,7983335,2030
AFG,Afghanistan,7983335,2031
AFG,Afghanistan,7983335,2032
AFG,Afghanistan,7983335,2033
AFG,Afghanistan,7983335,2034
AFG,Afghanistan,7983335,2035
AFG,Afghanistan,7983335,2036
AFG,Afghanistan,7983335,2037
AFG,Afghanistan,7983335,2038
AFG,Afghanistan,7983335,2039
AFG,Afghanistan,7983335,2040
AFG,Afghanistan,7983335,2041
AFG,Afghanistan,7983335,2042
AFG,Afghanistan,7983335,2043
AFG,Afghanistan,7983335,2044
AFG,Afghanistan,7983335,2045
AFG,Afghanistan,7983335,2046
AFG,Afghanistan,7983335,2047
AFG,Afghanistan,7983335,2048
AFG,Afghanistan,7983335,2049
AFG,Afghanistan,7983335,2050
ALB,Albania,721555,2023
ALB,Albania,721555,2024
ALB,Albania,721555,2025
ALB,Albania,721555,2026
ALB,Albania,721555,2027
ALB,Albania,721555,2028
ALB,Albania,721555,2029
ALB,Albania,721555,2030
ALB,Albania,721555,2031
ALB,Albania,721555,2032
ALB,Albania,721555,2033
ALB,Albania,721555,2034
ALB,Albania,721555,2035
ALB,Albania,721555,2036
ALB,Albania,721555,2037
ALB,Albania,721555,2038
ALB,Albania,721555,2039
ALB,Albania,721555,2040
ALB,Albania,721555,2041
ALB,Albania,721555,2042
ALB,Albania,721555,2043
ALB,Albania,721555,2044
ALB,Albania,721555,2045
ALB,Albania,721555,2046
ALB,Albania,721555,2047
ALB,Albania,721555,2048
ALB,Albania,721555,2049
ALB,Albania,721555,2050
DZA,Algeria,5120824,2023
DZA,Algeria,5120824,2024
DZA,Algeria,5120824,2025
DZA,Algeria,5120824,2026
DZA,Algeria,5120824,2027
DZA,Algeria,5120824,2028
DZA,Algeria,5120824,2029
DZA,Algeria,5120824,2030
DZA,Algeria,5120824,2031
DZA,Algeria,5120824,2032
DZA,Algeria,5120824,2033
DZA,Algeria,5120824,2034
DZA,Algeria,5120824,2035
DZA,Algeria,5120824,2036
DZA,Algeria,5120824,2037
DZA,Algeria,5120824,2038
DZA,Algeria,5120824,2039
DZA,Algeria,5120824,2040
DZA,Algeria,5120824,2041
DZA,Algeria,5120824,2042
DZA,Algeria,5120824,2043
DZA,Algeria,5120824,2044
DZA,Algeria,5120824,2045
DZA,Algeria,5120824,2046
DZA,Algeria,5120824,2047
DZA,Algeria,5120824,2048
DZA,Algeria,5120824,2049
DZA,Algeria,5120824,2050
AGO,Angola,4524013,2023
AGO,Angola,4524013,2024
AGO,Angola,4524013,2025
AGO,Angola,4524013,2026
AGO,Angola,4524013,2027
AGO,Angola,4524013,2028
AGO,Angola,4524013,2029
AGO,Angola,4524013,2030
AGO,Angola,4524013,2031
AGO,Angola,4524013,2032
AGO,Angola,4524013,2033
AGO,Angola,4524013,2034
AGO,Angola,4524013,2035
AGO,Angola,4524013,2036
AGO,Angola,4524013,2037
AGO,Angola,4524013,2038
AGO,Angola,4524013,2039
AGO,Angola,4524013,2040
AGO,Angola,4524013,2041
AGO,Angola,4524013,2042
AGO,Angola,4524013,2043
AGO,Angola,4524013,2044
AGO,Angola,4524013,2045
AGO,Angola,4524013,2046
AGO,Angola,4524013,2047
AGO,Angola,4524013,2048
AGO,Angola,4524013,2049
AGO,Angola,4524013,2050
ATG,Antigua and Barbuda,21611,2023
ATG,Antigua and Barbuda,21611,2024
ATG,Antigua and Barbuda,21611,2025
ATG,Antigua and Barbuda,21611,2026
ATG,Antigua and Barbuda,21611,2027
ATG,Antigua and Barbuda,21611,2028
ATG,Antigua and Barbuda,21611,2029
ATG,Antigua and Barbuda,21611,2030
ATG,Antigua and Barbuda,21611,2031
ATG,Antigua and Barbuda,21611,2032
ATG,Antigua and Barbuda,21611,2033
ATG,Antigua and Barbuda,21611,2034
ATG,Antigua and Barbuda,21611,2035
ATG,Antigua and Barbuda,21611,2036
ATG,Antigua and Barbuda,21611,2037
ATG,Antigua and Barbuda,21611,2038
ATG,Antigua and Barbuda,21611,2039
ATG,Antigua and Barbuda,21611,2040
ATG,Antigua and Barbuda,21611,2041
ATG,Antigua and Barbuda,21611,2042
ATG,Antigua and Barbuda,21611,2043
ATG,Antigua and Barbuda,21611,2044
ATG,Antigua and Barbuda,21611,2045
ATG,Antigua and Barbuda,21611,2046
ATG,Antigua and Barbuda,21611,2047
ATG,Antigua and Barbuda,21611,2048
ATG,Antigua and Barbuda,21611,2049
ATG,Antigua and Barbuda,21611,2050
ARG,Argentina,4127245,2023
ARG,Argentina,4127245,2024
ARG,Argentina,4127245,2025
ARG,Argentina,4127245,2026
ARG,Argentina,4127245,2027
ARG,Argentina,4127245,2028
ARG,Argentina,4127245,2029
ARG,Argentina,4127245,2030
ARG,Argentina,4127245,2031
ARG,Argentina,4127245,2032
ARG,Argentina,4127245,2033
ARG,Argentina,4127245,2034
ARG,Argentina,4127245,2035
ARG,Argentina,4127245,2036
ARG,Argentina,4127245,2037
ARG,Argentina,4127245,2038
ARG,Argentina,4127245,2039
ARG,Argentina,4127245,2040
ARG,Argentina,4127245,2041
ARG,Argentina,4127245,2042
ARG,Argentina,4127245,2043
ARG,Argentina,4127245,2044
ARG,Argentina,4127245,2045
ARG,Argentina,4127245,2046
ARG,Argentina,4127245,2047
ARG,Argentina,4127245,2048
ARG,Argentina,4127245,2049
ARG,Argentina,4127245,2050
ARM,Armenia,21943,2023
ARM,Armenia,21943,2024
ARM,Armenia,21943,2025
ARM,Armenia,21943,2026
ARM,Armenia,21943,2027
ARM,Armenia,21943,2028
ARM,Armenia,21943,2029
ARM,Armenia,21943,2030
ARM,Armenia,21943,2031
ARM,Armenia,21943,2032
ARM,Armenia,21943,2033
ARM,Armenia,21943,2034
ARM,Armenia,21943,2035
ARM,Armenia,21943,2036
ARM,Armenia,21943,2037
ARM,Armenia,21943,2038
ARM,Armenia,21943,2039
ARM,Armenia,21943,2040
ARM,Armenia,21943,2041
ARM,Armenia,21943,2042
ARM,Armenia,21943,2043
ARM,Armenia,21943,2044
ARM,Armenia,21943,2045
ARM,Armenia,21943,2046
ARM,Armenia,21943,2047
ARM,Armenia,21943,2048
ARM,Armenia,21943,2049
ARM,Armenia,21943,2050
AUS,Australia,4007337,2023
AUS,Australia,4007337,2024
AUS,Australia,4007337,2025
AUS,Australia,4007337,2026
AUS,Australia,4007337,2027
AUS,Australia,4007337,2028
AUS,Australia,4007337,2029
AUS,Australia,4007337,2030
AUS,Australia,4007337,2031
AUS,Australia,4007337,2032
AUS,Australia,4007337,2033
AUS,Australia,4007337,2034
AUS,Australia,4007337,2035
AUS,Australia,4007337,2036
AUS,Australia,4007337,2037
AUS,Australia,4007337,2038
AUS,Australia,4007337,2039
AUS,Australia,4007337,2040
AUS,Australia,4007337,2041
AUS,Australia,4007337,2042
AUS,Australia,4007337,2043
AUS,Australia,4007337,2044
AUS,Australia,4007337,2045
AUS,Australia,4007337,2046
AUS,Australia,4007337,2047
AUS,Australia,4007337,2048
AUS,Australia,4007337,2049
AUS,Australia,4007337,2050
AUT,Austria,99020,2023
AUT,Austria,99020,2024
AUT,Austria,99020,2025
AUT,Austria,99020,2026
AUT,Austria,99020,2027
AUT,Austria,99020,2028
AUT,Austria,99020,2029
AUT,Austria,99020,2030
AUT,Austria,99020,2031
AUT,Austria,99020,2032
AUT,Austria,99020,2033
AUT,Austria,99020,2034
AUT,Austria,99020,2035
AUT,Austria,99020,2036
AUT,Austria,99020,2037
AUT,Austria,99020,2038
AUT,Austria,99020,2039
AUT,Austria,99020,2040
AUT,Austria,99020,2041
AUT,Austria,99020,2042
AUT,Austria,99020,2043
AUT,Austria,99020,2044
AUT,Austria,99020,2045
AUT,Austria,99020,2046
AUT,Austria,99020,2047
AUT,Austria,99020,2048
AUT,Austria,99020,2049
AUT,Austria,99020,2050
AZE,Azerbaijan,580840,2023
AZE,Azerbaijan,580840,2024
AZE,Azerbaijan,580840,2025
AZE,Azerbaijan,580840,2026
AZE,Azerbaijan,580840,2027
AZE,Azerbaijan,580840,2028
AZE,Azerbaijan,580840,2029
AZE,Azerbaijan,580840,2030
AZE,Azerbaijan,580840,2031
AZE,Azerbaijan,580840,2032
AZE,Azerbaijan,580840,2033
AZE,Azerbaijan,580840,2034
AZE,Azerbaijan,580840,2035
AZE,Azerbaijan,580840,2036
AZE,Azerbaijan,580840,2037
AZE,Azerbaijan,580840,2038
AZE,Azerbaijan,580840,2039
AZE,Azerbaijan,580840,2040
AZE,Azerbaijan,580840,2041
AZE,Azerbaijan,580840,2042
AZE,Azerbaijan,580840,2043
AZE,Azerbaijan,580840,2044
AZE,Azerbaijan,580840,2045
AZE,Azerbaijan,580840,2046
AZE,Azerbaijan,580840,2047
AZE,Azerbaijan,580840,2048
AZE,Azerbaijan,580840,2049
AZE,Azerbaijan,580840,2050
BHS,Bahamas,15183,2023
BHS,Bahamas,15183,2024
BHS,Bahamas,15183,2025
BHS,Bahamas,15183,2026
BHS,Bahamas,15183,2027
BHS,Bahamas,15183,2028
BHS,Bahamas,15183,2029
BHS,Bahamas,15183,2030
BHS,Bahamas,15183,2031
BHS,Bahamas,15183,2032
BHS,Bahamas,15183,2033
BHS,Bahamas,15183,2034
BHS,Bahamas,15183,2035
BHS,Bahamas,15183,2036
BHS,Bahamas,15183,2037
BHS,Bahamas,15183,2038
BHS,Bahamas,15183,2039
BHS,Bahamas,15183,2040
BHS,Bahamas,15183,2041
BHS,Bahamas,15183,2042
BHS,Bahamas,15183,2043
BHS,Bahamas,15183,2044
BHS,Bahamas,15183,2045
BHS,Bahamas,15183,2046
BHS,Bahamas,15183,2047
BHS,Bahamas,15183,2048
BHS,Bahamas,15183,2049
BHS,Bahamas,15183,2050
BHR,Bahrain,24400,2023
BHR,Bahrain,24400,2024
BHR,Bahrain,24400,2025
BHR,Bahrain,24400,2026
BHR,Bahrain,24400,2027
BHR,Bahrain,24400,2028
BHR,Bahrain,24400,2029
BHR,Bahrain,24400,2030
BHR,Bahrain,24400,2031
BHR,Bahrain,24400,2032
BHR,Bahrain,24400,2033
BHR,Bahrain,24400,2034
BHR,Bahrain,24400,2035
BHR,Bahrain,24400,2036
BHR,Bahrain,24400,2037
BHR,Bahrain,24400,2038
BHR,Bahrain,24400,2039
BHR,Bahrain,24400,2040
BHR,Bahrain,24400,2041
BHR,Bahrain,24400,2042
BHR,Bahrain,24400,2043
BHR,Bahrain,24400,2044
BHR,Bahrain,24400,2045
BHR,Bahrain,24400,2046
BHR,Bahrain,24400,2047
BHR,Bahrain,24400,2048
BHR,Bahrain,24400,2049
BHR,Bahrain,24400,2050
BGD,Bangladesh,60000000,2023
BGD,Bangladesh,60000000,2024
BGD,Bangladesh,60000000,2025
BGD,Bangladesh,60000000,2026
BGD,Bangladesh,60000000,2027
BGD,Bangladesh,60000000,2028
BGD,Bangladesh,60000000,2029
BGD,Bangladesh,60000000,2030
BGD,Bangladesh,60000000,2031
BGD,Bangladesh,60000000,2032
BGD,Bangladesh,60000000,2033
BGD,Bangladesh,60000000,2034
BGD,Bangladesh,60000000,2035
BGD,Bangladesh,60000000,2036
BGD,Bangladesh,60000000,2037
BGD,Bangladesh,60000000,2038
BGD,Bangladesh,60000000,2039
BGD,Bangladesh,60000000,2040
BGD,Bangladesh,60000000,2041
BGD,Bangladesh,60000000,2042
BGD,Bangladesh,60000000,2043
BGD,Bangladesh,60000000,2044
BGD,Bangladesh,60000000,2045
BGD,Bangladesh,60000000,2046
BGD,Bangladesh,60000000,2047
BGD,Bangladesh,60000000,2048
BGD,Bangladesh,60000000,2049
BGD,Bangladesh,60000000,2050
BRB,Barbados,5599,2023
BRB,Barbados,5599,2024
BRB,Barbados,5599,2025
BRB,Barbados,5599,2026
BRB,Barbados,5599,2027
BRB,Barbados,5599,2028
BRB,Barbados,5599,2029
BRB,Barbados,5599,2030
BRB,Barbados,5599,2031
BRB,Barbados,5599,2032
BRB,Barbados,5599,2033
BRB,Barbados,5599,2034
BRB,Barbados,5599,2035
BRB,Barbados,5599,2036
BRB,Barbados,5599,2037
BRB,Barbados,5599,2038
BRB,Barbados,5599,2039
BRB,Barbados,5599,2040
BRB,Barbados,5599,2041
BRB,Barbados,5599,2042
BRB,Barbados,5599,2043
BRB,Barbados,5599,2044
BRB,Barbados,5599,2045
BRB,Barbados,5599,2046
BRB,Barbados,5599,2047
BRB,Barbados,5599,2048
BRB,Barbados,5599,2049
BRB,Barbados,5599,2050
BLR,Belarus,52100,2023
BLR,Belarus,52100,2024
BLR,Belarus,52100,2025
BLR,Belarus,52100,2026
BLR,Belarus,52100,2027
BLR,Belarus,52100,2028
BLR,Belarus,52100,2029
BLR,Belarus,52100,2030
BLR,Belarus,52100,2031
BLR,Belarus,52100,2032
BLR,Belarus,52100,2033
BLR,Belarus,52100,2034
BLR,Belarus,52100,2035
BLR,Belarus,52100,2036
BLR,Belarus,52100,2037
BLR,Belarus,52100,2038
BLR,Belarus,52100,2039
BLR,Belarus,52100,2040
BLR,Belarus,52100,2041
BLR,Belarus,52100,2042
BLR,Belarus,52100,2043
BLR,Belarus,52100,2044
BLR,Belarus,52100,2045
BLR,Belarus,52100,2046
BLR,Belarus,52100,2047
BLR,Belarus,52100,2048
BLR,Belarus,52100,2049
BLR,Belarus,52100,2050
BEL,Belgium,75360,2023
BEL,Belgium,75360,2024
BEL,Belgium,75360,2025
BEL,Belgium,75360,2026
BEL,Belgium,75360,2027
BEL,Belgium,75360,2028
BEL,Belgium,75360,2029
BEL,Belgium,75360,2030
BEL,Belgium,75360,2031
BEL,Belgium,75360,2032
BEL,Belgium,75360,2033
BEL,Belgium,75360,2034
BEL,Belgium,75360,2035
BEL,Belgium,75360,2036
BEL,Belgium,75360,2037
